,minimum,maximum
EX_lac__L_e,504.5987629467,1000.0
EX_glc__D_e,-634.1305229059,-287.1936600778
EX_gluIN__L_e,0.0,1000.0
EX_gluOUT__L_e,0.0,1000.0
EX_gln__L_e,-1000.0,-48.5233614246
EX_asp__L_e,0.0,1000.0
DM_asp__L_e,0.0,1000.0
EX_co2_e,241.1393049162,1000.0
EX_h_e,-250.3957554968,1000.0
EX_h2o_e,-1000.0,463.9386822221
EX_ump_e,-5.8526431694,-5.8526431694
EX_pi_e,-74.2126448037,-74.2126448037
EX_nh4_e,0.0,1000.0
EX_o2_e,-1000.0,-224.0184557945
EX_arg__L_e,-811.6118771789,-31.6007722776
EX_pro__L_e,0.0,416.2308785997
EX_leu__L_e,-47.9864491216,-47.9864491216
EX_ile__L_e,-25.1636300497,-25.1636300497
EX_met__L_e,-13.4595751611,-13.4595751611
EX_gly_e,-871.1216245724,0.0
EX_phe__L_e,-36.8675969775,-22.8228190719
EX_ser__L_e,-686.8536002548,0.0
EX_ala__L_e,-543.1160634371,955.524767345
EX_ribflv_e,0.0,0.0
EX_asn__L_e,24.5784273052,1000.0
EX_fol_e,-473.927085037,0.0
EX_urea_e,0.0,780.0111049013
EX_pyr_e,0.0,495.4012370533
PYRt2,0.0,495.4012370533
EX_gudac_e,0.0,780.0111049013
EX_hdca_e,-23.8407886137,-23.8407886137
EX_ptrcIN_e,0.0,1000.0
EX_ptrcOUT_e,0.0,1000.0
EX_biomassx,87.960731163,87.960731163
EX_gthox_e,0.0,15.1568008801
EX_2obut_e,0.0,961.7286377139
EX_crn_e,0.0,226.5359033787
EX_val__L_e,-416.8065370894,-31.0155695332
EX_spmd_e,0.0,0.0
EX_sprm_e,0.0,0.0
EX_5mthf_e,0.0,473.927085037
EX_tmlys_e,-226.5359033787,0.0
EX_thbpt_e,-14.0447779055,0.0
EX_CE2705_e,0.0,14.0447779055
EX_crtn_e,0.0,0.0
EX_his__L_e,-359.3368052864,0.0
EX_lys__L_e,-282.4635367947,-52.0827803719
EX_carn_e,-298.9433959061,0.0
EX_csn_e,-414.5141955746,0.0
EX_cys__L_e,0.0,1000.0
EX_cyan_e,-1000.0,0.0
EX_tcyntc,0.0,1000.0
EX_tcynt_e,0.0,1000.0
EX_so3_e,0.0,552.2728522197
EX_thr__L_e,-1000.0,-38.2713622861
EX_trp__L_e,-1.1704054889,-1.1704054889
EX_anth_e,0.0,0.0
EX_tyr__L_e,-14.0447779055,0.0
EX_cystinex,-780.0226242245,0.0
EX_3hydroxybutanoatex,-25.0,0.0
EX_gthrd_e,-30.3136017602,0.0
EX_cmp_e,-4.2641603253,-4.2641603253
HEX1,287.1936600778,634.1305229059
G6PP,0.0,0.0
PGI,0.0,508.2702145452
PFK,0.0,501.654042909
FBP,0.0,0.0
FBA,0.0,501.654042909
TPI,256.37122299,501.654042909
GAPD,509.434360162,1000.0
PGK,509.434360162,1000.0
DPGM,0.0,0.0
DPGase,0.0,0.0
PGM,509.434360162,1000.0
ENO,509.434360162,1000.0
PYK,1000.0,1000.0
LDH_L,504.5987629467,1000.0
r0407,0.0,501.654042909
PRPPS,9.9242574542,9.9242574542
G6PDH2r,0.0,609.9242574542
PGL,0.0,609.9242574542
GND,0.0,609.9242574542
RPI,6.6161716361,209.9242574542
TKT2,-3.3080858181,200.0
RPE,-6.6161716361,400.0
TKT1,-3.3080858181,200.0
TALA,-504.9621287271,200.0
r0408,0.0,501.654042909
PDHm,0.0,498.6408307821
PCm,0.0,0.0
PEPCK_re,0.0,490.565639838
CSm,0.0,494.990448894
ACONTm,-1000.0,247.6472612176
ICDHxm,0.0,1000.0
ICDHym,-1000.0,247.6472612176
AKGDm,0.0,495.4012370533
SUCOAS1m,9.0536221371,499.6192619752
SUCD1m,10.7669212587,554.1706755375
FUMm,-464.6819226928,37.5614081352
MDHm,0.0,1000.0
ME1m,0.0,330.2674913689
ME2m,0.0,330.2674913689
ME2,0.0,780.0111049013
ACITL,0.0,0.0
FUM,12.2932158659,767.8508287568
MDH,-1000.0,746.151733104
AKGMALtm,-486.6133382853,1000.0
ACONT,0.0,1000.0
ICDHyr,0.0,1000.0
PPA,24.7386917574,24.7386917574
Complex1ROS,0.0,606.2720352039
FADH2ETC,19.8205433959,971.3794055983
CYOR_u10mi,389.1213174615,971.3794055983
CYOOm2i,194.5606587307,485.6897027991
ATPS4mi,1000.0,1000.0
GLUCYS,0.0,0.0
GTHS,0.0,0.0
SPODMm,0.0,15.1568008801
GTHPi,0.0,775.9815442055
GTHPm,0.0,15.1568008801
GDR,0.0,817.7638298973
GTHOr,0.0,817.7638298973
GDRm,0.0,15.0783337601
GTHOm,0.0,15.0783337601
r0885,0.0,30.3136017602
PYRt2m,-335.2793808915,498.6408307821
HMR_4964,0.0,1000.0
r2420,511.9897479133,1000.0
ATPtm,987.4385918648,989.2330787413
FUMtm,-742.6886851136,3.5077859981
CO2tm,-514.8722989516,856.9496405415
O2tm,204.2791001535,485.6897027991
r0801,9.0536221371,499.6192619752
THD1m,0.0,1000.0
H2Otm,-1000.0,-167.6578983886
NH4tm,-991.1951308106,36.282394233
HCO3E,0.0,0.0
HCO3Em,10.7669212587,10.7669212587
GLUN,0.0,951.4766385754
GLNS,0.0,0.0
GLUt2m,0.0,508.3553018924
GLNtm_1,0.0,508.3553018924
GLUNm,0.0,508.3553018924
GLUPRT,9.9242574542,9.9242574542
PRAGSr,9.9242574542,9.9242574542
GARFT,9.9242574542,9.9242574542
PRFGS,9.9242574542,9.9242574542
PRAIS,9.9242574542,9.9242574542
AIRCr,9.9242574542,9.9242574542
PRASCSi,9.9242574542,9.9242574542
ADSL2r,9.9242574542,9.9242574542
AICART,9.9242574542,9.9242574542
IMPC,9.9242574542,9.9242574542
ADSS,5.8767444097,5.8767444097
ADSL1r,5.8767444097,5.8767444097
IMPDH2,4.0475130445,4.0475130445
GMPS,0.0,4.0475130445
GMPS2,0.0,4.0475130445
GK1,4.0475130445,4.0475130445
RNDR2,0.8706353171,0.8706353171
ADK1,19.8485149084,19.8485149084
RNDR1,1.1595863189,1.1595863189
CBPS,0.0,0.0
ASPCT,0.0,0.0
DHORTS,0.0,0.0
DHORD9,0.0,0.0
ORPT,0.0,0.0
OMPDC,0.0,0.0
UMPK,5.8526431694,5.8526431694
RNDR4,1.1514939317,1.1514939317
TMDS,1.1514939317,1.1514939317
URIDK2r,1.1514939317,1.1514939317
NDPK2,4.7011492377,4.7011492377
NDPK3,-3.4336351017,-3.4336351017
CYTK1,-4.2641603253,-4.2641603253
CTPS1,0.0,0.0
RNDR3,0.8305252236,0.8305252236
GDHm,0.0,1000.0
GLUDym,-488.2232895475,921.4604580895
ASPTA,-352.4091681597,1000.0
ASPTAm,0.0,976.3118849066
ASPGLUm,0.0,849.4214277206
ASPT,0.0,495.4012370533
CBPSam,0.0,0.0
OCBTm,0.0,0.0
ORNt4m,0.0,0.0
ARGSS,0.0,0.0
ARGSL,0.0,0.0
ARGN,0.0,780.0111049013
ORNDC,0.0,780.0111049013
SPMS,0.0,0.0
SPRMS,0.0,0.0
ADMDC,0.0,0.0
MTAP,0.0,0.0
ADPT,0.0,0.0
MTRI,0.0,0.0
MDRPD,0.0,0.0
DKMPPD,0.0,0.0
SPMDtex2,0.0,0.0
SPRMti,0.0,0.0
GLYAMDTRc,0.0,780.0111049013
ARGDr,0.0,0.0
r0074,-379.9484843666,36.282394233
GLU5SAtmc,-379.9484843666,36.282394233
G5SADs,-379.9484843666,36.282394233
PRO1x,0.0,863.4538430652
P5CR,0.0,888.4743042611
PROD2,0.0,852.191910028
EXRiboflavin,0.0,0.0
RBFK,0.0,0.0
FMNAT,0.0,0.0
TransportFAD,0.0,852.191910028
ASNS1,0.0,0.0
ASNN,0.0,975.4215726948
METS,0.0,0.0
METAT,0.0,0.0
HMR_3915,0.0,0.0
AHCi,0.0,0.0
ADNK1,0.0,0.0
CYSTS,0.0,0.0
CYSTGL,0.0,0.0
MTHFR3,0.0,473.927085037
MetSynthesis,0.0,0.0
UNK3,0.0,0.0
5MTHFt,0.0,473.927085037
ILETA,0.0,0.0
3MOPt2im,0.0,0.0
ILETAm,0.0,0.0
LEUTA,0.0,0.0
4MOPt2im,0.0,0.0
LEUTAm,0.0,0.0
