,minimum,maximum
EX_lac__L_e,0.0,19.74025
EX_glc__D_e,-11.6571723731,0.0
EX_gluIN__L_e,0.0,0.05
EX_gluOUT__L_e,0.0,0.1595
EX_gln__L_e,-2.5,0.0
EX_asp__L_e,0.0,0.05
DM_asp__L_e,0.0,262.8858604009
EX_co2_e,0.0,1000.0
EX_h_e,-781.897717145,457.9055961504
EX_h2o_e,-1000.0,185.9711185534
EX_ump_e,-0.0003074707,0.0
EX_pi_e,-0.0025629472,0.0
EX_nh4_e,0.0,860.6350298567
EX_o2_e,-842.2099048304,0.0
EX_arg__L_e,-0.69905216,0.0
EX_pro__L_e,0.0,0.15
EX_leu__L_e,-0.001785637,0.0
EX_ile__L_e,-0.000764775,0.0
EX_met__L_e,-0.11570469,0.0
EX_gly_e,-0.25,0.0
EX_phe__L_e,-0.001447712,0.0
EX_ser__L_e,-0.25,0.0
EX_ala__L_e,-0.049999997,262.8358604039
EX_ribflv_e,0.0,0.0
EX_asn__L_e,0.0,0.05
EX_fol_e,-0.006009071,0.0
EX_urea_e,0.0,195.5045373892
EX_pyr_e,0.0,0.5
PYRt2,0.0,0.5
EX_gudac_e,0.0,133.4925601839
EX_hdca_e,-0.00015,51.3244716059
EX_ptrcIN_e,0.0,0.000503
EX_ptrcOUT_e,0.0,0.69955516
EX_biomassx,0.0,0.0026733094
EX_gthox_e,0.0,15.424018176
EX_2obut_e,0.0,0.56486437
EX_crn_e,0.0,186.6323154528
EX_val__L_e,-0.22094017,0.0
EX_spmd_e,0.0,0.6995439884
EX_sprm_e,0.0,0.6995328171
EX_5mthf_e,0.0,0.006009071
EX_tmlys_e,-186.6323154528,0.0
EX_thbpt_e,-0.0007540791,0.0
EX_CE2705_e,0.0,0.0007540791
EX_crtn_e,0.0,112.7681676998
EX_his__L_e,-0.14990476,0.0
EX_lys__L_e,-0.4986339,0.0
EX_carn_e,-474.2272963643,0.0
EX_csn_e,-299.1006415197,0.0
EX_cys__L_e,0.0,0.09977272
EX_cyan_e,-0.41541351,0.0
EX_tcyntc,0.0,0.41541351
EX_tcynt_e,0.0,0.41541351
EX_so3_e,0.0,0.41541351
EX_thr__L_e,-0.44915968,0.0
EX_trp__L_e,-0.04421569,0.0
EX_anth_e,0.0,0.04421569
EX_tyr__L_e,-0.0007540791,0.0
EX_cystinex,-0.09996805,0.0
EX_3hydroxybutanoatex,-25.0,0.0
EX_gthrd_e,-30.8480363519,0.0
EX_cmp_e,-0.0001295967,0.0
HEX1,0.0,917.3055507477
G6PP,0.0,905.6483783747
PGI,0.0,11.6570012545
PFK,0.0,917.3053328582
FBP,0.0,905.6483783747
FBA,0.0,11.6569544836
TPI,0.0,11.6569544836
GAPD,0.0,23.3138855817
PGK,0.0,23.3138855817
DPGM,0.0,23.3138855817
DPGase,0.0,23.3138855817
PGM,-240.9017843617,23.3138855817
ENO,-240.9017843617,23.3138855817
PYK,0.0,831.8920435876
LDH_L,0.0,19.74025
r0407,0.0,11.6569544836
PRPPS,0.0,1.3990798038
G6PDH2r,0.0,11.6570012545
PGL,0.0,11.6570012545
