,minimum,maximum
EX_lac__L_e,0.0,15.454
EX_glc__D_e,-9.1980490689,0.0
EX_gluIN__L_e,0.0,0.0
EX_gluOUT__L_e,0.0,0.2545
EX_gln__L_e,-4.0,0.0
EX_asp__L_e,0.0,0.0
DM_asp__L_e,0.0,264.1537539879
EX_co2_e,0.0,1000.0
EX_h_e,-780.9172748882,452.681423384
EX_h2o_e,-1000.0,191.8576253286
EX_ump_e,-0.0002426086,0.0
EX_pi_e,-0.0020222841,0.0
EX_nh4_e,0.0,862.7539885868
EX_o2_e,-842.4251463661,0.0
EX_arg__L_e,-0.39810428,0.0
EX_pro__L_e,0.0,0.0
EX_leu__L_e,-0.0014089503,0.0
EX_ile__L_e,-0.0006034429,0.0
EX_met__L_e,-0.20134228,0.0
EX_gly_e,-0.4,0.0
EX_phe__L_e,-0.0011423118,0.0
EX_ser__L_e,-0.4,0.0
EX_ala__L_e,0.0,264.1537539879
EX_ribflv_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_fol_e,-0.009070295,0.0
EX_urea_e,0.0,194.7027899183
EX_pyr_e,0.0,0.0
PYRt2,0.0,0.0
EX_gudac_e,0.0,132.8019126858
EX_hdca_e,0.0,51.470039123
EX_ptrcIN_e,0.0,0.0
EX_ptrcOUT_e,0.0,0.39810428
EX_biomassx,0.0,0.002109365
EX_gthox_e,0.0,15.4109644777
EX_2obut_e,0.0,0.99966162
EX_crn_e,0.0,186.9789793183
EX_val__L_e,-0.8034188,0.0
EX_spmd_e,0.0,0.3980979224
EX_sprm_e,0.0,0.3980915651
EX_5mthf_e,0.0,0.009070295
EX_tmlys_e,-186.9789793183,0.0
EX_thbpt_e,-0.0005950033,0.0
EX_CE2705_e,0.0,0.0005950033
EX_crtn_e,0.0,112.3467342656
EX_his__L_e,-0.2,0.0
EX_lys__L_e,-0.7978142,0.0
EX_carn_e,-474.3215177436,0.0
EX_csn_e,-300.6134389027,0.0
EX_cys__L_e,0.0,0.0
EX_cyan_e,-0.6038982,0.0
