,minimum,maximum
EX_lac__L_e,0.0,22.1475
EX_glc__D_e,-13.6356088561,0.0
EX_gluIN__L_e,0.0,0.0
EX_gluOUT__L_e,0.0,0.5925
EX_gln__L_e,-2.0,0.0
EX_asp__L_e,0.0,0.0
DM_asp__L_e,0.0,262.8895395899
EX_co2_e,0.0,1000.0
EX_h_e,-780.6969136897,464.1343219659
EX_h2o_e,-1000.0,191.4589160645
EX_ump_e,-0.0003596541,0.0
EX_pi_e,-0.0029979264,0.0
EX_nh4_e,0.0,861.0002848363
EX_o2_e,-841.2807265191,0.0
EX_arg__L_e,-0.39810428,0.0
EX_pro__L_e,0.0,0.0
EX_leu__L_e,-0.0020886925,0.0
EX_ile__L_e,-0.0008945714,0.0
EX_met__L_e,-0.20134228,0.0
EX_gly_e,-0.4,0.0
EX_phe__L_e,-0.0016934153,0.0
EX_ser__L_e,-0.4,0.0
EX_ala__L_e,0.0,262.8895395899
EX_ribflv_e,0.0,0.0
EX_asn__L_e,0.0,0.0
EX_fol_e,-0.009070295,0.0
EX_urea_e,0.0,195.474435404
EX_pyr_e,0.0,0.0
PYRt2,0.0,0.0
EX_gudac_e,0.0,134.044749292
EX_hdca_e,0.0,51.5727447905
EX_ptrcIN_e,0.0,0.0
EX_ptrcOUT_e,0.0,0.39810428
EX_biomassx,0.0,0.0031270192
EX_gthox_e,0.0,15.4375760142
EX_2obut_e,0.0,0.99966162
EX_crn_e,0.0,186.4330962503
EX_val__L_e,-0.8034188,0.0
EX_spmd_e,0.0,0.3980979224
EX_sprm_e,0.0,0.3980915651
EX_5mthf_e,0.0,0.009070295
EX_tmlys_e,-186.4330962503,0.0
EX_thbpt_e,-0.0008820602,0.0
EX_CE2705_e,0.0,0.0008820602
EX_crtn_e,0.0,113.0925564212
EX_his__L_e,-0.2,0.0
EX_lys__L_e,-0.7978142,0.0
EX_carn_e,-475.8131480895,0.0
EX_csn_e,-300.4695829795,0.0
EX_cys__L_e,0.0,0.0
EX_cyan_e,-0.6038982,0.0
EX_tcyntc,0.0,0.6038982
EX_tcynt_e,0.0,0.6038982
EX_so3_e,0.0,0.6038982
EX_thr__L_e,-0.79831934,0.0
EX_trp__L_e,-0.078431375,0.0
EX_anth_e,0.0,0.078431375
EX_tyr__L_e,-0.0008820602,0.0
EX_cystinex,-0.20127796,0.0
EX_3hydroxybutanoatex,-25.0,0.0
EX_gthrd_e,-30.8751520283,0.0
EX_cmp_e,-0.0001515916,0.0
HEX1,0.0,922.9189157901
G6PP,0.0,909.283306934
PGI,0.0,13.6354086956
PFK,0.0,922.9186609207
FBP,0.0,909.283306934
FBA,0.0,13.6353539867
TPI,0.0,13.6353539867
GAPD,0.0,27.270680619
PGK,0.0,27.270680619
DPGM,0.0,27.270680619
DPGase,0.0,27.270680619
PGM,-241.0565859004,27.270680619
ENO,-241.0565859004,27.270680619
PYK,0.0,837.3697437395
LDH_L,0.0,22.1475
r0407,0.0,13.6353539867
PRPPS,0.0,0.7961911938
G6PDH2r,0.0,13.6354086956
PGL,0.0,13.6354086956
GND,0.0,13.6354086956
RPI,0.0,5.0757040104
TKT2,-0.2653970646,4.5451088774
RPE,-0.5307941292,9.0902177549
TKT1,-0.2653970646,4.5451088774
TALA,-13.6353813411,4.5451088774
r0408,0.0,13.6353539867
PDHm,0.0,388.9420238022
PCm,0.0,1000.0
PEPCK_re,0.0,810.0990631204
CSm,0.0,537.2192092217
ACONTm,-1000.0,203.4846538622
ICDHxm,0.0,1000.0
ICDHym,-1000.0,199.7106931566
AKGDm,0.0,266.9068888915
SUCOAS1m,-25.0,256.0604983109
SUCD1m,0.0,372.8662473359
FUMm,-557.427931106,318.2579716411
MDHm,-1000.0,1000.0
ME1m,0.0,1000.0
ME2m,0.0,1000.0
ME2,0.0,645.6568017087
ACITL,0.0,508.4106859843
FUM,-136.8043772164,804.6172556888
MDH,-1000.0,605.3472822216
AKGMALtm,-658.4626443598,1000.0
ACONT,0.0,1000.0
ICDHyr,0.0,1000.0
PPA,0.0,454.6420925359
Complex1ROS,0.0,617.5030405667
FADH2ETC,0.0,1000.0
CYOR_u10mi,0.0,1000.0
CYOOm2i,0.0,500.0
ATPS4mi,0.0,1000.0
GLUCYS,0.0,0.6038982
GTHS,0.0,0.6038982
SPODMm,0.0,15.4375760142
GTHPi,0.0,0.39810428
GTHPm,0.0,15.4375760142
GDR,0.0,0.59938224
GTHOr,0.0,0.59938224
GDRm,0.0,15.2944448607
GTHOm,0.0,15.2944448607
r0885,0.0,30.8751520283
PYRt2m,-181.2334112245,751.1793246234
HMR_4964,0.0,1000.0
r2420,0.0,1000.0
ATPtm,0.0,1000.0
FUMtm,-695.4163979685,291.5535731432
CO2tm,-301.4757725413,1000.0
O2tm,0.0,502.2994516742
r0801,-25.0,256.0604983109
THD1m,0.0,1000.0
H2Otm,-1000.0,81.6244509721
NH4tm,-490.7358346452,195.0921521909
HCO3E,0.0,444.8592766034
HCO3Em,0.0,1000.0
GLUN,0.0,910.5444483931
GLNS,0.0,927.7121232027
GLUt2m,0.0,244.7836532601
GLNtm_1,0.0,244.8163239186
GLUNm,0.0,244.8163239186
GLUPRT,0.0,0.0003528091
PRAGSr,0.0,0.0003528091
GARFT,0.0,0.0003528091
PRFGS,0.0,0.0003528091
PRAIS,0.0,0.0003528091
AIRCr,0.0,0.0003528091
PRASCSi,0.0,0.0003528091
ADSL2r,0.0,0.0003528091
AICART,0.0,0.0003528091
IMPC,0.0,0.0003528091
ADSS,0.0,0.0002089193
ADSL1r,0.0,0.0002089193
IMPDH2,0.0,0.0001438898
GMPS,0.0,0.0001438898
GMPS2,0.0,0.0001438898
GK1,0.0,0.0001438898
RNDR2,0.0,3.09512e-05
ADK1,0.0,454.6420520992
RNDR1,0.0,4.12235e-05
CBPS,0.0,0.0003596541
ASPCT,0.0,0.0003596541
DHORTS,0.0,0.0003596541
DHORD9,0.0,0.0003596541
ORPT,0.0,0.0003596541
OMPDC,0.0,0.0003596541
UMPK,0.0,0.0003596541
RNDR4,0.0,4.09358e-05
TMDS,0.0,4.09358e-05
URIDK2r,0.0,4.09358e-05
NDPK2,0.0,0.0003187183
NDPK3,-0.0001220663,2.95253e-05
CYTK1,-0.0001515916,0.0
CTPS1,0.0,0.0001515916
RNDR3,0.0,2.95253e-05
GDHm,0.0,1000.0
GLUDym,-244.445315478,1000.0
ASPTA,-277.114274697,1000.0
ASPTAm,0.0,1000.0
ASPGLUm,0.0,1000.0
ASPT,0.0,247.7995223839
CBPSam,0.0,195.0918528229
OCBTm,0.0,195.0918528229
ORNt4m,0.0,195.0918528229
ARGSS,0.0,228.0027727037
ARGSL,0.0,228.0027727037
ARGN,0.0,195.474435404
ORNDC,0.0,0.39810428
SPMS,0.0,0.3980979224
SPRMS,0.0,0.3980915651
ADMDC,0.0,0.7961831301
MTAP,0.0,0.7961831301
ADPT,0.0,0.7961831301
MTRI,0.0,0.7961831301
MDRPD,0.0,0.7961831301
DKMPPD,0.0,0.7961831301
SPMDtex2,0.0,0.3980979224
SPRMti,0.0,0.3980915651
GLYAMDTRc,0.0,134.044749292
ARGDr,0.0,228.0027727037
r0074,0.0,0.0012898454
GLU5SAtmc,0.0,0.0012898454
G5SADs,0.0,0.0012898454
PRO1x,0.0,832.0511793372
P5CR,0.0,859.5711809517
PROD2,0.0,859.5708809342
EXRiboflavin,0.0,0.0
RBFK,0.0,0.0
FMNAT,0.0,0.0
TransportFAD,0.0,859.5708809342
ASNS1,0.0,303.515019369
ASNN,0.0,303.514816131
METS,0.0,303.0944356447
METAT,0.0,303.1199520275
HMR_3915,0.0,303.0970079562
AHCi,0.0,303.1199520275
ADNK1,0.0,303.1199520275
CYSTS,0.0,0.20134228
CYSTGL,0.0,0.20134228
MTHFR3,0.0,113.1016267162
MetSynthesis,0.0,0.7961831301
UNK3,0.0,0.7961831301
5MTHFt,0.0,0.009070295
ILETA,0.0,0.0
3MOPt2im,0.0,0.0
ILETAm,0.0,0.0
LEUTA,0.0,0.0003827659
4MOPt2im,0.0,0.0003827659
LEUTAm,0.0,0.0003827659
OIVD1m,0.0,0.0003827659
ACOAD8m,0.0,0.0003827659
MCCCrm,0.0,0.0003827659
MGCHrm,0.0,0.0003827659
HMGCOAtm,0.0,0.0003827659
VALTA,0.0,0.8034188
3MOBt2im,0.0,0.8034188
VALTAim,0.0,0.8034188
OIVD2m,0.0,0.8034188
ACOAD9m,0.0,0.8034188
ECOAH12m,0.0,0.8034188
3HBCOAHLm,0.0,0.8034188
HIBDm,0.0,0.8034188
r0643,0.0,0.8034188
MMSAD1m,0.0,0.8034188
