	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	6580437754.0	1.0	6580437754.0	0.0	4.962453720750023	5.071919975224684	1.0642353529139181	4.550033102932577	4.647309009367764	0.379286160199842
EX_glc__D_e_r	6584807955.0	1.0	6584807955.0	0.0	2.9291118019105515	2.9932792182048966	0.6283646389203602	2.6844519311398995	2.738044740332546	0.22503236774227603
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.018429743404184445	0.0179990178846201	0.010165635923538332	0.0	0.0	0.0
EX_gluOUT__L_e	8912564.0	0.0	8912564.0	1.0	0.03934191301915234	0.0402240852182717	0.009434847945230872	0.0751385988714012	0.07672838881798369	0.006273933589337479
EX_gln__L_e_r	9431370.0	0.0	9431370.0	1.0	0.6435529025778283	0.6570302140832216	0.13763713066089447	1.1838733969517343	1.208797062419869	0.09815720942176727
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.021854988670474827	0.02064377469133375	0.011933490704352569	0.0	0.0	0.0
DM_asp__L_e	9003935424.0	1.0	9003935424.0	0.0	2.319644295752235	1.8563862974672602	1.8466529389427269	0.3246582045321664	0.2268340788196731	0.3247668770730559
EX_co2_e	10000000000.0	1.0	10000000000.0	0.0	136.4250744086765	134.51994823649108	16.55926074018784	35.77187576451176	35.84749902688853	2.114670320632561
EX_h_e_f	8259289547.0	1.0	8259289547.0	0.0	336.5348012719535	365.9750898759693	97.89111826296306	199.26253186349442	195.67724015031456	108.52758472319306
EX_h2o_e_f	5450572345.0	1.0	5450572345.0	3.5775424559552436e-267	88.26602308687102	89.8099911496883	42.914246827455784	82.16021109963958	79.0725694033106	45.03709496147393
EX_ump_e_r	2406131981.0	0.0	2406131981.0	1.0	1.1689646142880812e-05	1.1552420058605567e-05	6.274762349214915e-06	2.0820651430986387e-05	2.068410629959968e-05	1.0729272047846571e-05
EX_pi_e_r	26240102.0	0.0	26240102.0	1.0	0.00020549590257526012	0.0002091822850798	1.8247896337332156e-05	0.00039528648433722615	0.0004037477484513	6.376340482718942e-05
EX_nh4_e	10000000000.0	1.0	10000000000.0	0.0	94.72867596063504	90.82157605784727	19.863178086249476	13.940802527355336	13.53711948498512	2.3140815203484055
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	103.4811094035045	103.46667819690165	11.531417761009532	19.69364998493895	19.75435856194877	1.3563046528261813
EX_arg__L_e_r	1029158686.0	0.0	1029158686.0	1.0	0.09614605650193393	0.10111361955091086	0.02066692079605363	0.1838881574194375	0.19377104549889318	0.05783274146718433
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.5991919842666616e-05	4.5096096170714346e-05	2.1565604081667546e-05	0.0	0.0	0.0
EX_leu__L_e_r	39287381.0	0.0	39287381.0	1.0	0.00014530872778561058	0.0001473922387346	1.3785659571690898e-05	0.00027543069942364905	0.0002807351823688	4.5047472468258924e-05
EX_ile__L_e_r	19669520.0	0.0	19669520.0	1.0	6.621846501621941e-05	6.76619825850993e-05	5.61874656190335e-06	0.00012770776560346898	0.0001306402095702	2.025003437925793e-05
EX_met__L_e_r	1171519715.0	0.0	1171519715.0	1.0	0.0028676577048076736	0.0030580213498414503	0.0012825541268292123	0.014862405317146615	0.01398513061459625	0.009666972608793156
EX_gly_e_r	5775657593.0	1.0	5775657593.0	0.0	0.10529553238041524	0.09702263933492325	0.06750082751836552	0.08748639115544683	0.07290995021586419	0.06385442334569033
EX_phe__L_e_r	318056738.0	0.0	318056738.0	1.0	9.825386783035262e-05	0.00010033543044714999	8.252545694645309e-06	0.0001582847061327528	0.00015940301399485	3.046026106632437e-05
EX_ser__L_e_r	3999552003.0	0.0	3999552003.0	1.0	0.11574783610623136	0.1165253564779571	0.06635683079199395	0.139539856859305	0.14281495142821093	0.06452176536269877
EX_ala__L_e_f	8878757555.0	1.0	8878757555.0	0.0	2.451328726821993	1.833427141706584	2.1691146341768093	0.35477032758966326	0.2524972818256287	0.3319967456871342
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03327989658535524	0.03469568059857625	0.008035679625985899	0.0	0.0	0.0
EX_fol_e_r	5204597819.0	1.0	5204597819.0	7.251796498999796e-57	0.00016727908181223436	0.00017392331306699999	5.1227851293888304e-05	0.00016669009606655596	0.00017103625322134998	4.021794916423184e-05
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.06467422311189944	0.0535418270360424	0.04883878274717599
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.29463772101963537	0.3102129079215131	0.1300955233008029	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.29463772101963537	0.3102129079215131	0.1300955233008029	0.0	0.0	0.0
