	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	5.14025610237344	5.255397011038198	0.9923025069371857	0.07146139581912032	0.0736315244867472	0.008434026727404578
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	3.03448553960274	3.10224941307761	0.5857629831958997	0.10191913435146244	0.10367673120480485	0.014113250555414876
EX_gluIN__L_e	8841766106.0	1.0	8841766106.0	0.0	0.016420745038678016	0.0149068726245378	0.011311193323035427	0.0031423127103380943	0.00272970759602065	0.0022639508974692424
EX_gluOUT__L_e	9997750783.0	1.0	9997750783.0	0.0	0.040130516354939874	0.0413520510991265	0.009021569138564167	0.011090337974796792	0.01126591782620935	0.0013084631939562126
EX_gln__L_e_r	9999161790.0	1.0	9999161790.0	0.0	0.6658538135400409	0.6789158404400457	0.12706055657174817	0.20383107649681112	0.20984233402556035	0.024418344936733616
EX_asp__L_e	4648004020.0	5.4543118110306935e-164	4648004020.0	1.0	0.026509692960172675	0.02641756647665285	0.012974250636812784	0.02810909519564145	0.028853930032733198	0.01203047195090873
DM_asp__L_e	6457095427.0	1.0	6457095427.0	0.0	1.7664457369090556	1.4199932733214373	1.4437115807282934	1.11449694553022	0.7792873346137017	1.0867928236900577
EX_co2_e	8969277521.0	1.0	8969277521.0	0.0	136.01064571861835	133.20694482562163	16.99839653106383	100.98500338979291	97.30554092286977	21.420030306815097
EX_h_e_f	6495120928.0	1.0	6495120928.0	0.0	287.91542338598447	317.13112875951816	124.80797741251567	232.8154584859624	233.21055057932773	96.56724952996777
EX_h2o_e_f	4763299324.0	2.1867262851249847e-75	4763299324.0	1.0	94.50072666895524	93.67916996934886	41.21291697382388	97.39903671850048	100.06964391772374	45.40918292029086
EX_ump_e_r	9725434144.0	1.0	9725434144.0	0.0	1.1317633568403853e-05	1.102433970871943e-05	6.30116350048865e-06	8.681322497889507e-07	8.621577785065376e-07	3.714236972097023e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.0002093825468731126	0.0002127280985374	1.732947855575985e-05	1.3284368849686724e-05	1.3466035382247672e-05	2.8401713188237436e-06
EX_nh4_e	7480773788.0	1.0	7480773788.0	0.0	92.82675262704028	88.22492016831025	20.595481296902474	70.74143064423352	64.80204868466232	29.978492129726018
EX_o2_e_r	9993899997.0	1.0	9993899997.0	0.0	103.45691287074061	103.04691252923402	10.843632047032152	61.835240779124845	61.824645926875306	6.5983079660514
EX_arg__L_e_r	7827420303.0	1.0	7827420303.0	0.0	0.09697017341002698	0.1004071739985067	0.019209085900917435	0.07896974884535654	0.08180197964628555	0.01191030482362189
EX_pro__L_e	9965640624.0	1.0	9965640624.0	0.0	5.3838380545285715e-05	5.438317743435556e-05	2.0760693591415595e-05	5.001020293741564e-06	5.090660965058586e-06	1.3001534105241445e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.0001471913024004353	0.00014934269657925002	1.3017138060214397e-05	8.582508461548278e-06	8.72226389822075e-06	1.7909934688155791e-06
EX_ile__L_e_r	10000000000.0	1.0	10000000000.0	0.0	6.721255962943929e-05	6.868030067577592e-05	5.23941242128634e-06	4.313757519073367e-06	4.379662903388287e-06	9.155611794563974e-07
EX_met__L_e_r	3803676913.0	0.0	3803676913.0	1.0	0.002619507188112296	0.0026700997812286	0.0013073301704062078	0.003275740328045079	0.0033106809293788	0.001554588335978512
