	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	8585946934.0	1.0	8585946934.0	0.0	5.265104212048324	5.377659621139366	0.9667690393138779	3.888452751754473	3.991343538529595	0.8224413900643557
EX_glc__D_e_r	8248122145.0	1.0	8248122145.0	0.0	3.107150804159708	3.1732452741702812	0.5709337200725404	2.3934292311004097	2.45692852849177	0.5054567974863563
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02497203598108509	0.02570117337044695	0.010523944487867205	0.0	0.0	0.0
EX_gluOUT__L_e	72029619.0	0.0	72029619.0	1.0	0.04228818442473405	0.04281908146142005	0.007674078874522459	0.14448520548994928	0.14999790999205465	0.04102252059006913
EX_gln__L_e_r	9826354813.0	1.0	9826354813.0	0.0	0.6837333598038297	0.6976066650931629	0.1251259316312114	0.35655183215873126	0.3652510526553058	0.07390078359430945
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.022818548488402042	0.0233481078670806	0.012615765136517179	0.0	0.0	0.0
DM_asp__L_e	8022164386.0	1.0	8022164386.0	0.0	1.9953725080852756	1.619923938157637	1.5755451200856483	0.5976660254640447	0.4660771837913634	0.5215350255579211
EX_co2_e	9998690591.0	1.0	9998690591.0	0.0	138.09016546725712	136.74401134972902	17.808827228896558	64.52677302324791	63.60256198584977	8.857135699851614
EX_h_e_f	6559902946.0	1.0	6559902946.0	0.0	367.58051641196846	374.5280693414263	56.50400263937556	326.6814653735514	334.1201695275805	77.79812277813369
EX_h2o_e_f	6496948968.0	1.0	6496948968.0	0.0	127.3748852094631	131.53439691643746	32.502855936570334	104.94787377497542	100.93977735727503	46.20432923102921
EX_ump_e_r	6394585845.0	1.0	6394585845.0	0.0	1.1594773376399643e-05	1.1811581089902104e-05	5.6357722548184835e-06	8.905915588845555e-06	8.552133462055002e-06	4.8765719328569545e-06
EX_pi_e_r	5604625266.0	1.0	5604625266.0	0.0	0.0001958962420397277	0.00019908318731995	2.303268368420454e-05	0.0001884860343343993	0.00019371680046845001	2.9694930642003535e-05
EX_nh4_e	9941128516.0	1.0	9941128516.0	0.0	96.48722688955725	92.30422045067348	22.97158581259171	36.61577536633892	33.71574834172205	11.385131934450834
EX_o2_e_r	9997035503.0	1.0	9997035503.0	0.0	102.11075620118723	101.92271325298992	11.49279740733561	50.8739838733974	51.280521331301536	6.517487888311958
EX_arg__L_e_r	7967376199.0	1.0	7967376199.0	0.0	0.09499044376054445	0.09858510321327975	0.02038701422040779	0.07692349538776673	0.0781581215567458	0.004760569091952979
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	4.233429542688444e-05	4.187340498883187e-05	1.8893515662404423e-05	0.0	0.0	0.0
EX_leu__L_e_r	5893469923.0	1.0	5893469923.0	0.0	0.00013664898157482637	0.00013873093138005	1.6478741612037365e-05	0.00013003210041502943	0.0001325763404348	2.059338418871095e-05
EX_ile__L_e_r	5832678883.0	1.0	5832678883.0	0.0	6.317622899581201e-05	6.432842810575169e-05	7.226944036733705e-06	6.0394523328501395e-05	6.21758022473584e-05	9.003963334145805e-06
EX_met__L_e_r	7084219397.0	1.0	7084219397.0	0.0	0.002654223207415797	0.0027405582910363	0.0012497945610918362	0.0018015584091185134	0.00192853401881465	0.0007706913682810993
EX_gly_e_r	7850031743.0	1.0	7850031743.0	0.0	0.11130738278521174	0.10799695705616785	0.06439215348643705	0.05005698764495839	0.05042322014167485	0.022807739424140744
EX_phe__L_e_r	8869576004.0	1.0	8869576004.0	0.0	9.399529777408073e-05	9.566107715881398e-05	1.0684425072408768e-05	7.06214906872069e-05	6.894808041073026e-05	1.5151913464853278e-05
EX_ser__L_e_r	9677863414.0	1.0	9677863414.0	0.0	0.14047067370454777	0.1430416661815696	0.05871793229662462	0.025237739237281568	0.0211655725479206	0.018467728249927592
EX_ala__L_e_f	7998374689.0	1.0	7998374689.0	0.0	2.21504807607346	1.673783883272887	1.9176786723170334	0.6156476453586849	0.44810152564687594	0.5644687093639585
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03765709372618702	0.03822076604524695	0.005969399304477009	0.0	0.0	0.0
EX_fol_e_r	14734949.0	0.0	14734949.0	1.0	0.00017344734868958425	0.0001829182217623	5.067650091320676e-05	0.0009619862378675656	0.00101416078624985	0.00023350104015134967
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.027176884512878252	0.025041911743913	0.01840078891346437
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.28475617256961183	0.29414470023244293	0.12371341890539024	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.28475617256961183	0.29414470023244293	0.12371341890539024	0.0	0.0	0.0
EX_gudac_e	6845750132.0	1.0	6845750132.0	0.0	0.044561551408156645	0.0419066835465019	0.028079553730687073	0.026794862016588008	0.024383289854173852	0.018658276692253613
EX_hdca_e_f	9925014411.0	1.0	9925014411.0	0.0	2.054981892350181	2.030239850054781	0.852773933216207	0.14725734853198236	0.11238991949768895	0.1316808164525363
EX_ptrcIN_e	10000000000.0	1.0	10000000000.0	0.0	0.0003984479479131229	0.00040131366293505	4.8858993572849726e-05	0.0	0.0	0.0
EX_ptrcOUT_e	7879428970.0	1.0	7879428970.0	0.0	0.04134726731225131	0.037389088803847545	0.027943435037768107	0.015407466801743114	0.01213907768861855	0.012651515436167046
EX_biomassx	5832678883.0	1.0	5832678883.0	0.0	0.0002208356776676284	0.0002248632474561	2.5262145417452693e-05	0.00021111208596427173	0.00021733863578235002	3.147380551509003e-05
EX_gthox_e	6245485295.0	1.0	6245485295.0	0.0	0.7343977459087255	0.6819617027247995	0.46073735068256416	0.5316929978517525	0.4922497844792453	0.33732348334663453
EX_2obut_e	685495601.0	0.0	685495601.0	1.0	0.015345176328569602	0.01548644814329415	0.0020139838362802673	0.026980049387562217	0.02849781913569895	0.006500067254047808
EX_crn_e	9999569152.0	1.0	9999569152.0	0.0	18.00799050792677	18.331676632940997	2.5439995766212316	2.8241601191095578	2.9430453777995633	1.4904412513342815
EX_val__L_e_r	18732.0	0.0	18732.0	1.0	0.019563667211227345	0.020087200924849	0.005877233483702589	0.11592670092999079	0.11930564883596076	0.025900473459499546
EX_spmd_e	674897519.0	0.0	674897519.0	1.0	0.0012317615037125231	0.0010855477129438	0.0008466253883969957	0.013634986524494623	0.0113994444381155	0.011241483838469716
EX_sprm_e	167411134.0	0.0	167411134.0	1.0	0.0017362024510485415	0.0017801283830290002	0.0008911268857439851	0.028571727823979164	0.027476710340697152	0.01574469876301873
EX_5mthf_e	14734949.0	0.0	14734949.0	1.0	0.00017344735083587196	0.0001829182197266	5.067649889683686e-05	0.000961986237784868	0.00101416078614785	0.0002335010401486588
EX_tmlys_e_r	9999569152.0	1.0	9999569152.0	0.0	18.007990507926696	18.33167663294075	2.543999576621271	2.824160119109605	2.9430453777996184	1.4904412513342842
EX_thbpt_e_r	9458087446.0	1.0	9458087446.0	0.0	3.669594783233417e-05	3.7322487389428885e-05	4.190245467817142e-06	1.5845082190390983e-05	1.3865479669283965e-05	1.1231509692803791e-05
EX_CE2705_e	9458087446.0	1.0	9458087446.0	0.0	3.669594783233417e-05	3.7322487389428885e-05	4.190245467817142e-06	1.5845082190390983e-05	1.3865479669283965e-05	1.1231509692803791e-05
EX_crtn_e	8075770638.0	1.0	8075770638.0	0.0	0.050349554930194544	0.04801810317051935	0.026656520814622556	0.02287590473112163	0.020029780337690248	0.01629956418586043
EX_his__L_e_r	5962332517.0	1.0	5962332517.0	0.0	0.09562532709002722	0.10015344295957204	0.0352643886895775	0.08343071921915393	0.0837441659996519	0.04249285653060385
EX_lys__L_e_r	4947917541.0	2.738501168271673e-05	4947917541.0	0.9999726149973501	0.008831876858595416	0.0083737465407401	0.005641495780902212	0.00864577331530543	0.00940424634435865	0.0036670025074414673
EX_carn_e_r	9999999682.0	1.0	9999999682.0	0.0	23.221008617937592	23.161649423467416	3.178850651494854	7.934479749910852	7.978321866491065	0.6444578117317008
EX_csn_e_r	7345595996.0	1.0	7345595996.0	0.0	14.020254742581058	11.635046917164933	10.666517198044874	6.122236584510384	4.671266048943144	5.402176737110277
EX_cys__L_e	10000000000.0	1.0	10000000000.0	0.0	0.04135456988672335	0.042823554935479596	0.007542322996302883	0.0	0.0	0.0
EX_cyan_e_r	6100302717.0	1.0	6100302717.0	0.0	0.09779902361436028	0.09746785416764595	0.03940076770270753	0.08403528019023747	0.07658554383725705	0.048824867284321775
EX_tcyntc	5603421660.0	1.0	5603421660.0	0.0	0.03880883099864819	0.03253168083282985	0.029896954361204844	0.0331534326946478	0.02619456004105685	0.027941061228979217
EX_tcynt_e	5836240906.0	1.0	5836240906.0	0.0	0.05899019261570788	0.0542064503212287	0.03824042803935581	0.050881847495589126	0.0398790435937654	0.04414146516684187
EX_so3_e	256776297.0	0.0	256776297.0	1.0	0.03585901938074093	0.037348999395371854	0.009567410602857202	0.1618232425981094	0.16256318286269233	0.0704178471739689
EX_thr__L_e_r	569749891.0	0.0	569749891.0	1.0	0.012810011913359369	0.0129013833995304	0.0015650444005214383	0.025291768492865564	0.026683324149748548	0.006349361177668271
EX_trp__L_e_r	9955788449.0	1.0	9955788449.0	0.0	0.03330488862998441	0.0345825678902832	0.007522567336614687	0.008863134375098135	0.009209201354094	0.002624152538866476
EX_anth_e	9988016717.0	1.0	9988016717.0	0.0	0.03296887329409316	0.0342627517358305	0.007534552512109322	0.005954913872729514	0.00626243288563255	0.0025749908644876317
EX_tyr__L_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0013678049457896e-05	2.0214062036318092e-05	1.1486371511695014e-05
EX_cystinex_r	15224572.0	0.0	15224572.0	1.0	0.08372810318134821	0.08553772602550375	0.011480188889910904	0.1769101620577822	0.18228021956906426	0.020741392011099744
EX_3hydroxybutanoatex_r	9184861453.0	1.0	9184861453.0	0.0	9.400600496254128	9.199394091724225	4.462314385254464	3.1665693070926237	3.328301946760333	0.7451244990340741
EX_gthrd_e_r	6348714908.0	1.0	6348714908.0	0.0	1.4253141783362586	1.3217974209208245	0.9197492427057279	0.9919536022524689	0.9088597378665512	0.6706415756165752
EX_cmp_e_r	4202294846.0	0.0	4202294846.0	1.0	4.228122250921214e-06	3.879584696359585e-06	2.7849983511098653e-06	5.004797307197966e-06	5.165375108269695e-06	2.883501791688119e-06
HEX1	5249956945.0	1.0	5249956945.0	8.148108585510272e-84	17.251520401134506	13.667299813168114	13.180057057738185	16.40326141128575	13.02988201253752	12.606977290393491
G6PP	5017754878.0	0.9154782207453814	5017754878.0	0.0845217912571069	14.144369596986552	10.551731333955846	13.15554772497662	14.009832180185262	10.656882181760654	12.580015315640514
PGI	8413839148.0	1.0	8413839148.0	0.0	2.239973204046031	2.2706835371885066	0.6756837865237524	1.2379399098568453	1.1938340327318013	0.7037354377682892
PFK	519715032.0	0.0	519715032.0	1.0	1.629024795110619	1.6140556306617717	0.7151529120426903	16.27570347962953	11.486166898025168	15.213507592854642
FBP	132932387.0	0.0	132932387.0	1.0	0.20621327371952375	0.17791563954365958	0.1547971556014472	15.357843247124583	10.558790047896567	15.17682879544438
FBA	7053047783.0	1.0	7053047783.0	0.0	1.4228115213904082	1.4116165098247682	0.7118219741345584	0.9178602325045679	0.9021599575254102	0.5313432472896449
TPI	8715216776.0	1.0	8715216776.0	0.0	2.8148929887779306	2.879884106815917	0.5776848914953037	1.9610189718674083	1.9892355951442937	0.45983154332497
GAPD	8630654755.0	1.0	8630654755.0	0.0	5.917245869951759	6.051513523448089	1.1407616659134743	4.283577474740025	4.38567007576974	0.933416269583966
PGK	3769775586.0	0.0	3769775586.0	1.0	2.687527165592979	2.4741396226701835	1.766943943655062	3.256771621163896	3.2949719393689394	1.1140333298625078
DPGM	8696048955.0	1.0	8696048955.0	0.0	3.2297187043548394	3.267524591021036	1.6977391634215098	1.026805853576274	0.8467198248517811	0.7881923765313051
DPGase	8696048955.0	1.0	8696048955.0	0.0	3.2297187043548585	3.2675245910210657	1.6977391634215009	1.0268058535762816	0.8467198248517934	0.7881923765313046
PGM_f	9990680404.0	1.0	9990680404.0	0.0	7.529556446581009	7.709264165673574	1.252814722582584	2.617145537295333	2.824135737124229	0.7602435510733635
ENO_f	3405929084.0	0.0	3405929084.0	1.0	7.87894929575435	8.045966089267287	1.4337942504160113	8.819000173551771	9.211167475599474	2.5196079459386818
PYK	491337.0	0.0	491337.0	1.0	5.000524444416653	5.0746224699645275	1.2117723160385174	23.590248528670777	21.606125383555035	8.6659575923007
LDH_L	8585946934.0	1.0	8585946934.0	0.0	5.265104212030572	5.377659621122149	0.9667690393194196	3.888452751754462	3.9913435385295757	0.8224413900643565
