	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	7522267867.0	1.0	7522267867.0	0.0	4.554994056096778	4.639876453587929	0.35936448635925144	3.917881394273117	3.9931716962565496	0.775868926923093
EX_glc__D_e_r	6793809592.0	1.0	6793809592.0	0.0	2.6968728609847696	2.7461325681909425	0.21618876512696786	2.40971859132845	2.4564390481123546	0.47849985795565136
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	244289415.0	0.0	244289415.0	1.0	0.07500042914746123	0.07638215216086791	0.005926812893744073	0.15011190285601841	0.14914053038043457	0.03852348561772429
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	1.1834660918542912	1.2052677411221455	0.09357213280864168	0.3590834470514693	0.36718716902278037	0.07094303051624366
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	3459176551.0	0.0	3459176551.0	1.0	0.29513196079415016	0.2218217467993295	0.2566427575890814	0.5100190362932484	0.39711581967294707	0.4177832402950474
EX_co2_e	73065.0	0.0	73065.0	1.0	35.14487147429716	35.25682322612025	2.409678945267788	65.2899076667813	64.6385967836332	7.97412432161742
EX_h_e_f	2304480877.0	0.0	2304480877.0	1.0	198.99535844173707	182.3759736304436	123.02074942388656	318.26486045662915	330.9943240626112	95.9217787504407
EX_h2o_e_f	4596680368.0	1.4825816699617597e-214	4596680368.0	1.0	103.73492316389829	105.30977432213942	51.69656541295803	111.05585412962292	115.8906677498544	44.390453099984214
EX_ump_e_r	7155978128.0	1.0	7155978128.0	0.0	1.817062566468736e-05	1.635421634002216e-05	1.1318245049092008e-05	1.0010977767837067e-05	9.55167673555895e-06	5.992536173180444e-06
EX_pi_e_r	9959159311.0	1.0	9959159311.0	0.0	0.0004052857664498891	0.0004163400525162	6.3023710234213e-05	0.0001924799238952479	0.00019740740028725	2.5160269000018295e-05
EX_nh4_e	4783797.0	0.0	4783797.0	1.0	13.383857337450829	13.086360079299583	2.622653885548027	36.963063726746505	34.267185581894594	10.803923077550557
EX_o2_e_r	0.0	0.0	0.0	1.0	19.520558848987104	19.60102904845522	1.3625395755720142	51.67083902371785	52.036130870521376	6.426614727143263
EX_arg__L_e_r	9674248366.0	1.0	9674248366.0	0.0	0.17477405321334444	0.17373603932518278	0.05276147001642917	0.07695430533816335	0.07821037419991655	0.004994200320275873
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	9976611781.0	1.0	9976611781.0	0.0	0.000282662587520371	0.00028931919722820004	4.440976277257725e-05	0.00013309382288033436	0.0001367239128398	1.865094294827439e-05
EX_ile__L_e_r	9966873471.0	1.0	9966873471.0	0.0	0.00012975295218202963	0.00013354557336170002	1.9705238743293105e-05	6.230025597551597e-05	6.421217241307127e-05	8.022398732714812e-06
EX_met__L_e_r	9576455013.0	1.0	9576455013.0	0.0	0.016997768171532885	0.01719894931888035	0.00963092757926276	0.0015886902702428097	0.0016124231981587	0.0007929833426047558
EX_gly_e_r	8299728815.0	1.0	8299728815.0	0.0	0.1116122895937308	0.10697902395850176	0.06155427582008125	0.04343913755899067	0.04008263412996045	0.026861517130646502
EX_phe__L_e_r	9832972527.0	1.0	9832972527.0	0.0	0.00015062869145650727	0.00015126483880370002	3.3291208869840305e-05	7.408359288534741e-05	7.379551759248452e-05	1.5264440855342932e-05
EX_ser__L_e_r	9474877195.0	1.0	9474877195.0	0.0	0.13485576848451958	0.13500376028683436	0.06425387306238321	0.024182437349617412	0.01913097910975135	0.018802359061473605
EX_ala__L_e_f	3394259704.0	0.0	3394259704.0	1.0	0.31752913420669776	0.22597818068922446	0.30498183264877216	0.624174605294957	0.4341633868903738	0.6043954927148173
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	70837044.0	0.0	70837044.0	1.0	0.00016152090058388512	0.0001659462422805	4.3993766743970416e-05	0.0009013121967241495	0.00096352085217675	0.00027883314984246247
EX_urea_e	7199186928.0	1.0	7199186928.0	0.0	0.060213966485284855	0.050307329885636	0.047295274680869616	0.02669672354357575	0.0245887014311395	0.01782122679554776
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	7709414446.0	1.0	7709414446.0	0.0	0.059224613814313425	0.05131942818813305	0.043180436148249395	0.022329396873044333	0.02074232761244885	0.014066518141820718
EX_hdca_e_f	10000000000.0	1.0	10000000000.0	0.0	1.9606955078784853	1.9554867296634704	0.15770887287219137	0.13494347000496337	0.10427805698889185	0.11522117997194962
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	9875609434.0	1.0	9875609434.0	0.0	0.1398799304126138	0.14175488540568026	0.05743482819551495	0.014591575078534176	0.011855325742474249	0.011629288327482822
EX_biomassx	9966873471.0	1.0	9966873471.0	0.0	0.00045355795336260343	0.00046681525095155	6.888065053342545e-05	0.00021777367003231575	0.00022445686985035	2.8042697210950845e-05
EX_gthox_e	4024090981.0	0.0	4024090981.0	1.0	0.3339279667853878	0.34155089954229945	0.1448188270483104	0.4714853483472725	0.4107523114347109	0.3266653649997247
EX_2obut_e	9822642543.0	1.0	9822642543.0	0.0	0.25658416716839066	0.25187838360348463	0.14022466805384037	0.022597919450819827	0.0235524446538714	0.007402542212879772
EX_crn_e	0.0	0.0	0.0	1.0	-3.457464119949858e-17	-8.663850982743962e-17	2.800434971288235e-16	2.9468847096794315	3.1483755344422955	1.5698280731058747
EX_val__L_e_r	9552122470.0	1.0	9552122470.0	0.0	0.235156052253627	0.24394927694198132	0.056704981588881945	0.12142979496751798	0.1238965171781029	0.021787141896659024
EX_spmd_e	1205550887.0	0.0	1205550887.0	1.0	0.0027644292997484696	0.00242734082118765	0.001880081105331581	0.01537936126334424	0.01329030245050875	0.011540230493434294
EX_sprm_e	152562827.0	0.0	152562827.0	1.0	0.0021849377434473845	0.00210178511718555	0.001194140167921277	0.029884372265523998	0.028471819593551002	0.01581259779763304
EX_5mthf_e	70837062.0	0.0	70837062.0	1.0	0.0001615209313192481	0.00016594624538675002	4.3993745688178296e-05	0.0009013121964609231	0.0009635208517736	0.00027883314984709825
EX_tmlys_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.946884709679557	3.148375534442418	1.5698280731058867
EX_thbpt_e_r	7059823213.0	1.0	7059823213.0	0.0	3.2945823529364735e-05	2.9907169201180986e-05	2.156831446335597e-05	1.757872981673273e-05	1.6523454886753933e-05	1.1505449829926636e-05
EX_CE2705_e	7059823213.0	1.0	7059823213.0	0.0	3.2945823529364735e-05	2.9907169201180986e-05	2.156831446335597e-05	1.757872981673273e-05	1.6523454886753933e-05	1.1505449829926636e-05
EX_crtn_e	7983376043.0	1.0	7983376043.0	0.0	0.05517252768321996	0.04997230879556795	0.02846919867005821	0.027849947553497515	0.02641965519227015	0.016409370098059005
EX_his__L_e_r	6829942422.0	1.0	6829942422.0	0.0	0.1442590394693772	0.15426325431503868	0.042282113803642885	0.11053094073371253	0.10741144945260264	0.053533932181197744
EX_lys__L_e_r	2739731390.0	0.0	2739731390.0	1.0	0.004325069947584038	0.004559125662444799	0.0020604143208565458	0.007561024358216501	0.0079512744683147	0.004087821073811457
EX_carn_e_r	232214852.0	0.0	232214852.0	1.0	4.933639591256212	4.8576044374519	1.3384036246531557	8.050384835634652	8.084089403445619	0.6098340481376529
EX_csn_e_r	1658895601.0	0.0	1658895601.0	1.0	1.3655154213889673	1.0573907723617957	1.1914091968837885	6.034236246782093	4.656623148865804	5.232307586439259
EX_cys__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	8971382347.0	1.0	8971382347.0	0.0	0.20836819017864902	0.2106895614233048	0.06107301026350621	0.10228698911434672	0.0963712234373784	0.05291715164025776
EX_tcyntc	8219921850.0	1.0	8219921850.0	0.0	0.10244050714033615	0.09480887233764115	0.06182374996404199	0.03825948654689526	0.029233133972099652	0.032840053818686626
EX_tcynt_e	7035434855.0	1.0	7035434855.0	0.0	0.1059276830383107	0.1000500854894893	0.06159979167421677	0.06402750256745099	0.0522291893854384	0.05022155309296827
EX_so3_e	1283703922.0	0.0	1283703922.0	1.0	0.07078423144302257	0.07817415468200076	0.028428745510518907	0.16041163171585743	0.15684392873325065	0.07084541070070158
