	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	769938306277.5	1.0	769938306277.5	0.0	4.848763566523393	4.8935850233	0.20122395160300582	4.538471354150004	4.63799343995	0.3871782106967645
EX_glc__D_e_r	594174504899.0	1.0	594174504899.0	0.0	2.7715002862566163	2.7971028474499997	0.11500919292821718	2.6792576884665493	2.73625206635	0.23053992192562203
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	999979163882.0	1.0	999979163882.0	0.0	0.1309067134431719	0.1309696475	0.009473870635460822	0.07479645906688476	0.0764152713	0.006382527546857524
EX_gln__L_e_r	153760735.5	0.0	153760735.5	1.0	0.6782512708495189	0.6799826094	0.03737037312910451	1.1792674117115134	1.2048641415999999	0.10044407677236583
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	213908489004.0	0.0	213908489004.0	1.0	0.09232956078587715	0.06604120685	0.08824330434568933	0.31130135657935826	0.23027793530000001	0.2849226486963958
EX_co2_e	344796564262.5	0.0	344796564262.5	1.0	31.38011439765486	31.1878220634	9.495774577725669	35.42154546677956	35.536597485499996	2.3075613744281953
EX_h_e_f	521093820408.0	1.0	521093820408.0	0.0	220.51578073077215	214.6879504067	125.12573723948837	210.37733019447396	206.3970500713	119.24324720543008
EX_h2o_e_f	557328388483.0	1.0	557328388483.0	0.0	97.6889428853001	96.85828212530001	47.33760213487606	88.03473036468803	84.2984347762	52.133700522719735
EX_ump_e_r	142455027574.5	0.0	142455027574.5	1.0	7.052136450299962e-06	7.1443e-06	3.7561322019102764e-06	2.0634793138300133e-05	1.99129e-05	1.1542073791856103e-05
EX_pi_e_r	149653435.0	0.0	149653435.0	1.0	0.00013546090046050117	0.00013549415	5.314177962898933e-06	0.0003950043231758946	0.00040586050000000003	6.728320934409056e-05
EX_nh4_e	980559583189.5	1.0	980559583189.5	0.0	38.46685247078908	38.2326796449	12.366058105734707	13.616173444766623	13.3136661101	2.5123634442716853
EX_o2_e_r	0.0	0.0	0.0	1.0	2.257915135212977	2.1678896024	0.5597223377732732	19.599517956066844	19.660874611049998	1.3686663878948275
EX_arg__L_e_r	422961110158.0	0.0	422961110158.0	1.0	0.18442730428627474	0.1891826979	0.03210478636243176	0.1914189548225661	0.20067038015	0.054092057184064304
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	258997367.0	0.0	258997367.0	1.0	9.399688945609484e-05	9.418465000000001e-05	5.31143036227425e-06	0.0002769260971668938	0.0002840303	4.846621126408806e-05
EX_ile__L_e_r	89814451.0	0.0	89814451.0	1.0	4.3687131510397675e-05	4.40287e-05	1.1297441516545768e-06	0.0001273850773805969	0.000131169	2.140819050420373e-05
EX_met__L_e_r	0.0	0.0	0.0	1.0	2.3367464297199576e-05	2.35501e-05	6.042799116839448e-07	0.015790512820005608	0.01537389845	0.00976263280822933
EX_gly_e_r	483116670877.5	0.0	483116670877.5	1.0	0.11424815984234665	0.1064352895	0.07421514174152148	0.11602121719173286	0.1147538112	0.06394230565854292
EX_phe__L_e_r	746444675.0	0.0	746444675.0	1.0	5.199467677730009e-05	5.20351e-05	7.180746373632674e-06	0.00015484221372549987	0.0001568483	3.2785518644309824e-05
EX_ser__L_e_r	436312646842.5	0.0	436312646842.5	1.0	0.13534825913936555	0.1214600312	0.09189418685308187	0.14673198141772878	0.1533280332	0.06688927560956288
EX_ala__L_e_f	342735947533.0	0.0	342735947533.0	1.0	0.1727763709599356	0.1244716926	0.16298976529431525	0.3336559291628672	0.23509090970000002	0.3285682065057621
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	867860712745.5	1.0	867860712745.5	0.0	0.00027088672610841224	0.0002858321	8.045586860830692e-05	0.00016034724291699904	0.00016549615	4.533547088430313e-05
EX_urea_e	488467765760.0	7.513360076084727e-176	488467765760.0	1.0	0.0602547466385749	0.05141389355	0.044941700762596105	0.06288515416205556	0.052769335449999996	0.04769620070639637
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	633841949933.5	1.0	633841949933.5	0.0	0.0830019910971009	0.07963376964999999	0.05002818304520599	0.060627597651596234	0.05034833495	0.046759410655041383
EX_hdca_e_f	10275.0	0.0	10275.0	1.0	0.3541501534044319	0.33914232990000004	0.10243193768858092	1.9822545326759318	1.98115087545	0.16093902748153904
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	210251304719.5	0.0	210251304719.5	1.0	0.09482865789952066	0.0912892153	0.05279165151706043	0.15843481238222767	0.1668190411	0.05697124416555903
EX_biomassx	89814666.5	0.0	89814666.5	1.0	0.00015271055952230682	0.0001539044	3.949077402786765e-06	0.0004452809282559954	0.0004585079	7.483340388014845e-05
EX_gthox_e	5817328929.0	0.0	5817328929.0	1.0	0.020881390067914576	0.0194584935	0.01150607419475249	0.33869443294001456	0.34637792135	0.14881731487155214
EX_2obut_e	812677708968.0	1.0	812677708968.0	0.0	0.48895214756809247	0.5135787574999999	0.20221531429080447	0.25752208545790256	0.2536219433	0.14039405637689042
EX_crn_e					0.0	0.0	0.0	0.0	-0.0	0.0
EX_val__L_e_r	687845746445.0	1.0	687845746445.0	0.0	0.30250101762818393	0.30585945685	0.12421353175022941	0.22553874245547337	0.23479002165	0.0629808669285427
EX_spmd_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.002805827974428472	0.00242323465	0.002038327157855897
EX_sprm_e	126678163291.0	0.0	126678163291.0	1.0	0.0005157044554401899	0.0005159972000000001	0.00024056015613358844	0.0020418015028748297	0.00196111575	0.0012378887676818989
EX_5mthf_e	867860664622.0	1.0	867860664622.0	0.0	0.00027088672611381217	0.0002858321	8.045586860767365e-05	0.00016034727149300058	0.00016549620000000002	4.533546267609222e-05
EX_tmlys_e_r					0.0	0.0	0.0	0.0	0.0	0.0
EX_thbpt_e_r	115687347956.0	0.0	115687347956.0	1.0	1.23714787620005e-05	1.24425e-05	7.071880064927704e-06	3.930695242620115e-05	3.95988e-05	1.9861438522315003e-05
EX_CE2705_e	115687347956.0	0.0	115687347956.0	1.0	1.23714787620005e-05	1.24425e-05	7.071880064927704e-06	3.930695242620115e-05	3.95988e-05	1.9861438522315003e-05
EX_crtn_e	285130312092.5	0.0	285130312092.5	1.0	0.041115703754932155	0.029460197049999998	0.03816597632952884	0.06774623138227232	0.0597357307	0.04050500083331913
EX_his__L_e_r	289737742590.0	0.0	289737742590.0	1.0	0.09601742827905281	0.0973886338	0.0576866055710366	0.13817719465065847	0.14939984395	0.04817573614866413
EX_lys__L_e_r	991133654903.0	1.0	991133654903.0	0.0	0.14693272693304157	0.1530537643	0.07018785611154624	0.004247170032887726	0.00441151675	0.0020118533026585125
EX_carn_e_r	804318731642.5	1.0	804318731642.5	0.0	7.914944686034193	7.9506534189	2.895303062089796	5.069943639043523	4.9634655441	1.3131629171883727
EX_csn_e_r	993853759121.5	1.0	993853759121.5	0.0	10.23746458539949	10.0496963143	3.698926322956846	1.2622390679636506	0.9534840474499999	1.1273834014922954
EX_cys__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	221531210045.0	0.0	221531210045.0	1.0	0.13581209231006497	0.1268959827	0.06843834447715332	0.20685194705552884	0.20873672	0.06284406386871219
EX_tcyntc	396823975971.0	0.0	396823975971.0	1.0	0.07533992886353266	0.06000873265	0.06096196545377873	0.09912253398333756	0.08918988535	0.06927020225741566
EX_tcynt_e	292370040786.0	0.0	292370040786.0	1.0	0.06047216344657591	0.04878240145	0.04944532005071931	0.10772941307220643	0.0988961088	0.0694292632864818
EX_so3_e	920307548291.5	1.0	920307548291.5	0.0	0.1826241252148587	0.18830954705	0.06815259959629687	0.07100024024084148	0.07541877745	0.026153938277252663
EX_thr__L_e_r	828088748895.5	1.0	828088748895.5	0.0	0.489010609758928	0.5136381174	0.20221540755109363	0.24197294928147642	0.23944620049999998	0.13903999034983128
EX_trp__L_e_r	211190777245.5	0.0	211190777245.5	1.0	0.0051524290823722	0.005358601750000001	0.002718907577831735	0.013615679581430304	0.0125805214	0.008900519574613528
EX_anth_e	211342520371.5	0.0	211342520371.5	1.0	0.005150397115651584	0.00535659225	0.002718908248124787	0.013609754638894219	0.01257447435	0.008900444246767624
EX_tyr__L_e_r	173353201183.0	0.0	173353201183.0	1.0	1.2011968964100155e-05	1.19208e-05	7.078159018826014e-06	3.2041642913601615e-05	3.0599549999999994e-05	1.872264172518566e-05
EX_cystinex_r	576705084115.5	1.0	576705084115.5	0.0	0.18410372515279444	0.18709024400000002	0.013427487710625498	0.17881601113691745	0.18295333945	0.01781035001223113
EX_3hydroxybutanoatex_r	4343251.0	0.0	4343251.0	1.0	1.215847649877598	1.01805505905	0.7717686926847288	11.821260485402469	11.98575380865	0.5821070211734949
EX_gthrd_e_r	9830978324.0	0.0	9830978324.0	1.0	0.02532680883439544	0.02027141215	0.02058546089192841	0.6339171624532448	0.6464182647	0.2993278906531642
EX_cmp_e_r	118127896751.0	0.0	118127896751.0	1.0	3.893172977299966e-06	3.9581e-06	2.0380064961155964e-06	1.125931286649985e-05	1.09233e-05	5.683706755763967e-06
HEX1	85998786636.5	0.0	85998786636.5	1.0	2.9343888899964874	2.91743467365	0.19934272160927155	5.487418380705312	4.71279492265	2.6991278405000236
G6PP	50669467545.5	0.0	50669467545.5	1.0	0.16288860373988787	0.1168732343	0.15612173870156695	2.808160692238928	2.02932024325	2.681166202232005
PGI	764388445360.5	1.0	764388445360.5	0.0	1.380345674169757	1.38664004375	0.7844509880001066	0.660684012203065	0.4855044653	0.5958361019995662
PFK	137063280098.0	0.0	137063280098.0	1.0	1.206743437695713	1.14737814355	0.671102644977884	3.8444175509251095	3.0637171494	2.83013559964538
FBP	49174478025.5	0.0	49174478025.5	1.0	0.15579889475282824	0.10706452085	0.15322959203799474	2.8943002850628505	2.0590202518	2.7721760981538677
FBA	541659140954.0	1.0	541659140954.0	0.0	1.0509445429430304	0.99668941255	0.6411391171125196	0.9501172658619894	0.898898194	0.5881926313721266
TPI	789622553775.0	1.0	789622553775.0	0.0	2.3070505606554694	2.3058560043	0.2771711322772203	2.0016787772341167	1.9773302023500001	0.25906600490721765
GAPD	767442512898.5	1.0	767442512898.5	0.0	5.0774535645541805	5.07999656205	0.33398423953774836	4.673854937027518	4.7344802560999995	0.44407445359431735
PGK	944795090196.0	1.0	944795090196.0	0.0	4.921559136415951	4.9291436189999995	0.3625077963500755	2.8768862081634916	3.06443236605	1.3899008897046667
DPGM	65059799544.5	0.0	65059799544.5	1.0	0.15589442813809282	0.11135545315	0.14891585942198984	1.7969687288639582	1.5456734670999999	1.3177308311268734
DPGase	65059799544.5	0.0	65059799544.5	1.0	0.155894428138092	0.11135545315	0.14891585942198965	1.7969687288640288	1.5456734670999999	1.3177308311268794
PGM_f	974984709230.5	1.0	974984709230.5	0.0	21.174366267512216	21.926614972800003	7.343036691219268	6.524770343036028	6.4851015369	1.246960702609622
ENO_f	970739298385.5	1.0	970739298385.5	0.0	19.14448783982775	19.34728393145	7.243977197294736	6.321001707772103	6.4639079851000005	0.7502568408927692
PYK	852334096902.0	1.0	852334096902.0	0.0	5.020764511917107	5.02322181605	0.33888755744245147	4.4057699967753825	4.4590253289	0.4988265234675647
LDH_L	769938306273.0	1.0	769938306273.0	0.0	4.848763566523162	4.8935850233	0.20122395160285492	4.5384713541554795	4.63799343995	0.3871782106967224
r0407	588104589004.5	1.0	588104589004.5	0.0	1.256106017712407	1.26098684305	0.6593908077600389	1.0515615113943593	1.07047353185	0.5528714787619883
