	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	4.849678524881608	4.894216741105343	0.20035955224944701	0.07194499595740918	0.07431158549906465	0.008523158695708893
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.771991775842161	2.797439924915024	0.11453335150493518	0.10266818571879112	0.10449486872452775	0.01358419094318164
EX_gluIN__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0028953859653412543	0.0023587504304906	0.0022539491346701313
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.12989902762995317	0.13002654542114844	0.00932354104570527	0.011194836632054837	0.0114491761644773	0.0014735127638108127
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.6753856527616017	0.6769621661926974	0.03706667845214812	0.2050645686088219	0.2116389353291411	0.024557867106891573
EX_asp__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.028742375965964774	0.02916346488274665	0.012154461260915461
DM_asp__L_e	609122263.0	0.0	609122263.0	1.0	0.09368443984751297	0.06664960007363994	0.0886939835173242	1.1877821619531603	0.93067592558196	1.0091114786234354
EX_co2_e	1648349.0	0.0	1648349.0	1.0	37.49938488799915	38.43760695005879	8.41118510212705	105.4152203303206	102.13997260355411	22.54959720141592
EX_h_e_f	3496451867.0	0.0	3496451867.0	1.0	220.00694187016884	198.47487397642874	136.1129294791184	283.0261738799668	296.6038064167893	80.95375653332782
EX_h2o_e_f	3466584078.0	0.0	3466584078.0	1.0	91.06868116903297	89.35399665874228	50.53281177916069	117.03470600737448	121.87453854107045	39.12884010464916
EX_ump_e_r	9453000342.0	1.0	9453000342.0	0.0	7.084731984774865e-06	6.841604545352922e-06	4.034740626339955e-06	8.934867722542216e-07	8.891366898733385e-07	3.470397273347303e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00013561123119839574	0.00013577059187000001	5.319026949579539e-06	1.2917265380252782e-05	1.2935075097743676e-05	2.6802580873806533e-06
EX_nh4_e	2095621047.0	0.0	2095621047.0	1.0	46.468229762321776	47.860497984187	10.986383359539973	76.08205871939343	70.87991139100338	32.295091731679825
EX_o2_e_r	0.0	0.0	0.0	1.0	2.284221471399639	2.1798434717686863	0.5878491456319067	62.64428236188085	62.570536907419154	6.12070073191364
EX_arg__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.19429505196009747	0.19799540488242373	0.024187758020524294	0.07876204124659039	0.08181842697997554	0.012038597626448612
EX_pro__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.884073226641591e-06	4.835843860710382e-06	1.3171183155565745e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	9.339332142311782e-05	9.325935506251952e-05	5.418338078916665e-06	8.409517081048237e-06	8.469115527951382e-06	1.7136123946283784e-06
EX_ile__L_e_r	10000000000.0	1.0	10000000000.0	0.0	4.368554478923943e-05	4.4026674473600534e-05	1.1287514381216847e-06	4.212457695337775e-06	4.226318298586693e-06	8.806041440227472e-07
EX_met__L_e_r	24509030.0	0.0	24509030.0	1.0	2.3366615898586583e-05	2.3549079321834312e-05	6.037489514269664e-07	0.0030478037592160437	0.0030217193742693	0.0015842255333094121
