	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	912189051562.5	1.0	912189051562.5	0.0	4.848763566523393	4.8935850233	0.20122395160300582	3.7430959076328403	3.7782480409000003	0.7944475177057041
EX_glc__D_e_r	798445447002.0	1.0	798445447002.0	0.0	2.7715002862566163	2.7971028474499997	0.11500919292821718	2.3029159661757777	2.32416907	0.48838925608487677
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	375649002416.0	0.0	375649002416.0	1.0	0.1309067134431719	0.1309696475	0.009473870635460822	0.14315617184401574	0.1455391603	0.039637324371152895
EX_gln__L_e_r	999981837461.0	1.0	999981837461.0	0.0	0.6782512708495189	0.6799826094	0.03737037312910451	0.34307443861396053	0.3462062306	0.072208309032681
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	124859457905.0	0.0	124859457905.0	1.0	0.09232956078587715	0.06604120685	0.08824330434568933	0.5367271095747126	0.41455258679999996	0.4619166889237079
EX_co2_e	2076245818.0	0.0	2076245818.0	1.0	31.38011439765486	31.1878220634	9.495774577725669	64.99888093774602	64.26610582859999	8.201764815652643
EX_h_e_f	317586541348.0	0.0	317586541348.0	1.0	220.51578073077215	214.6879504067	125.12573723948837	298.2409150417959	311.2389413875	103.87445401948767
EX_h2o_e_f	408271672095.0	0.0	408271672095.0	1.0	97.6889428853001	96.85828212530001	47.33760213487606	112.22619885975215	115.13170225675	43.64050488877861
EX_ump_e_r	324170847637.0	0.0	324170847637.0	1.0	7.052136450299962e-06	7.1443e-06	3.7561322019102764e-06	1.035602737650023e-05	1.01642e-05	5.5115773512197e-06
EX_pi_e_r	31181373510.0	0.0	31181373510.0	1.0	0.00013546090046050117	0.00013549415	5.314177962898933e-06	0.00019387471824619895	0.0001993317	2.570534381616243e-05
EX_nh4_e	558813736154.0	1.0	558813736154.0	0.0	38.46685247078908	38.2326796449	12.366058105734707	36.856499797504355	34.109679958049995	10.93131318965487
EX_o2_e_r	0.0	0.0	0.0	1.0	2.257915135212977	2.1678896024	0.5597223377732732	51.2538270283336	51.474400345099994	6.396236139049575
EX_arg__L_e_r	997940126847.5	1.0	997940126847.5	0.0	0.18442730428627474	0.1891826979	0.03210478636243176	0.076796966491881	0.07810945229999999	0.005038868890143426
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	31818041380.0	0.0	31818041380.0	1.0	9.399688945609484e-05	9.418465000000001e-05	5.31143036227425e-06	0.00013536869679219975	0.00013876	1.839904506538325e-05
EX_ile__L_e_r	27649887919.0	0.0	27649887919.0	1.0	4.3687131510397675e-05	4.40287e-05	1.1297441516545768e-06	6.268246026059824e-05	6.46613e-05	7.96478975991867e-06
EX_met__L_e_r	14076335.5	0.0	14076335.5	1.0	2.3367464297199576e-05	2.35501e-05	6.042799116839448e-07	0.0016861776839876695	0.0017818373000000002	0.0008180404880070304
