	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	0.0	0.0	0.0	1.0	0.07168509894314563	0.073375304833535	0.007691531855992375	3.917881394273117	3.9931716962565496	0.775868926923093
EX_glc__D_e_r	0.0	0.0	0.0	1.0	0.10361524031318577	0.10547396736763355	0.013102234413491889	2.40971859132845	2.4564390481123546	0.47849985795565136
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.0031427552884272223	0.0027102906911650997	0.0023043568305592546	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	0.0	0.0	1.0	0.011113390029217806	0.01126464851453005	0.0013102780580113386	0.15011190285601841	0.14914053038043457	0.03852348561772429
EX_gln__L_e_r	232690941.0	0.0	232690941.0	1.0	0.20429898827910387	0.20927201433642617	0.022711418335637786	0.3590834470514693	0.36718716902278037	0.07094303051624366
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.028346101305802163	0.02921408584787965	0.011868681382314417	0.0	0.0	0.0
DM_asp__L_e	7110742893.0	1.0	7110742893.0	0.0	1.1241632741281413	0.9058813413580555	0.918570821813972	0.5100190362932484	0.39711581967294707	0.4177832402950474
EX_co2_e	9783073614.0	1.0	9783073614.0	0.0	103.44621162038155	100.13395546803866	21.550981464758262	65.2899076667813	64.6385967836332	7.97412432161742
EX_h_e_f	3457767839.0	0.0	3457767839.0	1.0	273.90519371736474	277.31414036538274	74.62896708547757	318.26486045662915	330.9943240626112	95.9217787504407
EX_h2o_e_f	4665222857.0	1.4640179380711017e-148	4665222857.0	1.0	105.45527701918805	111.79262550023708	44.13353545560563	111.05585412962292	115.8906677498544	44.390453099984214
EX_ump_e_r	380478745.0	0.0	380478745.0	1.0	8.472689028941958e-07	8.52713595914487e-07	3.59969020760799e-07	1.0010977767837067e-05	9.55167673555895e-06	5.992536173180444e-06
EX_pi_e_r	0.0	0.0	0.0	1.0	1.3463719233606555e-05	1.3775943499656149e-05	3.0336881751585157e-06	0.0001924799238952479	0.00019740740028725	2.5160269000018295e-05
EX_nh4_e	8926201326.0	1.0	8926201326.0	0.0	73.53253861105848	67.89787518116287	31.20982717417075	36.963063726746505	34.267185581894594	10.803923077550557
EX_o2_e_r	8926799666.0	1.0	8926799666.0	0.0	62.51473307611659	62.584758759124355	6.108414237792183	51.67083902371785	52.036130870521376	6.426614727143263
EX_arg__L_e_r	6091250574.0	1.0	6091250574.0	0.0	0.07825273834774013	0.0812085962582681	0.012156564986487237	0.07695430533816335	0.07821037419991655	0.004994200320275873
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	5.119285394452319e-06	5.170856547010802e-06	1.4679980964929815e-06	0.0	0.0	0.0
EX_leu__L_e_r	0.0	0.0	0.0	1.0	8.650305714655233e-06	8.855915962078189e-06	1.887344785253008e-06	0.00013309382288033436	0.0001367239128398	1.865094294827439e-05
EX_ile__L_e_r	0.0	0.0	0.0	1.0	4.36159747590702e-06	4.4624633952920395e-06	9.759182645621226e-07	6.230025597551597e-05	6.421217241307127e-05	8.022398732714812e-06
EX_met__L_e_r	8054385479.0	1.0	8054385479.0	0.0	0.0032201622696696815	0.003259591681889	0.001573567759177484	0.0015886902702428097	0.0016124231981587	0.0007929833426047558
EX_gly_e_r	4326042230.0	0.0	4326042230.0	1.0	0.035529396290399216	0.036821121947176544	0.014142816369899175	0.04343913755899067	0.04008263412996045	0.026861517130646502
EX_phe__L_e_r	0.0	0.0	0.0	1.0	5.5627604939352845e-06	5.553548320811255e-06	1.5415282490245176e-06	7.408359288534741e-05	7.379551759248452e-05	1.5264440855342932e-05
EX_ser__L_e_r	3090475822.0	0.0	3090475822.0	1.0	0.012241436016468906	0.0097185363050348	0.009967822582085572	0.024182437349617412	0.01913097910975135	0.018802359061473605
EX_ala__L_e_f	6694663911.0	1.0	6694663911.0	0.0	1.1238799841527656	0.8676652193702725	0.9761426583760235	0.624174605294957	0.4341633868903738	0.6043954927148173
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.010639551824516648	0.01074819046179645	0.0010355684409983552	0.0	0.0	0.0
EX_fol_e_r	8312805983.0	1.0	8312805983.0	0.0	0.001398257132778442	0.00145038922158935	0.00042197923289861744	0.0009013121967241495	0.00096352085217675	0.00027883314984246247
EX_urea_e	5170160107.0	1.0	5170160107.0	5.6808391376058326e-40	0.027879253287098463	0.02577517117275665	0.01826768058347432	0.02669672354357575	0.0245887014311395	0.01782122679554776
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.007916326004456556	0.0080567049232033	0.0024622524179465865	0.0	0.0	0.0
PYRt2	10000000000.0	1.0	10000000000.0	0.0	0.007916326004456607	0.0080567049232034	0.002462252417946588	0.0	0.0	0.0
EX_gudac_e	5180334164.0	1.0	5180334164.0	1.211900329451947e-44	0.02441095827428505	0.02124772183604305	0.01742232399432635	0.022329396873044333	0.02074232761244885	0.014066518141820718
EX_hdca_e_f	7117033446.0	1.0	7117033446.0	0.0	0.3053976711503451	0.2372989889650451	0.260410312484437	0.13494347000496337	0.10427805698889185	0.11522117997194962
EX_ptrcIN_e	10000000000.0	1.0	10000000000.0	0.0	0.0003031336502474199	0.0003120398454055	0.00010332336346229683	0.0	0.0	0.0
EX_ptrcOUT_e	5890672621.0	1.0	5890672621.0	0.0	0.019065429461186556	0.01600819238654995	0.014358236186116322	0.014591575078534176	0.011855325742474249	0.011629288327482822
EX_biomassx	0.0	0.0	0.0	1.0	1.52461827750025e-05	1.5598764656115795e-05	3.411371250365798e-06	0.00021777367003231575	0.00022445686985035	2.8042697210950845e-05
EX_gthox_e	5814463738.0	1.0	5814463738.0	0.0	0.6097695845800526	0.5322349347341149	0.4390357361415941	0.4714853483472725	0.4107523114347109	0.3266653649997247
EX_2obut_e	9588774694.0	1.0	9588774694.0	0.0	0.046179976327220526	0.0466816027361157	0.01102004083139694	0.022597919450819827	0.0235524446538714	0.007402542212879772
EX_crn_e	1497582373.0	0.0	1497582373.0	1.0	0.9375631961313438	0.9668589799797487	0.18586231561256367	2.9468847096794315	3.1483755344422955	1.5698280731058747
EX_val__L_e_r	527192779.0	0.0	527192779.0	1.0	0.07316304283933946	0.07583385302346625	0.019062254944842316	0.12142979496751798	0.1238965171781029	0.021787141896659024
EX_spmd_e	5651554887.0	1.0	5651554887.0	0.0	0.0181303475596253	0.0161157208757432	0.012610284898806463	0.01537936126334424	0.01329030245050875	0.011540230493434294
EX_sprm_e	1906588789.0	0.0	1906588789.0	1.0	0.013476619645995953	0.012119975197555	0.009242518037489754	0.029884372265523998	0.028471819593551002	0.01581259779763304
EX_5mthf_e	8312805998.0	1.0	8312805998.0	0.0	0.0013982571359019182	0.001450389239144	0.0004219792316290374	0.0009013121964609231	0.0009635208517736	0.00027883314984709825
EX_tmlys_e_r	1497582373.0	0.0	1497582373.0	1.0	0.937563196131344	0.9668589799797499	0.18586231561256378	2.946884709679557	3.148375534442418	1.5698280731058867
EX_thbpt_e_r	545689199.0	0.0	545689199.0	1.0	1.6068944340363241e-06	1.5616540979698252e-06	8.919863772544235e-07	1.757872981673273e-05	1.6523454886753933e-05	1.1505449829926636e-05
EX_CE2705_e	545689199.0	0.0	545689199.0	1.0	1.6068944340363241e-06	1.5616540979698252e-06	8.919863772544235e-07	1.757872981673273e-05	1.6523454886753933e-05	1.1505449829926636e-05
EX_crtn_e	4561960026.0	1.1890461444826334e-252	4561960026.0	1.0	0.025957049443236742	0.02246314897178425	0.01778328811119996	0.027849947553497515	0.02641965519227015	0.016409370098059005
EX_his__L_e_r	4702958031.0	1.9065485717972898e-117	4702958031.0	1.0	0.1049021325331996	0.1076329531358001	0.02759329110374386	0.11053094073371253	0.10741144945260264	0.053533932181197744
EX_lys__L_e_r	9104391992.0	1.0	9104391992.0	0.0	0.024096560068703376	0.02385670802671455	0.011227735537324363	0.007561024358216501	0.0079512744683147	0.004087821073811457
EX_carn_e_r	9992019101.0	1.0	9992019101.0	0.0	12.564935319530873	12.557199902792366	1.1437417166098456	8.050384835634652	8.084089403445619	0.6098340481376529
EX_csn_e_r	8277734289.0	1.0	8277734289.0	0.0	21.061187854550706	18.365458803849897	15.256522473533472	6.034236246782093	4.656623148865804	5.232307586439259
EX_cys__L_e	10000000000.0	1.0	10000000000.0	0.0	0.0840987596408111	0.08495747763899225	0.008185497175778675	0.0	0.0	0.0
EX_cyan_e_r	3741449463.0	0.0	3741449463.0	1.0	0.07855823199774443	0.07535237762535729	0.036860715605372844	0.10228698911434672	0.0963712234373784	0.05291715164025776
EX_tcyntc	5106949697.0	0.9999999999999999	5106949697.0	5.9419285525101e-17	0.036579854128580315	0.0311718741617059	0.02677517416255069	0.03825948654689526	0.029233133972099652	0.032840053818686626
EX_tcynt_e	3796563150.0	0.0	3796563150.0	1.0	0.041978377869166	0.03484209146771455	0.03204776987362461	0.06402750256745099	0.0522291893854384	0.05022155309296827
EX_so3_e	1931067271.0	0.0	1931067271.0	1.0	0.08655767053941824	0.08316291495671549	0.041216407235572676	0.16041163171585743	0.15684392873325065	0.07084541070070158
EX_thr__L_e_r	9494974664.0	1.0	9494974664.0	0.0	0.0429676127952681	0.04326992592543425	0.010933855359043872	0.02112498771603824	0.022022021389378497	0.007440046469235836
EX_trp__L_e_r	13712726.0	0.0	13712726.0	1.0	0.0010456687115708936	0.00098990971672685	0.0005423186545307039	0.007956256289487105	0.0080583495776817	0.002880698906618385
EX_anth_e	561867640.0	0.0	561867640.0	1.0	0.0007487783045644259	0.0006779833516168	0.000498707856257331	0.005162728298867784	0.00523497789409695	0.00264218311576401
EX_tyr__L_e_r	422845920.0	0.0	422845920.0	1.0	1.8607073536266563e-06	1.7923297423068583e-06	9.526996735603195e-07	1.9761581170126983e-05	2.0638802807075864e-05	1.1050475419062341e-05
EX_cystinex_r	0.0	0.0	0.0	1.0	0.06564688485688074	0.0666703347943714	0.012562672574767824	0.1824023697635076	0.18582573779475225	0.014805005036036515
EX_3hydroxybutanoatex_r	9916115135.0	1.0	9916115135.0	0.0	8.008443710071663	8.186812005043759	1.7841507028304306	3.0340480306541906	3.2540900432492537	0.8867131071371942
EX_gthrd_e_r	5924806704.0	1.0	5924806704.0	0.0	1.1879748381729875	1.027612464269648	0.8799028300272068	0.8825061080203759	0.7620356488796219	0.6458167223060853
EX_cmp_e_r	104296736.0	0.0	104296736.0	1.0	2.9443071767667856e-07	2.8208974851409457e-07	1.8381750369489464e-07	6.29241542826552e-06	6.3321331600351255e-06	2.9214019775838856e-06
HEX1	3636804579.0	0.0	3636804579.0	1.0	11.928395299642714	9.239698019589435	10.005498137725603	18.949680249431882	13.486636880387552	15.788007942491838
G6PP	4369318101.0	0.0	4369318101.0	1.0	11.82478005933096	9.134885879681715	10.00503682809645	16.539961658103277	11.11397153602028	15.731034749583754
PGI	137991529.0	0.0	137991529.0	1.0	0.049707287600869794	0.0488663061786203	0.028590005833613	1.2401681628689114	1.2195086863284932	0.6879490555774016
PFK	4998349936.0	0.44914846134815534	4998349936.0	0.5508515693023224	13.873246168155454	11.08808000124793	11.539369744063084	13.825602548729202	10.437486001889416	11.375518826012728
