,"('MCF102A', 'MDAMB231')","('MCF102A', 'MDAMB361')","('MCF102A', 'MCF7')","('MCF102A', 'SKBR3')","('MDAMB231', 'MDAMB361')","('MDAMB231', 'MCF7')","('MDAMB231', 'SKBR3')","('MDAMB361', 'MCF7')","('MDAMB361', 'SKBR3')","('MCF7', 'SKBR3')",qc_substracts
PGI,0,-1,0,1,-1,0,1,0,1,1,1.0
FBA,0,0,0,0,0,0,0,0,0,0,1.0
PGK,1,-1,0,1,-1,-1,-1,1,1,1,1.0
DPGM,1,-1,0,1,-1,-1,-1,1,1,1,1.0
PGM_f,0,0,0,-1,0,0,-1,0,-1,-1,1.0
G6PDH2r,0,-1,-1,1,-1,-1,1,0,1,1,1.0
GND,0,0,-1,0,0,-1,0,-1,0,1,1.0
RPI,0,1,-1,0,0,-1,0,-1,-1,1,1.0
TKT2_f,1,1,0,1,0,0,0,0,0,0,1.0
RPE_f,0,1,-1,0,0,-1,0,-1,-1,1,1.0
TALA_f,0,0,0,1,0,0,0,0,0,1,1.0
PDHm,0,0,0,-1,0,0,-1,0,-1,-1,1.0
ACONTm_f,1,0,0,1,-1,-1,0,1,1,1,1.0
AKGDm,0,0,0,0,0,0,0,0,0,0,1.0
MDHm_f,1,0,-1,1,0,-1,1,0,1,1,1.0
ME1m,1,0,-1,1,0,-1,1,0,1,1,1.0
ME2m,0,0,0,0,0,0,0,0,0,0,1.0
ME2,0,0,0,0,0,0,0,0,0,0,1.0
MDH_f,1,0,-1,1,0,-1,1,0,1,1,1.0
AKGMALtm_f,1,0,0,1,-1,-1,0,0,1,1,1.0
ACONT,1,0,0,1,-1,-1,0,1,1,1,1.0
r0801_f,0,-1,-1,0,-1,-1,0,0,1,1,1.0
ADSL2r,0,0,-1,-1,0,0,0,-1,-1,0,1.0
AICART,1,0,0,1,-1,-1,0,-1,1,1,1.0
ADSS,0,-1,-1,0,0,-1,0,-1,1,1,1.0
ADSL1r,0,0,-1,-1,0,-1,-1,-1,-1,0,1.0
RNDR2,0,-1,-1,0,0,-1,0,0,0,1,1.0
RNDR1,1,-1,0,1,-1,-1,0,1,1,0,1.0
ASPTA_f,1,0,0,1,-1,-1,0,0,1,1,1.0
ASPT,1,0,0,1,-1,-1,1,0,1,1,1.0
ARGSL,1,1,0,1,0,-1,0,-1,0,1,1.0
GLYAMDTRc,1,0,-1,1,-1,-1,-1,0,1,1,1.0
GLU5SAtmc_f,-1,0,-1,0,0,-1,0,-1,0,1,1.0
G5SADs_f,-1,0,-1,0,0,-1,0,-1,0,1,1.0
METS,0,0,0,0,0,0,0,0,0,0,1.0
CYSTS,-1,-1,-1,-1,-1,-1,0,1,1,0,1.0
5MTHFt,0,0,0,0,0,0,0,0,0,0,1.0
LEUTA,1,-1,0,1,-1,-1,-1,0,1,1,1.0
LEUTAm,1,-1,0,1,-1,-1,-1,0,1,1,1.0
VALTA,1,-1,-1,1,-1,-1,0,0,1,1,1.0
VALTAim,1,-1,-1,1,-1,-1,0,0,1,1,1.0
MMEm,0,-1,0,0,-1,0,0,1,1,0,1.0
MMMm,0,-1,0,0,-1,0,0,1,1,0,1.0
LEUt5m,0,-1,-1,-1,-1,-1,-1,-1,0,1,1.0
VALt5m,0,-1,-1,-1,0,-1,0,-1,0,0,1.0
PGCD,0,0,0,0,-1,-1,0,0,1,1,1.0
SERD_L,0,-1,-1,-1,-1,-1,-1,0,0,0,1.0
r1435,0,-1,-1,-1,-1,-1,-1,0,0,0,1.0
GLYtm_r,1,0,-1,0,0,-1,-1,-1,0,1,1.0
MLTHFtm_r,1,1,0,1,0,-1,0,-1,0,1,1.0
r0962,0,-1,-1,-1,0,-1,-1,0,0,0,1.0
r0514,0,0,0,-1,0,0,0,0,-1,-1,1.0
FOLR2,0,0,0,-1,0,0,0,0,-1,-1,1.0
ACACT1r,0,0,0,0,0,0,0,1,1,0,1.0
IPDDI,0,0,0,0,0,0,0,0,0,0,1.0
HMR_1465,1,0,1,1,-1,-1,0,1,1,0,1.0
SUCFUMtm_r,0,-1,-1,1,-1,-1,1,-1,1,1,1.0
DmLact,1,0,0,0,-1,0,0,0,0,0,1.0
DmGSSG,0,-1,-1,1,-1,-1,0,0,1,1,1.0
DmAla,1,0,0,1,-1,-1,0,0,1,1,1.0
DmAsp,1,0,0,1,-1,-1,1,0,1,1,1.0
r0450,1,-1,0,1,-1,-1,1,0,1,1,1.0
CYSTA,1,0,-1,1,-1,-1,0,-1,1,1,1.0
3SALAASPm,1,-1,-1,1,-1,-1,1,0,1,1,1.0
TYRTA,1,-1,0,1,-1,-1,0,1,1,1,1.0
PPCOAtm,0,0,0,0,0,0,0,0,0,0,1.0
OCOAT1m,0,-1,0,0,-1,0,0,1,1,0,1.0
GLYC3Ptm,0,0,-1,0,-1,-1,0,-1,1,1,1.0
Transport_4abut_c_e,0,-1,0,1,-1,0,0,1,1,1,1.0
TKT2_b,1,0,1,1,0,0,0,0,0,1,1.0
RPE_b,0,1,-1,0,0,-1,0,-1,-1,1,1.0
TKT1_b,0,0,0,1,0,0,0,0,0,1,1.0
TALA_b,1,0,0,1,-1,0,0,0,1,0,1.0
SUCOAS1m_b,0,0,0,0,0,0,0,0,0,0,1.0
FUMm_b,0,0,0,0,0,0,0,0,0,0,1.0
FUM_b,0,0,0,0,0,0,0,0,0,0,1.0
AKGMALtm_b,1,0,0,1,-1,-1,0,0,1,1,1.0
r0801_b,0,-1,-1,0,-1,-1,0,0,1,1,1.0
GLU5SAtmc_b,-1,0,-1,0,0,-1,0,-1,0,1,1.0
ALATA_L_b,1,0,0,1,-1,-1,0,1,1,1,1.0
MTHFD2i_b,1,1,0,1,0,-1,0,-1,0,1,1.0
