Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	9077.0	1.0	9077.0	1.1348805863567731e-23	5.597373200000001	5.828225	1.0369571144740477	4.1207666	3.9612100000000003	0.5284799613857681
EX_glc__D_e_r	9009.0	1.0	9009.0	5.954546295343969e-23	3.3034875000000006	3.438485	0.6124454906231215	2.4785441	2.381415	0.3172309394743645
EX_gluIN__L_e	10000.0	1.0	10000.0	2.8198003048388453e-39	0.034986399999999994	0.036055000000000004	0.006409893949547407	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	1.280711066965257e-34	0.0	1.0	0.0450999	0.04751	0.008314450423719227	0.06819489999999999	0.06559000000000001	0.008858647945608993
EX_gln__L_e_r	5.0	1.4886190571435146e-34	5.0	1.0	0.7494245	0.78347	0.13705481800407934	1.0760665	1.033475	0.13946176878368038
EX_asp__L_e	10000.0	1.0	10000.0	2.818971252286885e-39	0.0399249	0.04146	0.006134292002646873	0.0	0.0	0.0
DM_asp__L_e	3759.0	0.0012183728265291204	3759.0	0.99879145065835	0.48637049999999993	0.310925	0.4730523325105658	0.4666825	0.45663	0.19515154940481771
EX_co2_e	9164.0	1.0	9164.0	1.3079389560998283e-24	156.6278202	159.70712500000002	24.790595013699054	121.04040049999998	116.38554500000001	15.653128009339037
EX_h_e_f	2743.0	1.7587649599164213e-08	2743.0	0.9999999826549966	364.2414518	368.46768	55.65485769748775	400.8221531000001	398.56705999999997	25.261868964120076
EX_h2o_e_f	6594.0	0.9999510994926523	6594.0	4.939591275833316e-05	412.41079719999993	421.12816499999997	64.70972567887539	398.9546035	386.47907	49.948327903243104
EX_ump_e_r	929.5	1.328813103178079e-23	929.5	1.0	0.0012442	0.001305	0.0005007533314815778	0.005924700000000001	0.0059900000000000005	0.0026904280215969243
EX_pi_e_r	810.0	6.797228872565133e-25	810.0	1.0	0.020245899999999997	0.022405	0.008436961980751511	0.12211549999999997	0.136855	0.04345347848765122
EX_nh4_e	9894.0	1.0	9894.0	2.993911156827946e-33	120.02632370000003	121.23708500000001	23.999800740456017	32.30157859999999	31.863084999999998	7.975982539130789
EX_o2_e_r	9033.0	1.0	9033.0	3.3275346954846685e-23	99.1387012	100.51867	14.56038574963959	77.409233	74.82208499999999	10.75098190524738
EX_arg__L_e_r	0.0	1.2804946538696245e-34	0.0	1.0	0.1007833	0.104025	0.01691814231838267	0.2870898	0.28865	0.018972381999830035
EX_pro__L_e	10000.0	1.0	10000.0	2.8168996623796895e-39	0.0043961	0.00364	0.002219751053017824	0.0	0.0	0.0
EX_leu__L_e_r	810.0	6.7969592679876685e-25	810.0	1.0	0.0139052	0.015179999999999999	0.00596723012067838	0.0832615	0.09323000000000001	0.02963906064484991
EX_ile__L_e_r	811.0	6.967682223730264e-25	811.0	1.0	0.0067265	0.007445	0.00279603990340162	0.03949630000000001	0.044215000000000004	0.014028763860891183
EX_met__L_e_r	0.0	1.2803503982500373e-34	0.0	1.0	0.0059139	0.0057599999999999995	0.0019982228948177273	0.0367268	0.03690499999999999	0.0046979838529765386
EX_gly_e_r	1166.0	3.7405525578272725e-21	1166.0	1.0	0.10267100000000003	0.11414	0.03542884231352709	0.16244530000000001	0.16377	0.041969159611492696
EX_phe__L_e_r	891.0	5.151295486338744e-24	891.0	1.0	0.0100167	0.011065	0.004121812893042639	0.0500763	0.05532	0.0179696131645294
EX_ser__L_e_r	6725.5	0.9999876374220189	6725.5	1.2497181101855687e-05	0.08753950000000002	0.08796000000000001	0.02224768944421107	0.07443609999999999	0.069135	0.04690694973158255
EX_ala__L_e_f	8671.0	1.0	8671.0	1.503413500009381e-19	1.2555969	1.320265	0.79867813226542	0.2585915	0.26925	0.16499327112312515
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000.0	1.0	10000.0	2.8195930193767757e-39	0.035301900000000004	0.03597	0.004939806910510907	0.0	0.0	0.0
EX_fol_e_r	1623.0	6.146994952741563e-17	1623.0	0.9999999999999999	0.00010040000000000001	0.0001	2.8494904736805065e-05	0.000141	0.00015	4.5604802157206875e-05
EX_urea_e	0.0	2.8200076051853168e-39	0.0	1.0	0.0	0.0	0.0	0.1719982	0.17602	0.029140309454621635
EX_pyr_e	10000.0	1.0	10000.0	2.8200076051853168e-39	0.12795360000000003	0.121755	0.031784656215656557	0.0	0.0	0.0
PYRt2	10000.0	1.0	10000.0	2.8200076051853168e-39	0.12795360000000003	0.121755	0.031784656215656557	0.0	0.0	0.0
EX_gudac_e	9326.0	1.0	9326.0	2.0769853451437877e-26	0.0688545	0.06933	0.014176840651519855	0.021627200000000003	0.013725000000000001	0.021461188557557343
EX_hdca_e_f	0.0	1.2810718345817004e-34	0.0	1.0	2.1267618999999995	2.11606	0.9078906725617553	6.549259900000002	6.411665	0.655527978317139
EX_ptrcIN_e	10000.0	1.0	10000.0	2.492119448518457e-39	0.0004169999999999999	0.00043	6.882124407741869e-05	0.0	0.0	0.0
EX_ptrcOUT_e	0.0	1.2809996731450625e-34	0.0	1.0	0.05874469999999999	0.05981	0.015291072093469337	0.21581379999999994	0.21776	0.012738331858821016
EX_biomassx	811.0	6.970721555691401e-25	811.0	1.0	0.0235129	0.026025	0.009773942712719119	0.1380619	0.154555	0.04903743617746126
EX_h2o2_e	3319.0	2.0118458681781206e-05	3319.0	0.9999800931744941	0.7999902999999999	0.67776	0.46080980295333224	1.1956619	1.0085600000000001	0.8102858140744491
EX_gthox_e	1164.0	3.571448354826855e-21	1164.0	1.0	0.5293591999999999	0.530305	0.326244742346056	1.1979403	1.30469	0.4251514759802581
EX_2obut_e	0.0	1.2804225240822274e-34	0.0	1.0	0.005589400000000002	0.00572	0.002138690631241839	0.3352872	0.337325	0.07152804237937917
EX_crn_e	10000.0	1.0	10000.0	2.8200076051853168e-39	16.834628300000002	17.76819	2.953199150426005	0.0	0.0	0.0
EX_val__L_e_r	334.0	2.098860147397413e-30	334.0	1.0	0.022885600000000002	0.02237	0.006610716020449698	0.1153275	0.114745	0.05068490252720152
EX_spmd_e	900.0	1.3107856548925504e-29	900.0	1.0	0.0	0.0	0.0	0.00030539999999999994	0.0003	0.0001794009110029458
EX_sprm_e	6847.0	0.9999968274380514	6847.0	3.2093429575586646e-06	0.0023105	0.0024	0.0005028451877350352	0.0023032	0.00214	0.0007676711206597193
EX_5mthf_e	1623.0	6.146994952741563e-17	1623.0	0.9999999999999999	0.00010040000000000001	0.0001	2.8494904736805065e-05	0.000141	0.00015	4.5604802157206875e-05
EX_tmlys_e_r	10000.0	1.0	10000.0	2.8200076051853168e-39	16.834628300000002	17.76819	2.953199150426005	0.0	0.0	0.0
EX_thbpt_e_r	1000.0	7.381416933677761e-23	1000.0	1.0	0.003915299999999999	0.00434	0.001586374084941423	0.014254	0.01482	0.005681341248669929
EX_CE2705_e	1000.0	7.381416933677761e-23	1000.0	1.0	0.003915299999999999	0.00434	0.001586374084941423	0.014254	0.01482	0.005681341248669929
EX_crtn_e	1551.5	1.8065645147948076e-17	1551.5	1.0	0.023481700000000005	0.020915	0.013167000153429179	0.043864299999999995	0.043375	0.015958159830056103
EX_his__L_e_r	3022.0	6.764785790422382e-07	3022.0	0.9999993317767301	0.11548489999999999	0.123525	0.024901795663418054	0.1292775	0.13214	0.03853155824198595
