	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	689993763641.5	1.0	689993763641.5	0.0	5.056067475935116	5.1764040915	1.0471139462228891	4.538471354150004	4.63799343995	0.3871782106967645
EX_glc__D_e_r	689729086596.5	1.0	689729086596.5	0.0	2.984603135586694	3.05587322345	0.6183154392806585	2.6792576884665493	2.73625206635	0.23053992192562203
EX_gluIN__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.019769709246394988	0.01946197695	0.010843885749068229	0.0	0.0	0.0
EX_gluOUT__L_e	1044087044.5	0.0	1044087044.5	1.0	0.040015785418504236	0.04071141005	0.008749042731307612	0.07479645906688476	0.0764152713	0.006382527546857524
EX_gln__L_e_r	1267252034.0	0.0	1267252034.0	1.0	0.6563167463433115	0.6709380807	0.1360623956984784	1.1792674117115134	1.2048641415999999	0.10044407677236583
EX_asp__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.02305492397064308	0.0222731542	0.01332700821033435	0.0	0.0	0.0
DM_asp__L_e	892794671467.5	1.0	892794671467.5	0.0	2.1674591688182065	1.6809595747000001	1.8391329981517672	0.31130135657935826	0.23027793530000001	0.2849226486963958
EX_co2_e	999988650924.0	1.0	999988650924.0	0.0	137.44606883097842	135.89430781795	17.892195247878917	35.42154546677956	35.536597485499996	2.3075613744281953
EX_h_e_f	777670257253.0	1.0	777670257253.0	0.0	329.21821941396144	352.47014202595	97.7586924370645	210.37733019447396	206.3970500713	119.24324720543008
EX_h2o_e_f	618941626046.0	1.0	618941626046.0	0.0	108.25932404572727	111.99639111925	42.73738015018427	88.03473036468803	84.2984347762	52.133700522719735
EX_ump_e_r	238507512276.5	0.0	238507512276.5	1.0	1.0616277210600042e-05	1.04967e-05	6.133051611068819e-06	2.0634793138300133e-05	1.99129e-05	1.1542073791856103e-05
EX_pi_e_r	10522652011.0	0.0	10522652011.0	1.0	0.00020597843227479582	0.0002099298	2.0096704845288525e-05	0.0003950043231758946	0.00040586050000000003	6.728320934409056e-05
EX_nh4_e	999989422700.0	1.0	999989422700.0	0.0	95.71168732055709	91.6253434665	21.949162654364454	13.616173444766623	13.3136661101	2.5123634442716853
EX_o2_e_r	999989115456.0	1.0	999989115456.0	0.0	103.1069071257538	102.95185115314999	11.562761510145489	19.599517956066844	19.660874611049998	1.3686663878948275
EX_arg__L_e_r	66664734526.5	0.0	66664734526.5	1.0	0.09350544233301125	0.0978742494	0.02190119943676137	0.1914189548225661	0.20067038015	0.054092057184064304
EX_pro__L_e	1000000000000.0	1.0	1000000000000.0	0.0	4.905844719929681e-05	4.8726550000000005e-05	2.1203675346794316e-05	0.0	0.0	0.0
EX_leu__L_e_r	11124804659.5	0.0	11124804659.5	1.0	0.00014387189961840172	0.0001461141	1.4718689228544372e-05	0.0002769260971668938	0.0002840303	4.846621126408806e-05
EX_ile__L_e_r	9293426771.0	0.0	9293426771.0	1.0	6.593540002069841e-05	6.74753e-05	6.025212032924145e-06	0.0001273850773805969	0.000131169	2.140819050420373e-05
EX_met__L_e_r	99317456248.0	0.0	99317456248.0	1.0	0.002786982225389451	0.0029293897	0.0012839656798818845	0.015790512820005608	0.01537389845	0.00976263280822933
EX_gly_e_r	473955956857.0	0.0	473955956857.0	1.0	0.11077992870901429	0.1057024808	0.06759026513605085	0.11602121719173286	0.1147538112	0.06394230565854292
EX_phe__L_e_r	55668804080.5	0.0	55668804080.5	1.0	9.796676831299804e-05	0.0001001906	8.867562433451771e-06	0.00015484221372549987	0.0001568483	3.2785518644309824e-05
