	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	7107971485.0	1.0	7107971485.0	0.0	5.075879861684002	5.174819726354087	0.9622978544999535	4.539708704455866	4.631657442741654	0.378963346288477
EX_glc__D_e_r	7083409204.0	1.0	7083409204.0	0.0	2.9965832043318508	3.0550635767648457	0.5681207443709226	2.684231320265386	2.73904521727507	0.22663195831774902
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.016201243560073283	0.0148376487668994	0.010300713633167863	0.0	0.0	0.0
EX_gluOUT__L_e	8536732.0	0.0	8536732.0	1.0	0.039361084461536355	0.0395485708255034	0.008449150023584243	0.07473821253286915	0.07622029169548225	0.00627524902124839
EX_gln__L_e_r	8385622.0	0.0	8385622.0	1.0	0.6580781731839945	0.6678031473399462	0.12317610870214728	1.1779504806420045	1.2013828959831208	0.09847439200294923
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.02017603355694772	0.01844385931903915	0.013196575286233456	0.0	0.0	0.0
DM_asp__L_e	8986784282.0	1.0	8986784282.0	0.0	2.065051142034709	1.7423654857505055	1.6082385551472627	0.31821432169409947	0.24098267461110917	0.277796036418002
EX_co2_e	10000000000.0	1.0	10000000000.0	0.0	141.07909794585046	140.01319918523131	17.125295588583928	35.389866341542195	35.40924891265101	2.187202715454115
EX_h_e_f	6656169545.0	1.0	6656169545.0	0.0	304.0487119722738	326.4588444912492	109.27685423562055	232.22374323134522	236.1886878361342	124.19345937906238
EX_h2o_e_f	7334481295.0	1.0	7334481295.0	0.0	115.42218253625033	114.07067712041729	33.73927420434189	74.86539670153672	60.672527470714584	54.594925454964695
EX_ump_e_r	2227427221.0	0.0	2227427221.0	1.0	9.385241731233736e-06	8.514435937626374e-06	6.29182579471729e-06	2.0176973782014982e-05	1.9189703036829404e-05	1.1910523109453003e-05
EX_pi_e_r	109443906.0	0.0	109443906.0	1.0	0.00020666434212143474	0.00020998069889185	1.9471233585891156e-05	0.00039110930702771954	0.00039958643086125	6.800591027916053e-05
EX_nh4_e	10000000000.0	1.0	10000000000.0	0.0	99.81381795886938	97.36305294280436	21.685761583530606	13.672626865181446	13.303740560634429	2.419405186268729
EX_o2_e_r	10000000000.0	1.0	10000000000.0	0.0	102.8229043371508	102.87783638144137	10.954505648453392	19.583338324673903	19.652546618646372	1.3802260421543178
EX_arg__L_e_r	526138860.0	0.0	526138860.0	1.0	0.09216069976601779	0.09422996678072221	0.021025692190036645	0.19368365133075358	0.20134059421305422	0.052783386830920265
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	5.059162725665233e-05	5.039925045218151e-05	2.2145406446389277e-05	0.0	0.0	0.0
EX_leu__L_e_r	112004303.0	0.0	112004303.0	1.0	0.00014286134505063478	0.0001442578619257	1.360456152897805e-05	0.0002717071880978193	0.0002767262400581	4.7945984061476094e-05
EX_ile__L_e_r	91801629.0	0.0	91801629.0	1.0	6.59004136386612e-05	6.723291387952259e-05	5.777866042590559e-06	0.0001256528049091574	0.0001282547947653	2.1400529325136808e-05
EX_met__L_e_r	798764597.0	0.0	798764597.0	1.0	0.002826011604101005	0.0030187070586656503	0.0013005194805156815	0.01740071210157727	0.0176860714422351	0.009749843402134662
EX_gly_e_r	4355796952.0	0.0	4355796952.0	1.0	0.11848182257299543	0.1145531941789224	0.06832180827267785	0.13248049491297423	0.13482804748484623	0.059556150396304096
EX_phe__L_e_r	632440060.0	0.0	632440060.0	1.0	9.806887468958358e-05	9.996518756764678e-05	8.502469845597308e-06	0.0001502222306452733	0.00015323848304415002	3.0225391812610544e-05
EX_ser__L_e_r	3158136527.0	0.0	3158136527.0	1.0	0.10560609660176772	0.1033113090007121	0.0632460374868671	0.14864659680023687	0.14935245766674965	0.06152755614979229
EX_ala__L_e_f	9075002096.0	1.0	9075002096.0	0.0	2.65500095513283	2.120059675323351	2.2042721161527776	0.326609423726726	0.23154461743469268	0.31625216913270876
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03206149307863292	0.0324802671045401	0.008091008157102541	0.0	0.0	0.0
EX_fol_e_r	5999201479.0	1.0	5999201479.0	0.0	0.00017982293778614152	0.00018846933958845	4.6712442393197605e-05	0.0001657589477516274	0.00017169379992754998	4.369297536784659e-05
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.05591681913365047	0.0454045714084167	0.04386946458214422
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.291078102015995	0.3115450079724055	0.13122291166646693	0.0	0.0	0.0
