Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000.0	1.0	10000.0	1.280711066965257e-34	5.597373200000001	5.828225	1.0369571144740477	0.07817759999999999	0.07859	0.002868546290053869
EX_glc__D_e_r	10000.0	1.0	10000.0	1.2809996731450625e-34	3.3034875000000006	3.438485	0.6124454906231215	0.1070815	0.10786	0.00996065739331851
EX_gluIN__L_e	10000.0	1.0	10000.0	1.2751677189542e-34	0.034986399999999994	0.036055000000000004	0.006409893949547407	0.0014445999999999999	0.00115	0.0012997850793593734
EX_gluOUT__L_e	9900.0	1.0	9900.0	2.5056991345859518e-33	0.0450999	0.04751	0.008314450423719227	0.012269299999999999	0.01229	0.0007842454457578439
EX_gln__L_e_r	9900.0	1.0	9900.0	2.508955561889331e-33	0.7494245	0.78347	0.13705481800407934	0.2266428	0.227485	0.008555054986274594
EX_asp__L_e	2227.5	6.301286053200763e-12	2227.5	0.9999999999938043	0.0399249	0.04146	0.006134292002646873	0.0447382	0.04421	0.0028415660712666426
DM_asp__L_e	7079.0	0.9999998124113816	7079.0	1.900169474070393e-07	0.48637049999999993	0.310925	0.4730523325105658	0.2565713	0.17892	0.23160602546485326
EX_co2_e	4813.0	0.3243057279136177	4813.0	0.6765724221007119	156.6278202	159.70712500000002	24.790595013699054	156.64425690000004	165.04442	34.352462057798185
EX_h_e_f	3725.0	0.0009225374208232072	3725.0	0.9990850735667368	364.2414518	368.46768	55.65485769748775	387.3154084	385.653925	26.25944906663807
EX_h2o_e_f	4299.0	0.04348576520270283	4299.0	0.9567390625429101	412.41079719999993	421.12816499999997	64.70972567887539	434.7551425000001	424.66207499999996	45.69511057081584
EX_ump_e_r	8868.0	1.0	8868.0	1.6717308338375755e-21	0.0012442	0.001305	0.0005007533314815778	0.0005423	0.00059	0.0002797143384081537
EX_pi_e_r	8853.5	1.0	8853.5	2.377953379481054e-21	0.020245899999999997	0.022405	0.008436961980751511	0.0090664	0.01035	0.004524320032621008
EX_nh4_e	4060.0	0.010850415589008799	4060.0	0.9892193117049335	120.02632370000003	121.23708500000001	23.999800740456017	127.0081249	135.83116	43.741030480942584
EX_o2_e_r	9700.0	1.0	9700.0	8.057814183294119e-31	99.1387012	100.51867	14.56038574963959	72.7491746	72.132565	5.161918307460493
EX_arg__L_e_r	8774.0	1.0	8774.0	1.483490110618361e-20	0.1007833	0.104025	0.01691814231838267	0.08377349999999999	0.08471999999999999	0.0062999782547323935
EX_pro__L_e	5713.5	0.9594746723719346	5713.5	0.04073858611793559	0.0043961	0.00364	0.002219751053017824	0.0033672000000000003	0.003905	0.001791774742335857
EX_leu__L_e_r	8976.0	1.0	8976.0	1.3159329769798897e-22	0.0139052	0.015179999999999999	0.00596723012067838	0.0057389999999999984	0.00655	0.002869319596959347
EX_ile__L_e_r	8891.0	1.0	8891.0	9.875832504363563e-22	0.0067265	0.007445	0.00279603990340162	0.002961200000000001	0.0034	0.0014795612781353718
EX_met__L_e_r	5480.5	0.8800613258473207	5480.5	0.12042798624244871	0.0059139	0.0057599999999999995	0.0019982228948177273	0.005311100000000001	0.005765	0.001660874112683384
EX_gly_e_r	9019.0	1.0	9019.0	4.67354639392778e-23	0.10267100000000003	0.11414	0.03542884231352709	0.037264500000000006	0.041025	0.013398546383918675
EX_phe__L_e_r	9029.5	1.0	9029.5	3.6183665514590964e-23	0.0100167	0.011065	0.004121812893042639	0.0041137	0.004665	0.0020616467160544704
EX_ser__L_e_r	9992.0	1.0	9992.0	1.6266474432238132e-34	0.08753950000000002	0.08796000000000001	0.02224768944421107	0.009424199999999999	0.009685	0.005863106388703221
EX_ala__L_e_f	5724.0	0.9616560201736537	5724.0	0.038547853134351134	1.2555969	1.320265	0.79867813226542	1.0430031000000002	1.1660050000000002	0.7122368750544038
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	9900.0	1.0	9900.0	2.5035304666787373e-33	0.035301900000000004	0.03597	0.004939806910510907	0.0111478	0.01097	0.0007546911603263599
EX_fol_e_r	0.0	1.1014174700994097e-34	0.0	1.0	0.00010040000000000001	0.0001	2.8494904736805065e-05	0.0013705999999999998	0.001255	0.0003968049669777104
EX_urea_e	0.0	2.8183496191193512e-39	0.0	1.0	0.0	0.0	0.0	0.0311287	0.023195	0.025024105092223914
EX_pyr_e	10000.0	1.0	10000.0	1.2804225240822274e-34	0.12795360000000003	0.121755	0.031784656215656557	0.008255299999999998	0.008105000000000001	0.0022223731309870837
PYRt2	10000.0	1.0	10000.0	1.2804225240822274e-34	0.12795360000000003	0.121755	0.031784656215656557	0.008255299999999998	0.008105000000000001	0.0022223731309870837
EX_gudac_e	9905.0	1.0	9905.0	2.1650063321145658e-33	0.0688545	0.06933	0.014176840651519855	0.0235473	0.026525	0.011290517685476634
EX_hdca_e_f	6181.0	0.9980544879220795	6181.0	0.0019606732677299615	2.1267618999999995	2.11606	0.9078906725617553	1.6801328000000004	1.8021	0.7800879165838691
EX_ptrcIN_e	2038.0	1.7757631941953193e-13	2038.0	0.9999999999998256	0.0004169999999999999	0.00043	6.882124407741869e-05	0.0004652	0.00047	2.1949436844205774e-05
EX_ptrcOUT_e	9766.0	1.0	9766.0	1.2311467841476634e-31	0.05874469999999999	0.05981	0.015291072093469337	0.0199932	0.02281	0.010861001579648689
EX_biomassx	8890.5	1.0	8890.5	1.0016092667971804e-21	0.0235129	0.026025	0.009773942712719119	0.0103501	0.011885	0.005172097145142178
EX_h2o2_e	9228.0	1.0	9228.0	2.593383181383245e-25	0.7999902999999999	0.67776	0.46080980295333224	0.19241410000000006	0.131465	0.15032347970189774
EX_gthox_e	2058.5	3.3356223740375314e-13	2058.5	0.9999999999996724	0.5293591999999999	0.530305	0.326244742346056	1.2367987999999999	1.083915	0.8254441346076313
EX_2obut_e	0.0	1.2804225240822274e-34	0.0	1.0	0.005589400000000002	0.00572	0.002138690631241839	0.051971600000000014	0.04889	0.00796181045346909
EX_crn_e	10000.0	1.0	10000.0	1.2810718345817004e-34	16.834628300000002	17.76819	2.953199150426005	1.0273059	1.1730450000000001	0.3635578103255062
EX_val__L_e_r	1400.0	7.152730912252248e-19	1400.0	1.0	0.022885600000000002	0.02237	0.006610716020449698	0.0501817	0.05678	0.021518660685248714
EX_spmd_e	50.0	1.0754608989730883e-38	50.0	1.0	0.0	0.0	0.0	0.0048187	0.004425	0.004167035293996697
EX_sprm_e	1185.5	5.855799162729592e-21	1185.5	1.0	0.0023105	0.0024	0.0005028451877350352	0.0207697	0.02247	0.011024977743856232
EX_5mthf_e	0.0	1.1014174700994097e-34	0.0	1.0	0.00010040000000000001	0.0001	2.8494904736805065e-05	0.0013705999999999998	0.001255	0.0003968049669777104
EX_tmlys_e_r	10000.0	1.0	10000.0	1.2810718345817004e-34	16.834628300000002	17.76819	2.953199150426005	1.0273059	1.1730450000000001	0.3635578103255062
EX_thbpt_e_r	9149.0	1.0	9149.0	1.8966504071857446e-24	0.003915299999999999	0.00434	0.001586374084941423	0.001428	0.00155	0.0007533708759752243
