	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	999999694960.0	1.0	999999694960.0	0.0	5.056067475935116	5.1764040915	1.0471139462228891	0.07178082930139261	0.0737795047	0.008025235414263338
EX_glc__D_e_r	999980776237.0	1.0	999980776237.0	0.0	2.984603135586694	3.05587322345	0.6183154392806585	0.1030064735652772	0.1047462111	0.013339009611361242
EX_gluIN__L_e	937598669708.5	1.0	937598669708.5	0.0	0.019769709246394988	0.01946197695	0.010843885749068229	0.0031722598011685297	0.00269775925	0.002357007581507316
EX_gluOUT__L_e	999488431640.0	1.0	999488431640.0	0.0	0.040015785418504236	0.04071141005	0.008749042731307612	0.01110279801021679	0.01128144435	0.0013887105890657584
EX_gln__L_e_r	999535841328.0	1.0	999535841328.0	0.0	0.6563167463433115	0.6709380807	0.1360623956984784	0.2043657243987836	0.20979564535	0.023218016954813382
EX_asp__L_e	365019703027.5	0.0	365019703027.5	1.0	0.02305492397064308	0.0222731542	0.01332700821033435	0.029170371245982384	0.0301861858	0.011926340125887207
DM_asp__L_e	673609887821.0	1.0	673609887821.0	0.0	2.1674591688182065	1.6809595747000001	1.8391329981517672	1.1446424716850128	0.8674630165999999	1.0201167920040526
EX_co2_e	873889623425.5	1.0	873889623425.5	0.0	137.44606883097842	135.89430781795	17.892195247878917	103.94953207888467	100.55289412135	22.5353021179027
EX_h_e_f	703922704396.0	1.0	703922704396.0	0.0	329.21821941396144	352.47014202595	97.7586924370645	265.7532492272506	276.9928096749	92.64253100690216
EX_h2o_e_f	482233795955.0	0.0	482233795955.0	1.0	108.25932404572727	111.99639111925	42.73738015018427	110.41856664340314	116.1499116995	43.14702606800627
EX_ump_e_r	964099247277.0	1.0	964099247277.0	0.0	1.0616277210600042e-05	1.04967e-05	6.133051611068819e-06	8.384644467999969e-07	8.281e-07	3.673197982121256e-07
EX_pi_e_r	999953734710.0	1.0	999953734710.0	0.0	0.00020597843227479582	0.0002099298	2.0096704845288525e-05	1.3187219494799172e-05	1.33266e-05	2.9730638953125712e-06
EX_nh4_e	719398184883.5	1.0	719398184883.5	0.0	95.71168732055709	91.6253434665	21.949162654364454	75.17955572567054	69.57698577619999	32.05764037250096
EX_o2_e_r	999065508391.0	1.0	999065508391.0	0.0	103.1069071257538	102.95185115314999	11.562761510145489	61.793711766647135	61.889422867449994	6.460327947788923
EX_arg__L_e_r	738481915111.5	1.0	738481915111.5	0.0	0.09350544233301125	0.0978742494	0.02190119943676137	0.07872155401683721	0.081736497	0.012026576680588106
EX_pro__L_e	991492779692.5	1.0	991492779692.5	0.0	4.905844719929681e-05	4.8726550000000005e-05	2.1203675346794316e-05	4.976661752800236e-06	5.0055e-06	1.4119366286097787e-06
EX_leu__L_e_r	999954749007.0	1.0	999954749007.0	0.0	0.00014387189961840172	0.0001461141	1.4718689228544372e-05	8.505972070999599e-06	8.6104e-06	1.8738590121459151e-06
EX_ile__L_e_r	999954003873.5	1.0	999954003873.5	0.0	6.593540002069841e-05	6.74753e-05	6.025212032924145e-06	4.277199722999981e-06	4.3282e-06	9.64636297983329e-07
EX_met__L_e_r	431268864638.5	0.0	431268864638.5	1.0	0.002786982225389451	0.0029293897	0.0012839656798818845	0.00317810870911407	0.0031894875999999997	0.001612792642706763
EX_gly_e_r	850600719962.0	1.0	850600719962.0	0.0	0.11077992870901429	0.1057024808	0.06759026513605085	0.03245596325700697	0.03318857385	0.014854200578198872
EX_phe__L_e_r	999957905361.0	1.0	999957905361.0	0.0	9.796676831299804e-05	0.0001001906	8.867562433451771e-06	5.491925117700122e-06	5.4417e-06	1.5129104755765276e-06
EX_ser__L_e_r	958850134571.5	1.0	958850134571.5	0.0	0.11655444126822463	0.11506795310000001	0.06438403251002343	0.01233319224718889	0.009553236350000001	0.010521773634293534
EX_ala__L_e_f	689988236913.0	1.0	689988236913.0	0.0	2.484890180008776	1.90246960405	2.1609315375674885	1.1907758726546487	0.90212096735	1.0396947699078318
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	988186255755.5	1.0	988186255755.5	0.0	0.0325244285003398	0.033351544250000004	0.008187252899681807	0.010546600992896234	0.010652929750000002	0.0011028674701161999
EX_fol_e_r	1608113681.0	0.0	1608113681.0	1.0	0.00017473989243260016	0.00018471685	5.1021887696487265e-05	0.0014086086432155023	0.00146312435	0.00043291471972793253
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.029260184718726902	0.02719064935	0.01868235321234905
EX_pyr_e	993545596384.5	1.0	993545596384.5	0.0	0.2858345917943477	0.29679613685	0.13072018529360768	0.007753934729095416	0.008086869850000001	0.0028013179781229713
PYRt2	993545596384.5	1.0	993545596384.5	0.0	0.2858345917943477	0.29679613685	0.13072018529360768	0.007753934729095416	0.008086869850000001	0.0028013179781230632
EX_gudac_e	671540209340.0	1.0	671540209340.0	0.0	0.03939267187195112	0.035341139699999996	0.027021764506609244	0.02347485409989585	0.02036592165	0.017061056420570615
EX_hdca_e_f	976218706531.0	1.0	976218706531.0	0.0	2.0429246426387615	2.0246817984	0.8666787570075499	0.3131139970424057	0.2388949054	0.2756179951085918
EX_ptrcIN_e	555994939809.0	1.0	555994939809.0	0.0	0.00033813055606759547	0.00035175185	8.88803936448519e-05	0.00032089881181309794	0.0003268829	9.639596132665741e-05
EX_ptrcOUT_e	708238822756.5	1.0	708238822756.5	0.0	0.03853546019453831	0.034348339650000004	0.026380864984150224	0.020230601418422773	0.0170303818	0.015247409018185266
EX_biomassx	999954003864.0	1.0	999954003864.0	0.0	0.00023048049855140603	0.0002358632	2.106143079597722e-05	1.4951166181400017e-05	1.51295e-05	3.3719347403046016e-06
EX_gthox_e	573357910319.0	1.0	573357910319.0	0.0	0.7050404594505982	0.62064949325	0.48865321999055694	0.5782502450397432	0.4892537148	0.42740449802218755
EX_2obut_e	3206453491.5	0.0	3206453491.5	1.0	0.013539937195258346	0.01390170625	0.0031239395804485443	0.04741492645571052	0.048382001699999996	0.010795955549170276
EX_crn_e	999975579913.0	1.0	999975579913.0	0.0	18.3904179851022	18.63055795785	2.5059757666122153	0.9380625020901152	0.982643699	0.206703583513894
EX_val__L_e_r	7198323240.0	0.0	7198323240.0	1.0	0.02088323026938103	0.02183063415	0.0057491948828816706	0.07366612237479521	0.07635178355	0.018996901251661827
EX_spmd_e	56631473599.5	0.0	56631473599.5	1.0	0.001872461486763488	0.00159784115	0.0013640233919787448	0.01714547722439735	0.01508554	0.012019091220649827
EX_sprm_e	56579793648.0	0.0	56579793648.0	1.0	0.0014157793579916821	0.00133269315	0.0008726523701394581	0.013858296999416087	0.01223489405	0.00971126264681192
EX_5mthf_e	1608113603.5	0.0	1608113603.5	1.0	0.0001747398984989976	0.00018471685	5.102188789013756e-05	0.0014086086497399107	0.00146312435	0.000432914718765184
EX_tmlys_e_r	999975579913.0	1.0	999975579913.0	0.0	18.39041798510219	18.63055795785	2.505975766612234	0.9380625020901142	0.982643699	0.20670358351389298
EX_thbpt_e_r	999970686022.5	1.0	999970686022.5	0.0	3.816491529139858e-05	3.89429e-05	3.4784399538940276e-06	1.6126058141000818e-06	1.5461e-06	9.098964578944122e-07
EX_CE2705_e	999970686022.5	1.0	999970686022.5	0.0	3.816491529139858e-05	3.89429e-05	3.4784399538940276e-06	1.6126058141000818e-06	1.5461e-06	9.098964578944122e-07
EX_crtn_e	796548227924.0	1.0	796548227924.0	0.0	0.05402996803936315	0.0529520153	0.027589934755668382	0.025981143842878168	0.0228411811	0.017259493986368085
EX_his__L_e_r	399796471926.0	0.0	399796471926.0	1.0	0.08811198722638787	0.09246925724999999	0.03909024941203672	0.10241258460480819	0.10609560735	0.029844587534142805
EX_lys__L_e_r	150747655525.5	0.0	150747655525.5	1.0	0.008856684848033609	0.008234591900000001	0.00566810954545444	0.022631352991018292	0.0224517285	0.011360252008758967
EX_carn_e_r	999756175417.0	1.0	999756175417.0	0.0	23.905732225737317	23.69384841495	3.029275873290932	12.552804794616064	12.53022494705	1.1813706504570414
EX_csn_e_r	325766584384.5	0.0	325766584384.5	1.0	12.759383440222738	10.384156338499999	10.129306839966837	21.826930331394454	19.12830928155	15.68065254065971
EX_cys__L_e	233685278.0	0.0	233685278.0	1.0	0.03928407435883896	0.0408410498	0.00897822691009246	0.08336404357605638	0.0842045035	0.008717452371566795
EX_cyan_e_r	686579973498.0	1.0	686579973498.0	0.0	0.1002161603444367	0.10026259595	0.04123638305552573	0.0737126860814701	0.07066535185	0.034862820923390304
EX_tcyntc	600388706924.5	1.0	600388706924.5	0.0	0.04566991920667133	0.03775989445	0.0350497002215056	0.03244790256643412	0.02763235865	0.02425317192777944
EX_tcynt_e	597849733836.5	1.0	597849733836.5	0.0	0.05454624113774881	0.048174018949999994	0.03865074759805033	0.041264783515034334	0.034519938099999994	0.031591328424054606
