	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	5.02761825559333	5.074465267877207	0.9348514700037185	0.07083864597394354	0.07265717173132745	0.008382697182930351
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.968424826636258	2.9960759187674615	0.552045663140091	0.10273070201069297	0.10419303798290085	0.013293771082288037
EX_gluIN__L_e	9613508589.0	1.0	9613508589.0	0.0	0.020233065712191335	0.0202152434057748	0.009672394425753935	0.0029159891244499984	0.00253288059238285	0.0021382351311480694
EX_gluOUT__L_e	9999856620.0	1.0	9999856620.0	0.0	0.038904842621883456	0.0387503805372723	0.00810058153430242	0.010944278685463557	0.01109098664368845	0.001486846595990575
EX_gln__L_e_r	9999030816.0	1.0	9999030816.0	0.0	0.6501871782078859	0.6551418043935442	0.12370101417038722	0.20206691422606218	0.20718951529890625	0.024153166686304777
EX_asp__L_e	3433794162.0	0.0	3433794162.0	1.0	0.022598851015255654	0.02090498051308935	0.013404858006743833	0.029660983505379948	0.030774814308689002	0.011036534280205889
DM_asp__L_e	6636749372.0	1.0	6636749372.0	0.0	2.1052228172864336	1.6830740025904674	1.7481585051549924	1.1928458472717518	0.8966668513966998	1.0780761142471549
EX_co2_e	8426026287.0	1.0	8426026287.0	0.0	133.88084920269685	133.58449048649197	18.345082256084545	104.40152194877007	101.32355019598002	22.485260295025558
EX_h_e_f	7734386877.0	1.0	7734386877.0	0.0	347.8938161801645	354.88507436663093	70.34327626062156	266.6973888686243	275.78187033618974	83.43684743513431
EX_h2o_e_f	3608836532.0	0.0	3608836532.0	1.0	92.24027099131003	95.50341453233528	36.65058213749408	110.49163011998198	116.3949327061903	42.91834742945554
EX_ump_e_r	9712637147.0	1.0	9712637147.0	0.0	1.0942260923620968e-05	1.1084973215043562e-05	5.767581322173868e-06	8.992405411254674e-07	8.885406120069075e-07	3.93296561297775e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00020602556245691335	0.00021039882927785	2.086077354549571e-05	1.3739817754806823e-05	1.3959927081090332e-05	2.9117540755401696e-06
EX_nh4_e	6656107762.0	1.0	6656107762.0	0.0	90.38878587400967	86.97589264198436	21.888249037141165	75.9941973032375	70.51096972346575	32.0805216021044
EX_o2_e_r	9991754600.0	1.0	9991754600.0	0.0	102.34235170772084	101.70404170767716	12.374509728976896	61.53377896186435	61.64733731961873	6.283507029350516
EX_arg__L_e_r	7831615242.0	1.0	7831615242.0	0.0	0.09602823348741069	0.100972198441241	0.02082848782822151	0.07836102301474986	0.08150417248606151	0.012357143663775315
EX_pro__L_e	9946438053.0	1.0	9946438053.0	0.0	4.80662886932228e-05	4.830445793683955e-05	2.0290540709999795e-05	5.212443581999813e-06	5.303756767500429e-06	1.3532680368071944e-06
EX_leu__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00014306368302125058	0.0001451872464701	1.5127073154885272e-05	8.90041945141775e-06	9.074010377491331e-06	1.847427027364722e-06
EX_ile__L_e_r	10000000000.0	1.0	10000000000.0	0.0	6.588292789143909e-05	6.749576160974713e-05	6.165549154120914e-06	4.465670772944403e-06	4.539801854059134e-06	9.534700353795073e-07
EX_met__L_e_r	4605296900.0	1.3778601917444288e-205	4605296900.0	1.0	0.0026946260829092466	0.00282358856721305	0.0013095055763519214	0.0029401111871304904	0.00288281284355775	0.001537619273713447
EX_gly_e_r	8234505531.0	1.0	8234505531.0	0.0	0.10009200471251462	0.09142673471229315	0.06551826021910329	0.03210725590444935	0.03258784225525395	0.014966996136344331
EX_phe__L_e_r	10000000000.0	1.0	10000000000.0	0.0	9.798723939501826e-05	0.000100282550258	9.080557049903368e-06	5.680061323357114e-06	5.631274640236799e-06	1.5353626616580871e-06
