	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	834806319456.5	1.0	834806319456.5	0.0	5.056067475935116	5.1764040915	1.0471139462228891	3.7430959076328403	3.7782480409000003	0.7944475177057041
EX_glc__D_e_r	802871678050.0	1.0	802871678050.0	0.0	2.984603135586694	3.05587322345	0.6183154392806585	2.3029159661757777	2.32416907	0.48838925608487677
EX_gluIN__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.019769709246394988	0.01946197695	0.010843885749068229	0.0	0.0	0.0
EX_gluOUT__L_e	4457769570.0	0.0	4457769570.0	1.0	0.040015785418504236	0.04071141005	0.008749042731307612	0.14315617184401574	0.1455391603	0.039637324371152895
EX_gln__L_e_r	971984401761.5	1.0	971984401761.5	0.0	0.6563167463433115	0.6709380807	0.1360623956984784	0.34307443861396053	0.3462062306	0.072208309032681
EX_asp__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.02305492397064308	0.0222731542	0.01332700821033435	0.0	0.0	0.0
DM_asp__L_e	823111960774.0	1.0	823111960774.0	0.0	2.1674591688182065	1.6809595747000001	1.8391329981517672	0.5367271095747126	0.41455258679999996	0.4619166889237079
EX_co2_e	999936437542.0	1.0	999936437542.0	0.0	137.44606883097842	135.89430781795	17.892195247878917	64.99888093774602	64.26610582859999	8.201764815652643
EX_h_e_f	594823029460.0	1.0	594823029460.0	0.0	329.21821941396144	352.47014202595	97.7586924370645	298.2409150417959	311.2389413875	103.87445401948767
EX_h2o_e_f	474736479815.0	0.0	474736479815.0	1.0	108.25932404572727	111.99639111925	42.73738015018427	112.22619885975215	115.13170225675	43.64050488877861
EX_ump_e_r	510130659143.0	1.0	510130659143.0	3.0924411138232816e-136	1.0616277210600042e-05	1.04967e-05	6.133051611068819e-06	1.035602737650023e-05	1.01642e-05	5.5115773512197e-06
EX_pi_e_r	639998474794.5	1.0	639998474794.5	0.0	0.00020597843227479582	0.0002099298	2.0096704845288525e-05	0.00019387471824619895	0.0001993317	2.570534381616243e-05
EX_nh4_e	995482876227.0	1.0	995482876227.0	0.0	95.71168732055709	91.6253434665	21.949162654364454	36.856499797504355	34.109679958049995	10.93131318965487
EX_o2_e_r	999905627444.0	1.0	999905627444.0	0.0	103.1069071257538	102.95185115314999	11.562761510145489	51.2538270283336	51.474400345099994	6.396236139049575
EX_arg__L_e_r	775040425400.5	1.0	775040425400.5	0.0	0.09350544233301125	0.0978742494	0.02190119943676137	0.076796966491881	0.07810945229999999	0.005038868890143426
EX_pro__L_e	1000000000000.0	1.0	1000000000000.0	0.0	4.905844719929681e-05	4.8726550000000005e-05	2.1203675346794316e-05	0.0	0.0	0.0
EX_leu__L_e_r	635724291353.5	1.0	635724291353.5	0.0	0.00014387189961840172	0.0001461141	1.4718689228544372e-05	0.00013536869679219975	0.00013876	1.839904506538325e-05
EX_ile__L_e_r	622896138849.0	1.0	622896138849.0	0.0	6.593540002069841e-05	6.74753e-05	6.025212032924145e-06	6.268246026059824e-05	6.46613e-05	7.96478975991867e-06
EX_met__L_e_r	752860369996.0	1.0	752860369996.0	0.0	0.002786982225389451	0.0029293897	0.0012839656798818845	0.0016861776839876695	0.0017818373000000002	0.0008180404880070304
EX_gly_e_r	818524667200.5	1.0	818524667200.5	0.0	0.11077992870901429	0.1057024808	0.06759026513605085	0.03907448115578615	0.03632731345	0.024480549962389107
EX_phe__L_e_r	910384969683.0	1.0	910384969683.0	0.0	9.796676831299804e-05	0.0001001906	8.867562433451771e-06	7.419475376489768e-05	7.33707e-05	1.4857528956985633e-05
