	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	7865371433.0	1.0	7865371433.0	0.0	4.907378157884291	5.036152017102685	1.1178756670934178	3.789405423941072	3.844974747120646	0.8080134620000107
EX_glc__D_e_r	7521955756.0	1.0	7521955756.0	0.0	2.89698883310483	2.972884663436879	0.6601992389405366	2.330702696237899	2.364003646694102	0.4962926709309158
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.020976733648812397	0.0208669113953506	0.00987132313117555	0.0	0.0	0.0
EX_gluOUT__L_e	72342643.0	0.0	72342643.0	1.0	0.03896004347561918	0.039510346723674	0.008815526912404037	0.14394990846032468	0.14808058025914628	0.0402664334772563
EX_gln__L_e_r	9546045516.0	1.0	9546045516.0	0.0	0.6419920808657116	0.6576039000256292	0.14632285809678786	0.3475770884957422	0.3528992363778005	0.07272074466545088
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.022807820864934488	0.02150659743600715	0.013409745225933495	0.0	0.0	0.0
DM_asp__L_e	8009943549.0	1.0	8009943549.0	0.0	2.096798688528563	1.5241542026527761	1.8846254400764975	0.5301609588793872	0.4144196843910241	0.47204685406663704
EX_co2_e	9999566238.0	1.0	9999566238.0	0.0	137.13195373129156	135.18118341190603	19.80115795580918	65.00388368419908	64.29912787106056	8.11033141013717
EX_h_e_f	6062293996.0	1.0	6062293996.0	0.0	357.23222249095016	370.78930701052417	70.68976736457849	332.4683580971857	339.30129296582794	72.26292422106879
EX_h2o_e_f	5734661039.0	1.0	5734661039.0	0.0	117.0504378543195	118.77691205737658	40.92392373192368	106.22273729851155	110.3596488418845	37.531373441249805
EX_ump_e_r	5331356974.0	1.0	5331356974.0	1.3750734494292988e-145	9.584772630335719e-06	9.229275695528462e-06	5.842790067826435e-06	8.797823414498617e-06	8.301426207191858e-06	4.682383131458144e-06
EX_pi_e_r	6916882366.0	1.0	6916882366.0	0.0	0.0002070058716342015	0.00021159289979219998	2.1004193385807426e-05	0.0001896999941039399	0.000193974730626	2.7572843184451567e-05
EX_nh4_e	9958357238.0	1.0	9958357238.0	0.0	95.86341476280792	91.0245571311802	22.842778226707264	36.782808852667294	34.020096323690396	10.893442704508347
EX_o2_e_r	9999796151.0	1.0	9999796151.0	0.0	102.60228566942753	102.9319289062667	12.615838336732498	50.90764761064201	51.09897993159147	6.51938065995188
EX_arg__L_e_r	8358561452.0	1.0	8358561452.0	0.0	0.09632267645275691	0.1011670129974437	0.021768573707131297	0.07580446377721031	0.07760002344762935	0.005721410666197064
EX_pro__L_e	10000000000.0	1.0	10000000000.0	0.0	5.071940785344991e-05	5.06134290445184e-05	1.9922521694262266e-05	0.0	0.0	0.0
EX_leu__L_e_r	6716766567.0	1.0	6716766567.0	0.0	0.00014333111000191398	0.00014583783541829997	1.5133934627029374e-05	0.00013218298131184515	0.0001349014751708	1.9399330133658734e-05
EX_ile__L_e_r	6799886281.0	1.0	6799886281.0	0.0	6.589382838498778e-05	6.754349108429534e-05	6.2296615102002e-06	6.105560796179425e-05	6.263532532866773e-05	8.433191692252358e-06
EX_met__L_e_r	7739451516.0	1.0	7739451516.0	0.0	0.0027923970570787105	0.0029281177849707	0.0012876440526473003	0.001582617659725974	0.00164337521792265	0.000788703217115006
EX_gly_e_r	8197002000.0	1.0	8197002000.0	0.0	0.11407632225354505	0.1076632613261759	0.0706167115119015	0.03864405355202216	0.03564222705599045	0.021776206416124308
EX_phe__L_e_r	9366505841.0	1.0	9366505841.0	0.0	9.791770820032769e-05	0.0001003196085267	9.24550995875087e-06	7.14631773289035e-05	7.152959938690309e-05	1.4535079393283422e-05
EX_ser__L_e_r	8969569778.0	1.0	8969569778.0	0.0	0.10671102083743327	0.1050528828122574	0.05693291037512317	0.028386695054320735	0.02297898876868565	0.023104418180459434
EX_ala__L_e_f	8217659648.0	1.0	8217659648.0	0.0	2.526858248156481	1.9093901943527756	2.185577414157616	0.6061828884836608	0.4359919835767354	0.566878429561379
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	10000000000.0	1.0	10000000000.0	0.0	0.03410614123244945	0.0346311674811763	0.007319047097920138	0.0	0.0	0.0
EX_fol_e_r	39289825.0	0.0	39289825.0	1.0	0.00017351887469834208	0.00018576553825055	5.360430029803321e-05	0.000933127690391835	0.0009754961174131	0.0002442631205761784
EX_urea_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.028817577903738206	0.02669475061928285	0.018929799134723365
EX_pyr_e	10000000000.0	1.0	10000000000.0	0.0	0.26124765758864316	0.2709367612121497	0.14604748653689806	0.0	0.0	0.0
