Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_MDAMB231	median_MDAMB231	std_MDAMB231
EX_lac__L_e	0.0	1.2810718345817004e-34	0.0	1.0	4.1207666	3.9612100000000003	0.5284799613857681	7.357161500000001	7.39916	0.32339419176513395
EX_glc__D_e_r	0.0	1.2810718345817004e-34	0.0	1.0	2.4785441	2.381415	0.3172309394743645	4.2054048	4.229455	0.18483810169809017
EX_gluIN__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	1.2807832125755886e-34	0.0	1.0	0.06819489999999999	0.06559000000000001	0.008858647945608993	0.1836987	0.184195	0.008183202634887907
EX_gln__L_e_r	6297.5	0.9992417827797382	6297.5	0.0007646204965275588	1.0760665	1.033475	0.13946176878368038	0.9912315	0.99482	0.04376284726520402
EX_asp__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	8785.0	1.0	8785.0	1.1510247810002151e-20	0.4666825	0.45663	0.19515154940481771	0.1728362	0.165625	0.13804963223113462
EX_co2_e	10000.0	1.0	10000.0	1.2810718345817004e-34	121.04040049999998	116.38554500000001	15.653128009339037	38.928267899999994	39.357405	5.074895662613441
EX_h_e_f	2280.0	1.5181858069741655e-11	2280.0	0.9999999999850679	400.8221531000001	398.56705999999997	25.261868964120076	426.1606677	428.340185	25.790749700865046
EX_h2o_e_f	1130.0	1.619851596597316e-21	1130.0	1.0	398.9546035	386.47907	49.948327903243104	480.29983849999996	477.879035	28.002445969428138
EX_ump_e_r	9094.0	1.0	9094.0	7.429305712312483e-24	0.005924700000000001	0.0059900000000000005	0.0026904280215969243	0.0010678999999999999	0.001055	0.00019827180099728526
EX_pi_e_r	9200.0	1.0	9200.0	5.2782596096236255e-25	0.12211549999999997	0.136855	0.04345347848765122	0.014645100000000001	0.014685	0.0030001890495989303
EX_nh4_e	1287.0	5.892087055952066e-20	1287.0	1.0	32.30157859999999	31.863084999999998	7.975982539130789	43.778970099999995	45.366389999999996	5.9840739474005975
EX_o2_e_r	10000.0	1.0	10000.0	1.2810718345817004e-34	77.409233	74.82208499999999	10.75098190524738	4.7119726	4.64951	0.9000407343022163
EX_arg__L_e_r	9995.0	1.0	9995.0	1.4881170109752956e-34	0.2870898	0.28865	0.018972381999830035	0.19205479999999997	0.19356	0.013708030417948228
EX_pro__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
