Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	732673944449.0	1.0	732673944449.0	0.0	4.125009051619845	4.29911	0.70423992556512	3.3977873526800133	3.43646	0.9308277177739893
EX_glc__D_e_r	688619374407.5	1.0	688619374407.5	0.0	2.4405624157700063	2.54206	0.41724887319808257	2.087899746050084	2.11178	0.5714214748972337
EX_gluIN__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	65019265794.0	0.0	65019265794.0	1.0	0.06801450235999401	0.07088	0.011588665910472376	0.1327861720599964	0.13604	0.038343271605454476
EX_gln__L_e_r	999302184567.0	1.0	999302184567.0	0.0	1.0703581309499925	1.11556	0.18285318333334644	0.30934404882999256	0.31249	0.08481765041327935
EX_asp__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	388382682667.5	0.0	388382682667.5	1.0	0.4417854256300069	0.3257	0.40468817342536956	0.6807396720999906	0.49881	0.6304218350190148
EX_co2_e	938431448236.5	1.0	938431448236.5	0.0	116.39956149317774	117.745755	16.633492872386242	82.03327922958512	79.713735	13.004051419244783
EX_h_e_f	507488339585.5	1.0	507488339585.5	1.89110502709245e-75	269.6799551461022	282.64232000000004	126.82900571065524	267.7310241240551	282.9047	122.62466428006064
EX_h2o_e_f	591412426373.5	1.0	591412426373.5	0.0	297.23971352109436	303.551635	131.29960278230408	250.12114490507795	242.69376	154.28113663703397
EX_ump_e_r	845836642058.5	1.0	845836642058.5	0.0	0.010803147459994118	0.01014	0.007016677669870984	0.002958820970003302	0.00278	0.0018892256681938982
EX_pi_e_r	999890918386.0	1.0	999890918386.0	0.0	0.20948252278000362	0.21658	0.03298141881064324	0.05621485360999968	0.05703	0.01144393496431332
EX_nh4_e	141772675163.5	0.0	141772675163.5	1.0	24.298148120989918	23.970795000000003	7.238899801838914	41.662299769409955	37.20308	16.79435286179119
EX_o2_e_r	884122643862.5	1.0	884122643862.5	0.0	77.66506824137039	78.741585	9.82104654378461	63.279890278136776	63.585665	6.370126201928446
EX_arg__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	0.28852697411000644	0.29608	0.047541035086210714	0.07503247945000088	0.07698	0.006920769475908218
EX_pro__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	999909010717.0	1.0	999909010717.0	0.0	0.14300011968000198	0.14701	0.02290196964906755	0.038565659119996966	0.0392	0.0076804050125103855
