	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	median_MCF7	std_MCF7	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	7970541817.0	1.0	7970541817.0	0.0	4.569253545833074	4.666324084261811	0.368864230043265	3.789405423941072	3.844974747120646	0.8080134620000107
EX_glc__D_e_r	7237403337.0	1.0	7237403337.0	0.0	2.693358852391259	2.749913388129961	0.2214497339999001	2.330702696237899	2.364003646694102	0.4962926709309158
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	595946936.0	0.0	595946936.0	1.0	0.07527886773011169	0.07682964232471125	0.006050533452732319	0.14394990846032468	0.14808058025914628	0.0402664334772563
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	1.1876639356584517	1.2122275517828682	0.09544891470090702	0.3475770884957422	0.3528992363778005	0.07272074466545088
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	3889614204.0	0.0	3889614204.0	1.0	0.34908048872802677	0.2697007266727526	0.2946033309760297	0.5301609588793872	0.4144196843910241	0.47204685406663704
EX_co2_e	1030338.0	0.0	1030338.0	1.0	35.698546701145624	35.77617176470775	2.120319550672571	65.00388368419908	64.29912787106056	8.11033141013717
EX_h_e_f	2936151602.0	0.0	2936151602.0	1.0	238.59915931464863	257.95235739840655	130.16737221262196	332.4683580971857	339.30129296582794	72.26292422106879
EX_h2o_e_f	4346195931.0	0.0	4346195931.0	1.0	94.48132748255503	89.43927287821435	57.05343071761564	106.22273729851155	110.3596488418845	37.531373441249805
EX_ump_e_r	8313778938.0	1.0	8313778938.0	0.0	2.095450931465893e-05	2.0027534410646313e-05	1.1188337614200292e-05	8.797823414498617e-06	8.301426207191858e-06	4.682383131458144e-06
EX_pi_e_r	9916043972.0	1.0	9916043972.0	0.0	0.00038638065673132397	0.000397324021012	7.117545985658969e-05	0.0001896999941039399	0.000193974730626	2.7572843184451567e-05
EX_nh4_e	4363141.0	0.0	4363141.0	1.0	13.86286906738251	13.497885395345875	2.383510000228139	36.782808852667294	34.020096323690396	10.893442704508347
EX_o2_e_r	298.0	0.0	298.0	1.0	19.694034244530275	19.773549676282496	1.3059464573896744	50.90764761064201	51.09897993159147	6.51938065995188
EX_arg__L_e_r	9723572374.0	1.0	9723572374.0	0.0	0.20209719222437955	0.21450295069895708	0.0517612944664776	0.07580446377721031	0.07760002344762935	0.005721410666197064
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	9906045939.0	1.0	9906045939.0	0.0	0.0002735880656808279	0.00028150980300909996	5.416068640905938e-05	0.00013218298131184515	0.0001349014751708	1.9399330133658734e-05
EX_ile__L_e_r	9922257937.0	1.0	9922257937.0	0.0	0.0001249389762727723	0.0001288304893946	2.2699176314794132e-05	6.105560796179425e-05	6.263532532866773e-05	8.433191692252358e-06
EX_met__L_e_r	9282758159.0	1.0	9282758159.0	0.0	0.014012618600880657	0.01198722274996625	0.009764118284309196	0.001582617659725974	0.00164337521792265	0.000788703217115006
EX_gly_e_r	8942823737.0	1.0	8942823737.0	0.0	0.12247366125366532	0.1228989519386709	0.05927424837023662	0.03864405355202216	0.03564222705599045	0.021776206416124308
EX_phe__L_e_r	9849143706.0	1.0	9849143706.0	0.0	0.0001504569340905919	0.0001520526936491	3.3236180118245045e-05	7.14631773289035e-05	7.152959938690309e-05	1.4535079393283422e-05
EX_ser__L_e_r	9476966256.0	1.0	9476966256.0	0.0	0.16602378084236805	0.176307321976176	0.06874995594538244	0.028386695054320735	0.02297898876868565	0.023104418180459434
EX_ala__L_e_f	3525837290.0	0.0	3525837290.0	1.0	0.34244693219765343	0.2351589424810555	0.34490382587928353	0.6061828884836608	0.4359919835767354	0.566878429561379
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	29560419.0	0.0	29560419.0	1.0	0.00015146084852156252	0.0001558915135148	5.059496722903051e-05	0.000933127690391835	0.0009754961174131	0.0002442631205761784
EX_urea_e	7754473304.0	1.0	7754473304.0	0.0	0.07297609070571195	0.06512603831445675	0.04979746276773052	0.028817577903738206	0.02669475061928285	0.018929799134723365
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	7064826882.0	1.0	7064826882.0	0.0	0.05318913262170031	0.04138542920025315	0.044052915594092246	0.022846520660584495	0.02091123971122595	0.01543903586997
EX_hdca_e_f	10000000000.0	1.0	10000000000.0	0.0	1.9890014659726785	1.9864455409122543	0.1579323517206552	0.15873759745001534	0.12095213255494969	0.13836941660915786
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	9905413627.0	1.0	9905413627.0	0.0	0.16615313284133484	0.17589144289477315	0.05440881687371408	0.015107803080684433	0.012111746435695549	0.012388622622505646
EX_biomassx	9922257937.0	1.0	9922257937.0	0.0	0.0004367304590803742	0.000450333438414	7.934610950442623e-05	0.00021342294046302555	0.00021894492176485	2.9478644608297565e-05
EX_gthox_e	3282721533.0	0.0	3282721533.0	1.0	0.3267304221694559	0.33314499155374877	0.16308322487575386	0.5341906256068626	0.4858676999747318	0.3471784207641299
EX_2obut_e	9589763659.0	1.0	9589763659.0	0.0	0.2530247458976402	0.24529171570073044	0.14739657834440212	0.02691759614765782	0.02827133652464095	0.006138521344884827
EX_crn_e	0.0	0.0	0.0	1.0	-1.2739856714343803e-17	-6.062317211092787e-17	2.6597862193183633e-16	2.6142063602262318	2.5344057260442554	1.4863516646414552
EX_val__L_e_r	9282591456.0	1.0	9282591456.0	0.0	0.22063909148116131	0.22957566726089196	0.06461718483218319	0.10836903554424923	0.10888162038756741	0.027096591261721606
EX_spmd_e	1225399826.0	0.0	1225399826.0	1.0	0.003129174474696906	0.00287798433636195	0.002220850282972203	0.014246004977891021	0.012841066790605149	0.009588300042356952
EX_sprm_e	158638937.0	0.0	158638937.0	1.0	0.0019804421199089007	0.00183617173181135	0.0012997324098322082	0.028842621297398254	0.0289265500656057	0.014511741908694987
EX_5mthf_e	29560427.0	0.0	29560427.0	1.0	0.00015146088570730688	0.0001558914653357	5.059495937513574e-05	0.0009331276902383459	0.00097549611712235	0.0002442631205632152
EX_tmlys_e_r	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.6142063602263237	2.534405726044282	1.4863516646414638
EX_thbpt_e_r	8214655471.0	1.0	8214655471.0	0.0	3.7140228794872086e-05	3.684147347552903e-05	1.930776039568294e-05	1.6087180658710695e-05	1.507375105979019e-05	1.0165836329130002e-05
EX_CE2705_e	8214655471.0	1.0	8214655471.0	0.0	3.7140228794872086e-05	3.684147347552903e-05	1.930776039568294e-05	1.6087180658710695e-05	1.507375105979019e-05	1.0165836329130002e-05
EX_crtn_e	8803734322.0	1.0	8803734322.0	0.0	0.07577506911188887	0.06973701073908925	0.041651521898754415	0.02406369088812864	0.02075275434219195	0.01744749943751532
EX_his__L_e_r	6896654742.0	1.0	6896654742.0	0.0	0.14444841465632888	0.15706611730718884	0.04520812549837846	0.11450377758458266	0.1184628487586099	0.046242178900421316
EX_lys__L_e_r	2823319979.0	0.0	2823319979.0	1.0	0.00457358989300075	0.0048202315761506995	0.0018899187274057066	0.007501733934666867	0.0078734794553898	0.0039951049636956105
EX_carn_e_r	250823600.0	0.0	250823600.0	1.0	5.2174491741612075	5.0739172581319885	1.2200737108202508	8.120072707223411	8.121628019792386	0.5372398803061459
EX_csn_e_r	1500464077.0	0.0	1500464077.0	1.0	1.2310440012568717	0.9056760442105025	1.1324641026373856	6.045406589648048	4.640884678006946	5.294181639606223
EX_cys__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_cyan_e_r	8503727982.0	1.0	8503727982.0	0.0	0.19271288090136862	0.19703196847291984	0.057950469205992436	0.10594981785404621	0.099661383663022	0.058088671659043994
EX_tcyntc	6715093443.0	1.0	6715093443.0	0.0	0.0827128624568552	0.06983868954149769	0.06126717463468444	0.045423907833676884	0.03973109787803435	0.0333899315416619
EX_tcynt_e	7372452067.0	1.0	7372452067.0	0.0	0.11000001844450348	0.10780162678845505	0.0608711611534862	0.06052591002036867	0.04864747625130025	0.048469537477752046
EX_so3_e	1558631398.0	0.0	1558631398.0	1.0	0.07032664838449268	0.0747223148750775	0.025171025590204645	0.14850470361046228	0.1430846679214291	0.07083097491871639
EX_thr__L_e_r	9397270425.0	1.0	9397270425.0	0.0	0.2392508485446944	0.23097658314174502	0.14573408793539325	0.025450186042644474	0.026750147051897752	0.0060928252346873326
EX_trp__L_e_r	7953755699.0	1.0	7953755699.0	0.0	0.01731300327464694	0.01719810866720375	0.009374543847966776	0.008135225540716148	0.0084490252891372	0.0029637958593979235
EX_anth_e	8613566373.0	1.0	8613566373.0	0.0	0.01730719209432851	0.0171919118752173	0.00937438376694353	0.005651795928066584	0.005736368308911751	0.0022523970892879626
EX_tyr__L_e_r	7013129315.0	1.0	7013129315.0	0.0	3.282560129158459e-05	3.2854506529844904e-05	1.852272670996588e-05	2.0262288593608412e-05	2.1034744950443877e-05	9.80418166460367e-06
EX_cystinex_r	4158499569.0	0.0	4158499569.0	1.0	0.17032340980761576	0.1725806311183915	0.020282249654532843	0.17594053087989825	0.1803853140174767	0.019274375975320994
