Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	999998245229.0	1.0	999998245229.0	0.0	7.33200739569999	7.37402	0.3230024996783662	4.125009051619845	4.29911	0.70423992556512
EX_glc__D_e_r	999996409793.5	1.0	999996409793.5	0.0	4.190947027360117	4.21496	0.18461946303558188	2.4405624157700063	2.54206	0.41724887319808257
EX_gluIN__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	999999999962.5	1.0	999999999962.5	0.0	0.1905021004599965	0.19207	0.007311130638203036	0.06801450235999401	0.07088	0.011588665910472376
EX_gln__L_e_r	309239746130.5	0.0	309239746130.5	1.0	1.006930444609986	1.01362	0.04145371004308222	1.0703581309499925	1.11556	0.18285318333334644
EX_asp__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	201586997730.5	0.0	201586997730.5	1.0	0.11585564334999389	0.0808	0.11308038491098533	0.4417854256300069	0.3257	0.40468817342536956
EX_co2_e	10130446.5	0.0	10130446.5	1.0	28.566499353299	27.601765	12.424005802555314	116.39956149317774	117.745755	16.633492872386242
EX_h_e_f	440054485218.5	0.0	440054485218.5	1.0	241.0246249221411	233.32856	137.3115380708077	269.6799551461022	282.64232000000004	126.82900571065524
EX_h2o_e_f	437119125158.5	0.0	437119125158.5	1.0	263.11025385457674	257.07347500000003	158.98250180169427	297.23971352109436	303.551635	131.29960278230408
EX_ump_e_r	80858406724.0	0.0	80858406724.0	1.0	0.0015180310800015466	0.00133	0.0010452303156053184	0.010803147459994118	0.01014	0.007016677669870984
EX_pi_e_r	13560.0	0.0	13560.0	1.0	0.0317838588099961	0.03298	0.006004950233806747	0.20948252278000362	0.21658	0.03298141881064324
EX_nh4_e	659268275419.0	1.0	659268275419.0	0.0	33.439980530909985	32.019239999999996	16.31993903964321	24.298148120989918	23.970795000000003	7.238899801838914
EX_o2_e_r	0.0	0.0	0.0	1.0	2.862463197150045	2.73964	0.708120267261801	77.66506824137039	78.741585	9.82104654378461
EX_arg__L_e_r	60081726947.5	0.0	60081726947.5	1.0	0.1931401416199922	0.20158	0.03237107991139326	0.28852697411000644	0.29608	0.047541035086210714
EX_pro__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
