	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	7802408635.0	1.0	7802408635.0	0.0	4.8547856839805315	4.897789747059949	0.19796058372248787	4.539708704455866	4.631657442741654	0.378963346288477
EX_glc__D_e_r	5956069425.0	1.0	5956069425.0	0.0	2.774910629108318	2.7995211776648876	0.11315516742324835	2.684231320265386	2.73904521727507	0.22663195831774902
EX_gluIN__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	9999787703.0	1.0	9999787703.0	0.0	0.1312921616447554	0.13127022232765934	0.009071165505751107	0.07473821253286915	0.07622029169548225	0.00627524902124839
EX_gln__L_e_r	159248.0	0.0	159248.0	1.0	0.6781842570269335	0.6804197362324076	0.03651759676273557	1.1779504806420045	1.2013828959831208	0.09847439200294923
EX_asp__L_e					0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	1965167926.0	0.0	1965167926.0	1.0	0.08960525561645732	0.06682688031835984	0.08060163586286219	0.31821432169409947	0.24098267461110917	0.277796036418002
EX_co2_e	3530580546.0	0.0	3530580546.0	1.0	31.530086561754345	31.36420506973878	9.705110811889776	35.389866341542195	35.40924891265101	2.187202715454115
EX_h_e_f	4135174622.0	0.0	4135174622.0	1.0	194.60264332239612	166.88158691029207	142.174369333543	232.22374323134522	236.1886878361342	124.19345937906238
EX_h2o_e_f	5120429615.0	1.0	5120429615.0	5.37331953494869e-21	75.41447203939568	65.13634753384395	51.34206721148862	74.86539670153672	60.672527470714584	54.594925454964695
EX_ump_e_r	1703996444.0	0.0	1703996444.0	1.0	7.610190376057957e-06	8.09886527604151e-06	4.170470040653712e-06	2.0176973782014982e-05	1.9189703036829404e-05	1.1910523109453003e-05
EX_pi_e_r	1300724.0	0.0	1300724.0	1.0	0.00013542354556908684	0.00013498139558495	5.720388594257966e-06	0.00039110930702771954	0.00039958643086125	6.800591027916053e-05
EX_nh4_e	9785562731.0	1.0	9785562731.0	0.0	38.5518052035619	38.59051745198526	12.773825879383546	13.672626865181446	13.303740560634429	2.419405186268729
EX_o2_e_r	0.0	0.0	0.0	1.0	2.2736335375236765	2.1815789031434996	0.585370819722245	19.583338324673903	19.652546618646372	1.3802260421543178
EX_arg__L_e_r	4201079214.0	0.0	4201079214.0	1.0	0.18514862678214158	0.1928344659103084	0.036087708661682004	0.19368365133075358	0.20134059421305422	0.052783386830920265
EX_pro__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	1461021.0	0.0	1461021.0	1.0	9.381147336730294e-05	9.369197991939619e-05	5.2177894927970765e-06	0.0002717071880978193	0.0002767262400581	4.7945984061476094e-05
EX_ile__L_e_r	124399.0	0.0	124399.0	1.0	4.371423407415853e-05	4.4046385208444486e-05	1.1043858413745874e-06	0.0001256528049091574	0.0001282547947653	2.1400529325136808e-05
EX_met__L_e_r	0.0	0.0	0.0	1.0	2.3381961130464288e-05	2.3559623188493928e-05	5.907161861273041e-07	0.01740071210157727	0.0176860714422351	0.009749843402134662
EX_gly_e_r	3919518160.0	0.0	3919518160.0	1.0	0.10906060029489918	0.09849473522348635	0.07163440559315533	0.13248049491297423	0.13482804748484623	0.059556150396304096
EX_phe__L_e_r	23806167.0	0.0	23806167.0	1.0	5.2076838910233436e-05	5.205876716263882e-05	7.189877322615038e-06	0.0001502222306452733	0.00015323848304415002	3.0225391812610544e-05
EX_ser__L_e_r	4541168290.0	5.750023716053088e-277	4541168290.0	1.0	0.14359965149483872	0.1307453132674343	0.09851667547082561	0.14864659680023687	0.14935245766674965	0.06152755614979229
EX_ala__L_e_f	3428598231.0	0.0	3428598231.0	1.0	0.17106714662297712	0.12274324314243179	0.1605048163089819	0.326609423726726	0.23154461743469268	0.31625216913270876
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_fol_e_r	8499202503.0	1.0	8499202503.0	0.0	0.0002640146241471884	0.00027345123909775003	7.950921581858979e-05	0.0001657589477516274	0.00017169379992754998	4.369297536784659e-05
EX_urea_e	5126208115.0	1.0	5126208115.0	7.136041823824612e-23	0.05769671102779719	0.04798426792137645	0.04395862884054831	0.05591681913365047	0.0454045714084167	0.04386946458214422
EX_pyr_e					0.0	0.0	0.0	0.0	0.0	0.0
PYRt2					0.0	0.0	0.0	0.0	0.0	0.0
EX_gudac_e	6020897660.0	1.0	6020897660.0	0.0	0.0860695269921029	0.07900446800215065	0.05568021463739488	0.06603457857538515	0.05868000696372635	0.047146079884905615
EX_hdca_e_f	79.0	0.0	79.0	1.0	0.36387578700682266	0.3476413522729679	0.10777198672361767	1.9825258966276817	1.981546584710547	0.16067015503221346
EX_ptrcIN_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_ptrcOUT_e	2269385862.0	0.0	2269385862.0	1.0	0.09845506184743777	0.09468032064389226	0.05763062508927761	0.1596396017831741	0.1673624700373612	0.05614836323932008
EX_biomassx	124399.0	0.0	124399.0	1.0	0.0001528052981150075	0.00015396634906714998	3.860436109643458e-06	0.00043922568288783223	0.00044832106895784996	7.480662380591766e-05
EX_gthox_e	10686934.0	0.0	10686934.0	1.0	0.020633315046362895	0.019148505642275	0.011520065900600784	0.39608757301756153	0.4032024792247108	0.13091332695600713
EX_2obut_e	7770383132.0	1.0	7770383132.0	0.0	0.4783957332291052	0.4960287472857503	0.24072952044192092	0.23977494869612845	0.22240012011031873	0.14129841080762445
EX_crn_e	8968553513.0	1.0	8968553513.0	0.0	1.2779957763640881e-17	1.389713162073599e-17	1.1712620976580955e-17	-2.6893386463623805e-16	-2.7306792019533793e-16	1.9910133418048968e-16
EX_val__L_e_r	7271520622.0	1.0	7271520622.0	0.0	0.3223101707394133	0.33471439285227145	0.12127292892052025	0.2342298857331564	0.2457004488565943	0.05925432875717989
EX_spmd_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.002381090824470601	0.002097639896602	0.0016784229685324658
EX_sprm_e	1062733514.0	0.0	1062733514.0	1.0	0.00041647488550807573	0.00035796964152745	0.00023914076449574277	0.0020370137708410423	0.00194229440360735	0.0012628503328437556
