	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	1000000000000.0	1.0	1000000000000.0	0.0	4.848763566523393	4.8935850233	0.20122395160300582	0.07178082930139261	0.0737795047	0.008025235414263338
EX_glc__D_e_r	1000000000000.0	1.0	1000000000000.0	0.0	2.7715002862566163	2.7971028474499997	0.11500919292821718	0.1030064735652772	0.1047462111	0.013339009611361242
EX_gluIN__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0031722598011685297	0.00269775925	0.002357007581507316
EX_gluOUT__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.1309067134431719	0.1309696475	0.009473870635460822	0.01110279801021679	0.01128144435	0.0013887105890657584
EX_gln__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	0.6782512708495189	0.6799826094	0.03737037312910451	0.2043657243987836	0.20979564535	0.023218016954813382
EX_asp__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.029170371245982384	0.0301861858	0.011926340125887207
DM_asp__L_e	65817301894.5	0.0	65817301894.5	1.0	0.09232956078587715	0.06604120685	0.08824330434568933	1.1446424716850128	0.8674630165999999	1.0201167920040526
EX_co2_e	90909900.0	0.0	90909900.0	1.0	31.38011439765486	31.1878220634	9.495774577725669	103.94953207888467	100.55289412135	22.5353021179027
EX_h_e_f	384525909680.0	0.0	384525909680.0	1.0	220.51578073077215	214.6879504067	125.12573723948837	265.7532492272506	276.9928096749	92.64253100690216
EX_h2o_e_f	415921525276.0	0.0	415921525276.0	1.0	97.6889428853001	96.85828212530001	47.33760213487606	110.41856664340314	116.1499116995	43.14702606800627
EX_ump_e_r	954342335390.5	1.0	954342335390.5	0.0	7.052136450299962e-06	7.1443e-06	3.7561322019102764e-06	8.384644467999969e-07	8.281e-07	3.673197982121256e-07
EX_pi_e_r	1000000000000.0	1.0	1000000000000.0	0.0	0.00013546090046050117	0.00013549415	5.314177962898933e-06	1.3187219494799172e-05	1.33266e-05	2.9730638953125712e-06
EX_nh4_e	131472356833.0	0.0	131472356833.0	1.0	38.46685247078908	38.2326796449	12.366058105734707	75.17955572567054	69.57698577619999	32.05764037250096
EX_o2_e_r	4610.0	0.0	4610.0	1.0	2.257915135212977	2.1678896024	0.5597223377732732	61.793711766647135	61.889422867449994	6.460327947788923
EX_arg__L_e_r	996318488229.5	1.0	996318488229.5	0.0	0.18442730428627474	0.1891826979	0.03210478636243176	0.07872155401683721	0.081736497	0.012026576680588106
EX_pro__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.976661752800236e-06	5.0055e-06	1.4119366286097787e-06
EX_leu__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	9.399688945609484e-05	9.418465000000001e-05	5.31143036227425e-06	8.505972070999599e-06	8.6104e-06	1.8738590121459151e-06
EX_ile__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	4.3687131510397675e-05	4.40287e-05	1.1297441516545768e-06	4.277199722999981e-06	4.3282e-06	9.64636297983329e-07
EX_met__L_e_r	2029907558.0	0.0	2029907558.0	1.0	2.3367464297199576e-05	2.35501e-05	6.042799116839448e-07	0.00317810870911407	0.0031894875999999997	0.001612792642706763
EX_gly_e_r	837934914291.5	1.0	837934914291.5	0.0	0.11424815984234665	0.1064352895	0.07421514174152148	0.03245596325700697	0.03318857385	0.014854200578198872
