	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000000000.0	1.0	10000000000.0	0.0	4.853951629051661	4.895125033812433	0.19268823368848903	0.072124866988396	0.07409311702738955	0.0077018131223370685
EX_glc__D_e_r	10000000000.0	1.0	10000000000.0	0.0	2.774562232617224	2.7981435142502633	0.1101484877198792	0.10312074335725953	0.1050963774863568	0.013366290095183957
EX_gluIN__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.003498476420422619	0.0030495444647749	0.002536027505536581
EX_gluOUT__L_e	10000000000.0	1.0	10000000000.0	0.0	0.13099454272772737	0.131044343981395	0.009275902577165283	0.011138667281826995	0.01127091127501875	0.0013039945052626752
EX_gln__L_e_r	10000000000.0	1.0	10000000000.0	0.0	0.6795728995004027	0.680834371624558	0.036403372510706626	0.20553136564126212	0.21094273695613144	0.022241613935406405
EX_asp__L_e	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.029689840614209415	0.0303788376665122	0.011830684550507701
DM_asp__L_e	622447710.0	0.0	622447710.0	1.0	0.09205172330176874	0.0666859861913692	0.08780149428135713	1.121489810595705	0.867478124671949	1.0050645271124976
EX_co2_e	142424.0	0.0	142424.0	1.0	32.440749180984604	32.06343719853143	9.290043906940257	104.39456769567207	100.74087296858795	22.972746724720572
EX_h_e_f	4595944950.0	2.492502622567792e-215	4595944950.0	1.0	254.28745637614009	254.1938205050742	105.90036885040715	262.4129156685042	286.372610562452	115.04381163803156
EX_h2o_e_f	4559731311.0	3.3313269454328256e-255	4559731311.0	1.0	110.36216594635191	110.02000364673387	44.0979344747259	115.92666067353582	119.01962124463208	39.18816369862548
EX_ump_e_r	9580404580.0	1.0	9580404580.0	0.0	6.967534663699038e-06	6.838300641468995e-06	3.6941595408949584e-06	8.576298320164814e-07	8.37957124642098e-07	3.424195216512938e-07
EX_pi_e_r	10000000000.0	1.0	10000000000.0	0.0	0.00013533219257389284	0.00013535772044795	5.1776914612867866e-06	1.3207751291661797e-05	1.3224093721261892e-05	2.9715126207082033e-06
