Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	1629102.5	0.0	1629102.5	1.0	0.071200648019993	0.07344	0.008783480628157281	3.3977873526800133	3.43646	0.9308277177739893
EX_glc__D_e_r	2293914.0	0.0	2293914.0	1.0	0.10077604701000292	0.10296	0.014835836377737189	2.087899746050084	2.11178	0.5714214748972337
EX_gluIN__L_e	999489000000.0	1.0	999489000000.0	0.0	0.0034367779100034006	0.00293	0.0025274140709541527	0.0	0.0	0.0
EX_gluOUT__L_e	649388108.5	0.0	649388108.5	1.0	0.00912290842999655	0.00923	0.0021712380077761966	0.1327861720599964	0.13604	0.038343271605454476
EX_gln__L_e_r	117156820464.0	0.0	117156820464.0	1.0	0.19990254498999255	0.20585	0.0253831228429967	0.30934404882999256	0.31249	0.08481765041327935
EX_asp__L_e	999982500000.0	1.0	999982500000.0	0.0	0.03032443377999897	0.03139	0.013233448291928494	0.0	0.0	0.0
DM_asp__L_e	669147304612.0	1.0	669147304612.0	0.0	1.255883119700007	0.96001	1.056974961780414	0.6807396720999906	0.49881	0.6304218350190148
EX_co2_e	912110815128.5	1.0	912110815128.5	0.0	142.4752331729453	138.48820999999998	45.324424330686206	82.03327922958512	79.713735	13.004051419244783
EX_h_e_f	469948798133.0	0.0	469948798133.0	1.0	257.800076688956	257.318415	111.11181294664848	267.7310241240551	282.9047	122.62466428006064
EX_h2o_e_f	506010661280.0	1.0	506010661280.0	2.292545373026146e-49	253.27234843219003	258.79229	151.90135218270336	250.12114490507795	242.69376	154.28113663703397
EX_ump_e_r	267900873394.0	0.0	267900873394.0	1.0	0.0014952454600016347	0.00154	0.0007300381181175067	0.002958820970003302	0.00278	0.0018892256681938982
EX_pi_e_r	5376209171.5	0.0	5376209171.5	1.0	0.025276214040012235	0.02584	0.002493573752511561	0.05621485360999968	0.05703	0.01144393496431332
EX_nh4_e	924136106794.0	1.0	924136106794.0	0.0	123.0440227604311	117.609265	59.69427581180974	41.662299769409955	37.20308	16.79435286179119
EX_o2_e_r	540026025928.0	1.0	540026025928.0	0.0	64.34412954868917	64.4091	6.482967395750544	63.279890278136776	63.585665	6.370126201928446
EX_arg__L_e_r	846295357504.0	1.0	846295357504.0	0.0	0.08879581096999549	0.0917	0.011830597347199844	0.07503247945000088	0.07698	0.006920769475908218
EX_pro__L_e	999721000000.0	1.0	999721000000.0	0.0	0.004579413600001255	0.00422	0.0029554377576165125	0.0	0.0	0.0
EX_leu__L_e_r	3427218809.5	0.0	3427218809.5	1.0	0.016456297049999978	0.01678	0.0016599315939616118	0.038565659119996966	0.0392	0.0076804050125103855
EX_ile__L_e_r	5267785862.0	0.0	5267785862.0	1.0	0.008166632669998002	0.00838	0.0007701006551388931	0.018089601020002562	0.01836	0.0036449618501921584
EX_met__L_e_r	93727605628.0	0.0	93727605628.0	1.0	0.0072244576499978725	0.00712	0.0018663964803576603	0.011140329249997997	0.01127	0.002186361619236914
EX_gly_e_r	426614452942.5	0.0	426614452942.5	1.0	0.03557497027000083	0.03768	0.01703077419255508	0.04351758983999689	0.04122	0.026763047051215946
EX_phe__L_e_r	16663952104.0	0.0	16663952104.0	1.0	0.01011351958999733	0.00997	0.0019170838952960558	0.021642107000005763	0.02149	0.0052834904567743
EX_ser__L_e_r	134909238272.5	0.0	134909238272.5	1.0	0.009045683349993606	0.00688	0.007905217980451055	0.04233128334999822	0.03619	0.03096921729067146
EX_ala__L_e_f	626976644041.5	1.0	626976644041.5	0.0	1.162090567210021	0.86309	1.045774218228737	0.7315242472899971	0.53696	0.6775319294754878
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	999893500000.0	1.0	999893500000.0	0.0	0.006771673389995639	0.00688	0.003495948923242468	0.0	0.0	0.0
EX_fol_e_r	687597651252.0	1.0	687597651252.0	0.0	0.0012618705800014928	0.00126	0.0004541839431483661	0.000983972390001566	0.00104	0.00022998443797471905
EX_urea_e	605596452795.0	1.0	605596452795.0	0.0	0.025023122939997228	0.02174	0.01821330106650882	0.01793482646999756	0.01547	0.013065145485321264
EX_pyr_e	999791000000.0	1.0	999791000000.0	0.0	0.006030835969998696	0.00604	0.003548926451722904	0.0	0.0	0.0
PYRt2	999791000000.0	1.0	999791000000.0	0.0	0.006030835969998696	0.00604	0.003548926451722904	0.0	0.0	0.0
EX_gudac_e	626096740819.0	1.0	626096740819.0	0.0	0.026075980169996488	0.02314	0.01857906789352974	0.017659378709996298	0.01535	0.012750484012801332
EX_hdca_e_f	537276434398.0	1.0	537276434398.0	0.0	0.6010548341000086	0.44904	0.5358010502936629	0.5149686934700123	0.39651499999999995	0.4428896616714404
