	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	0.0	0.0	0.0	1.0	0.07178082930139261	0.0737795047	0.008025235414263338	3.7430959076328403	3.7782480409000003	0.7944475177057041
EX_glc__D_e_r	0.0	0.0	0.0	1.0	0.1030064735652772	0.1047462111	0.013339009611361242	2.3029159661757777	2.32416907	0.48838925608487677
EX_gluIN__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.0031722598011685297	0.00269775925	0.002357007581507316	0.0	0.0	0.0
EX_gluOUT__L_e	20500697.0	0.0	20500697.0	1.0	0.01110279801021679	0.01128144435	0.0013887105890657584	0.14315617184401574	0.1455391603	0.039637324371152895
EX_gln__L_e_r	36782853145.0	0.0	36782853145.0	1.0	0.2043657243987836	0.20979564535	0.023218016954813382	0.34307443861396053	0.3462062306	0.072208309032681
EX_asp__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.029170371245982384	0.0301861858	0.011926340125887207	0.0	0.0	0.0
DM_asp__L_e	692264517780.5	1.0	692264517780.5	0.0	1.1446424716850128	0.8674630165999999	1.0201167920040526	0.5367271095747126	0.41455258679999996	0.4619166889237079
EX_co2_e	974804197228.0	1.0	974804197228.0	0.0	103.94953207888467	100.55289412135	22.5353021179027	64.99888093774602	64.26610582859999	8.201764815652643
EX_h_e_f	398719333106.0	0.0	398719333106.0	1.0	265.7532492272506	276.9928096749	92.64253100690216	298.2409150417959	311.2389413875	103.87445401948767
EX_h2o_e_f	491853256266.0	6.732459332818668e-89	491853256266.0	1.0	110.41856664340314	116.1499116995	43.14702606800627	112.22619885975215	115.13170225675	43.64050488877861
EX_ump_e_r	24056506418.0	0.0	24056506418.0	1.0	8.384644467999969e-07	8.281e-07	3.673197982121256e-07	1.035602737650023e-05	1.01642e-05	5.5115773512197e-06
EX_pi_e_r	0.0	0.0	0.0	1.0	1.3187219494799172e-05	1.33266e-05	2.9730638953125712e-06	0.00019387471824619895	0.0001993317	2.570534381616243e-05
EX_nh4_e	900112328531.0	1.0	900112328531.0	0.0	75.17955572567054	69.57698577619999	32.05764037250096	36.856499797504355	34.109679958049995	10.93131318965487
EX_o2_e_r	880071613330.5	1.0	880071613330.5	0.0	61.793711766647135	61.889422867449994	6.460327947788923	51.2538270283336	51.474400345099994	6.396236139049575
EX_arg__L_e_r	631786075040.0	1.0	631786075040.0	0.0	0.07872155401683721	0.081736497	0.012026576680588106	0.076796966491881	0.07810945229999999	0.005038868890143426
EX_pro__L_e	1000000000000.0	1.0	1000000000000.0	0.0	4.976661752800236e-06	5.0055e-06	1.4119366286097787e-06	0.0	0.0	0.0
EX_leu__L_e_r	0.0	0.0	0.0	1.0	8.505972070999599e-06	8.6104e-06	1.8738590121459151e-06	0.00013536869679219975	0.00013876	1.839904506538325e-05
EX_ile__L_e_r	0.0	0.0	0.0	1.0	4.277199722999981e-06	4.3282e-06	9.64636297983329e-07	6.268246026059824e-05	6.46613e-05	7.96478975991867e-06
EX_met__L_e_r	773789964097.5	1.0	773789964097.5	0.0	0.00317810870911407	0.0031894875999999997	0.001612792642706763	0.0016861776839876695	0.0017818373000000002	0.0008180404880070304
EX_gly_e_r	438328144533.5	0.0	438328144533.5	1.0	0.03245596325700697	0.03318857385	0.014854200578198872	0.03907448115578615	0.03632731345	0.024480549962389107
EX_phe__L_e_r	0.0	0.0	0.0	1.0	5.491925117700122e-06	5.4417e-06	1.5129104755765276e-06	7.419475376489768e-05	7.33707e-05	1.4857528956985633e-05
EX_ser__L_e_r	271735550298.5	0.0	271735550298.5	1.0	0.01233319224718889	0.009553236350000001	0.010521773634293534	0.027926681081556007	0.02350033205	0.021362456982264227
EX_ala__L_e_f	690373281031.0	1.0	690373281031.0	0.0	1.1907758726546487	0.90212096735	1.0396947699078318	0.5924174048219857	0.42484118655	0.555608021360291
EX_ribflv_e					0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.010546600992896234	0.010652929750000002	0.0011028674701161999	0.0	0.0	0.0
EX_fol_e_r	821000572668.5	1.0	821000572668.5	0.0	0.0014086086432155023	0.00146312435	0.00043291471972793253	0.0009343945831363807	0.00098823935	0.0002509978924629027
EX_urea_e	550198067170.0	1.0	550198067170.0	0.0	0.029260184718726902	0.02719064935	0.01868235321234905	0.02601973163321978	0.0233682643	0.01808092150884528
EX_pyr_e	1000000000000.0	1.0	1000000000000.0	0.0	0.007753934729095416	0.008086869850000001	0.0028013179781229713	0.0	0.0	0.0
PYRt2	1000000000000.0	1.0	1000000000000.0	0.0	0.007753934729095416	0.008086869850000001	0.0028013179781230632	0.0	0.0	0.0
