	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	0.0	0.0	0.0	1.0	0.07173820652994309	0.073548853911226	0.007912226164858508	3.788920888820088	3.7671283620738256	0.6836962008464728
EX_glc__D_e_r	0.0	0.0	0.0	1.0	0.10349394166383451	0.10521082607286465	0.01295329112198433	2.330272640957718	2.3169486711263687	0.42049681807149386
EX_gluIN__L_e	10000000000.0	1.0	10000000000.0	0.0	0.0034845150086723425	0.00299968579315285	0.0025457766676086403	0.0	0.0	0.0
EX_gluOUT__L_e	939498.0	0.0	939498.0	1.0	0.010959953948098611	0.0111272918228066	0.0014354646927998184	0.13497210373161214	0.1357435411440724	0.04097820606882308
EX_gln__L_e_r	112802506.0	0.0	112802506.0	1.0	0.2036707374900026	0.20838425260672777	0.022638743265097627	0.34703493226678256	0.34516446056305783	0.06222152226685703
EX_asp__L_e	10000000000.0	1.0	10000000000.0	0.0	0.030675685232924802	0.032819177227865	0.011995505901491453	0.0	0.0	0.0
DM_asp__L_e	6830198844.0	1.0	6830198844.0	0.0	1.0933393001225913	0.7405763121578637	1.0417155125735533	0.47655766072878936	0.3828071747238657	0.3858689549843159
EX_co2_e	9674422554.0	1.0	9674422554.0	0.0	102.33285337009568	98.26933443974218	22.85901883794737	65.60176543077223	64.94801166369368	7.861077133983763
EX_h_e_f	5411435052.0	1.0	5411435052.0	3.529085011958511e-223	265.82651401970446	273.00552362477475	85.50856690722016	249.15690120258472	252.87228673368838	112.92115797520039
EX_h2o_e_f	4815314041.0	1.0083275667611274e-46	4815314041.0	1.0	107.83430182400042	111.7966198252131	39.2201127034006	109.55731751285087	114.04556594988384	45.90491223124119
EX_ump_e_r	253417381.0	0.0	253417381.0	1.0	7.998008832041895e-07	7.897249834177378e-07	3.241709382054042e-07	9.766532436420382e-06	9.43316890575215e-06	5.396301761224322e-06
EX_pi_e_r	0.0	0.0	0.0	1.0	1.310109545890006e-05	1.3225263575163209e-05	2.9680879952570323e-06	0.00019634694563547394	0.00020226827847205	2.5170974513982275e-05
EX_nh4_e	8865814166.0	1.0	8865814166.0	0.0	72.53141448833311	66.0220729594745	32.222906249038935	36.58574557037012	33.93743156586602	10.372314817308647
