Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	median_SKBR3	std_SKBR3	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	5019.0	0.5190008548450344	5019.0	0.48197286655293203	3.2482482999999998	4.352365	1.9448589993341472	4.1207666	3.9612100000000003	0.5284799613857681
EX_glc__D_e_r	5278.0	0.7519009136000113	5278.0	0.24887303392039034	1.9906289000000004	2.67177	1.2015619103541562	2.4785441	2.381415	0.3172309394743645
EX_gluIN__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_gluOUT__L_e	571.5	1.3936693316956638e-27	571.5	1.0	0.04695719999999999	0.046665	0.010105414298355816	0.06819489999999999	0.06559000000000001	0.008858647945608993
EX_gln__L_e_r	0.0	1.2810718345817004e-34	0.0	1.0	0.2978649	0.39707000000000003	0.1677378396591695	1.0760665	1.033475	0.13946176878368038
EX_asp__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
DM_asp__L_e	7008.0	0.9999995391283905	7008.0	4.6664619947561476e-07	1.3667045	1.441165	0.9658251253557418	0.4666825	0.45663	0.19515154940481771
EX_co2_e	1944.0	4.140545346305909e-14	1944.0	0.9999999999999594	104.9702545	107.58052	11.004558995486837	121.04040049999998	116.38554500000001	15.653128009339037
EX_h_e_f	7740.0	0.9999999999892978	7740.0	1.0882553268685984e-11	427.8363939	448.778505	45.07044478361259	400.8221531000001	398.56705999999997	25.261868964120076
EX_h2o_e_f	8267.0	0.9999999999999993	8267.0	7.238254662430615e-16	488.45935340000005	513.13433	52.36811981747641	398.9546035	386.47907	49.948327903243104
EX_ump_e_r	717.0	6.214667406093853e-26	717.0	1.0	0.0015376	0.00164	0.001277830484639785	0.005924700000000001	0.0059900000000000005	0.0026904280215969243
EX_pi_e_r	658.5	1.3845737083890534e-26	658.5	1.0	0.0183042	0.01933	0.01486110544034632	0.12211549999999997	0.136855	0.04345347848765122
EX_nh4_e	10000.0	1.0	10000.0	1.2810718345817004e-34	80.789997	84.450275	14.076802283506806	32.30157859999999	31.863084999999998	7.975982539130789
EX_o2_e_r	2474.0	3.397725346230364e-10	2474.0	0.9999999996654393	56.78990789999999	49.17652	15.23068943105303	77.409233	74.82208499999999	10.75098190524738
EX_arg__L_e_r	0.0	1.2795572750790226e-34	0.0	1.0	0.0738799	0.07230500000000001	0.006406235046003734	0.2870898	0.28865	0.018972381999830035
EX_pro__L_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_leu__L_e_r	637.0	7.88055190515007e-27	637.0	1.0	0.0124247	0.012844999999999999	0.01000551589844019	0.0832615	0.09323000000000001	0.02963906064484991
EX_ile__L_e_r	665.0	1.6378335796841112e-26	665.0	1.0	0.0061689	0.00655	0.005011949941102885	0.03949630000000001	0.044215000000000004	0.014028763860891183
EX_met__L_e_r	0.0	1.2776845210416705e-34	0.0	1.0	0.0045881	0.00519	0.003394955763535607	0.0367268	0.03690499999999999	0.0046979838529765386
