Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_SKBR3	median_SKBR3	std_SKBR3	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	10000.0	1.0	10000.0	1.2806389253109373e-34	3.2482482999999998	4.352365	1.9448589993341472	0.07817759999999999	0.07859	0.002868546290053869
EX_glc__D_e_r	10000.0	1.0	10000.0	1.2809996731450625e-34	1.9906289000000004	2.67177	1.2015619103541562	0.1070815	0.10786	0.00996065739331851
EX_gluIN__L_e	0.0	2.8032644138343525e-39	0.0	1.0	0.0	0.0	0.0	0.0014445999999999999	0.00115	0.0012997850793593734
EX_gluOUT__L_e	10000.0	1.0	10000.0	1.2791248640447063e-34	0.04695719999999999	0.046665	0.010105414298355816	0.012269299999999999	0.01229	0.0007842454457578439
EX_gln__L_e_r	6600.0	0.9999539753617676	6600.0	4.649249387119501e-05	0.2978649	0.39707000000000003	0.1677378396591695	0.2266428	0.227485	0.008555054986274594
EX_asp__L_e	0.0	2.8183496191193512e-39	0.0	1.0	0.0	0.0	0.0	0.0447382	0.04421	0.0028415660712666426
DM_asp__L_e	8508.0	1.0	8508.0	5.1573782787253786e-18	1.3667045	1.441165	0.9658251253557418	0.2565713	0.17892	0.23160602546485326
EX_co2_e	1234.0	1.7800999739508734e-20	1234.0	1.0	104.9702545	107.58052	11.004558995486837	156.64425690000004	165.04442	34.352462057798185
EX_h_e_f	8211.0	0.9999999999999979	8211.0	2.1734091139851858e-15	427.8363939	448.778505	45.07044478361259	387.3154084	385.653925	26.25944906663807
EX_h2o_e_f	7529.0	0.9999999996806112	7529.0	3.243700158058163e-10	488.45935340000005	513.13433	52.36811981747641	434.7551425000001	424.66207499999996	45.69511057081584
EX_ump_e_r	7001.5	0.9999995035281438	7001.5	5.026767725095768e-07	0.0015376	0.00164	0.001277830484639785	0.0005423	0.00059	0.0002797143384081537
EX_pi_e_r	6941.0	0.9999989517882136	6941.0	1.0609356257488894e-06	0.0183042	0.01933	0.01486110544034632	0.0090664	0.01035	0.004524320032621008
EX_nh4_e	1708.0	4.4042664962271317e-16	1708.0	0.9999999999999996	80.789997	84.450275	14.076802283506806	127.0081249	135.83116	43.741030480942584
EX_o2_e_r	2461.0	2.777905356653943e-10	2461.0	0.9999999997264912	56.78990789999999	49.17652	15.23068943105303	72.7491746	72.132565	5.161918307460493
EX_arg__L_e_r	1450.5	2.1295351125527865e-18	1450.5	1.0	0.0738799	0.07230500000000001	0.006406235046003734	0.08377349999999999	0.08471999999999999	0.0062999782547323935
EX_pro__L_e	0.0	2.8133813716091013e-39	0.0	1.0	0.0	0.0	0.0	0.0033672000000000003	0.003905	0.001791774742335857
EX_leu__L_e_r	7023.0	0.9999996179308871	7023.0	3.8688983281078684e-07	0.0124247	0.012844999999999999	0.01000551589844019	0.0057389999999999984	0.00655	0.002869319596959347
EX_ile__L_e_r	6952.0	0.9999990831449581	6952.0	9.280438987829888e-07	0.0061689	0.00655	0.005011949941102885	0.002961200000000001	0.0034	0.0014795612781353718
