Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF7	std_MCF7	mean_MDAMB361	std_MDAMB361	result	meanRatio	meanRatio_log
EX_lac__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_glc__D_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gluIN__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gluOUT__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gln__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_asp__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
DM_asp__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_co2_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_h2o_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ump_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_pi_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_nh4_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_o2_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_arg__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_pro__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_leu__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ile__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_met__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_gly_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_phe__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ser__L_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ala__L_e_f					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ala__L_e_b					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_ribflv_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_asn__L_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_fol_e_r					1.0	0.0	1.0	0.0	0.0	1.0	0.0
EX_urea_e					1.0	0.0	1.0	0.0	0.0	1.0	0.0
