	MCF102A_score	SKBR3_score	MCF7_score	MDAMB231_score	MDAMB361_score	totalScore
EX_gluOUT__L_e	0.7962664554132197	0.7321684452559122	0.7402920000000001	0.8172451608945059	0.9889159920120538	4.074888053575692
r2534_r	0.9460931111920291	0.8624297138823604	0.5845879999999998	0.39098110468994296	0.8404910413586278	3.62458297112296
EX_thr__L_e_r	0.9460931111920291	0.8624297138823604	0.5845879999999998	0.39098110468994296	0.8404910413586278	3.62458297112296
ExCystineGlu	0.5491896437323035	0.7280271085694602	0.7835610000000001	0.9031097770474164	0.5967507839331043	3.5606383132822845
GluForTx	0.994638623775657	0.7711463134389404	0.8104514834514286	0.1837467051571397	0.7112249999999998	3.4712081258231655
HISDr	0.994638623775657	0.7711463134389404	0.8104514834514286	0.1837467051571397	0.7112249999999998	3.4712081258231655
URCN	0.994638623775657	0.7711463134389404	0.8104514834514286	0.1837467051571397	0.7112249999999998	3.4712081258231655
IZPN	0.994638623775657	0.7711463134389404	0.8104514834514286	0.1837467051571397	0.7112249999999998	3.4712081258231655
FTCD	0.994638623775657	0.7711463134389404	0.8104514834514286	0.1837467051571397	0.7112249999999998	3.4712081258231655
GLNt_r	0.6911918011658541	0.7010244876222478	0.4362773333333334	0.7371210000000001	0.8191798301579621	3.3847944522793973
EX_gln__L_e_r	0.6911918011658541	0.7010244876222478	0.4362773333333334	0.7371210000000001	0.8191798301579621	3.3847944522793973
HIBDm	0.9689173279674254	0.6918184463718375	0.5086122320397235	0.3954985424296396	0.7433644835298758	3.308211032338502
3HBCOAHLm	0.9689173279674254	0.6918184463718375	0.5086122320397235	0.3954985424296396	0.7433644835298758	3.308211032338502
ECOAH12m	0.9689173279674254	0.6918184463718375	0.5086122320397235	0.3954985424296396	0.7433644835298758	3.308211032338502
ACOAD9m	0.9689173279674254	0.6918184463718375	0.5086122320397235	0.3954985424296396	0.7433644835298758	3.308211032338502
OIVD2m	0.9689173279674254	0.6918184463718375	0.5086122320397235	0.3954985424296396	0.7433644835298758	3.308211032338502
EX_arg__L_e_r	0.5410012280147869	0.6433875450916013	0.8023746666666668	0.8080967702847373	0.45444202648747933	3.2493022365452715
ARGt5r_r	0.5410012280147869	0.6433875450916013	0.8023746666666668	0.8080967702847373	0.45444202648747933	3.2493022365452715
GHMT2r	0.9999519999999995	0.639606	0.5334771663910385	0.4661817359665384	0.599202	3.238418902357577
MMMm	0.9586906540679322	0.7072426086391297	0.4762222866685999	0.32276700123679314	0.7611543891468514	3.2260769397593063
VALtec_r	0.9397436720764029	0.7849044943314603	0.412779	0.11709204434779127	0.8294155771820915	3.083934787937746
EX_val__L_e_r	0.9397436720764029	0.7849044943314603	0.412779	0.11709204434779127	0.8294155771820915	3.083934787937746
THRD_L	0.5827888228318403	0.6171860051520955	0.5634880683723046	0.4760313013750685	0.8131244045529761	3.052618602284285
CARPEPT1tc_r	0.9915119434129562	0.5511306533919601	0.6053671354634442	0.03183629977505032	0.6313306313306314	2.8111766633740425
EX_carn_e_r	0.9915119434129562	0.5511306533919601	0.6053671354634442	0.03183629977505032	0.6313306313306314	2.8111766633740425
LDH_L	0.4794210000000001	0.2325802325802325	0.14675800000000003	0.9296866666666668	0.9999986666684444	2.788444565915344
EX_lac__L_e	0.4794210000000001	0.2325802325802325	0.14675800000000003	0.9296866666666668	0.9999986666684444	2.788444565915344
DmLact	0.4794210000000001	0.2325802325802325	0.14675800000000003	0.9296866666666668	0.9999986666684444	2.788444565915344
ENO	0.2886990000000001	0.355047054610708	0.3569120000000002	0.8920013333333334	0.8781746304753943	2.770834018419436
PGM	0.2886990000000001	0.355047054610708	0.3569120000000002	0.8920013333333334	0.8781746304753943	2.770834018419436
AKGDm	0.6069388920616792	0.5897065897065898	0.486188105965889	0.6691652338542975	0.31390772897031505	2.6659065505587707
TMDS	0.017013408414853416	0.8791340661450585	0.9992760000000003	0.24415367260566587	0.489003164029975	2.6285803111955532
RNDR4	0.017013408414853416	0.8791340661450585	0.9992760000000003	0.24415367260566587	0.489003164029975	2.6285803111955532
URIDK2r	0.017013408414853416	0.8791340661450585	0.9992760000000003	0.24415367260566587	0.489003164029975	2.6285803111955532
CSm	0.5058499999999998	0.19710439420878845	0.8945333333333333	0.9947893472284074	0.033453	2.625730074770529
RNDR3	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
PMEVK	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
HMGCOAR	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
GARFT	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
PRFGS	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
PRAIS	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
AIRCr	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
DPMVD	0.08794376563775133	0.8323168593759707	0.9993053333333332	0.031241894713704803	0.6458796869268296	2.5966875399875895
