	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	9.586196	37.36848
1	MCF102A	9.587518	37.355198
2	MCF102A	9.493565	37.28707
3	MCF102A	9.47482	37.27778
4	MCF102A	9.490798	37.2854
5	MCF102A	9.5421915	37.30385
6	MCF102A	9.552859	37.31051
7	MCF102A	9.541597	37.30398
8	MCF102A	9.541965	37.30735
9	MCF102A	9.515139	37.289646
10	MCF102A	9.539338	37.305546
11	MCF102A	9.586473	37.329403
12	MCF102A	10.777546	34.861637
13	MCF102A	11.066153	34.454372
14	MCF102A	11.015265	34.442398
15	MCF102A	10.785123	34.27802
16	MCF102A	10.150984	33.920586
17	MCF102A	7.6316957	32.79075
18	MCF102A	7.5211267	32.681244
19	MCF102A	7.3867226	31.862968
20	MCF102A	7.753417	33.24354
21	MCF102A	7.902484	32.519096
22	MCF102A	11.791697	33.44583
23	MCF102A	11.256741	33.25517
24	MCF102A	8.259183	32.063683
25	MCF102A	7.597966	31.452507
26	MCF102A	7.5257607	31.283281
27	MCF102A	7.573327	31.298176
28	MCF102A	8.027642	31.907135
29	MCF102A	10.305336	33.071266
30	MCF102A	7.384205	31.073635
31	MCF102A	7.235444	31.302208
32	MCF102A	7.2094684	31.184668
33	MCF102A	11.269887	33.058804
34	MCF102A	6.999976	31.622593
35	MCF102A	6.294346	31.887442
36	MCF102A	5.141037	31.573753
37	MCF102A	5.167344	31.342651
38	MCF102A	2.4791992	29.051908
39	MCF102A	6.5206366	33.428566
40	MCF102A	5.801869	33.032646
41	MCF102A	5.413802	32.5054
42	MCF102A	5.4692364	32.534298
43	MCF102A	5.6299872	32.67142
44	MCF102A	5.767416	32.7897
45	MCF102A	5.8422465	33.141193
46	MCF102A	5.52369	33.024338
47	MCF102A	5.556696	32.902744
48	MCF102A	5.8591495	33.208233
49	MCF102A	5.6803327	33.23863
50	MCF102A	5.4446235	33.288082
51	MCF102A	5.149125	33.152477
52	MCF102A	4.0468254	32.729103
53	MCF102A	4.1280837	33.044903
54	MCF102A	3.5522509	32.858307
55	MCF102A	3.3418453	32.767853
56	MCF102A	4.1096215	32.754936
57	MCF102A	5.6520934	33.127216
58	MCF102A	5.7620034	33.16896
59	MCF102A	5.8526225	33.263485
60	MCF102A	5.330012	32.97107
61	MCF102A	5.1108603	33.00845
62	MCF102A	4.2023606	32.40462
