	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	-27.590612	7.5459366
1	MCF102A	-27.587946	7.5466137
2	MCF102A	-27.587986	7.5457788
3	MCF102A	-27.592169	7.5372634
4	MCF102A	-27.592669	7.5378213
5	MCF102A	-27.595802	7.526163
6	MCF102A	-27.642967	7.511104
7	MCF102A	-20.93334	21.830435
8	MCF102A	-23.691782	22.948587
9	MCF102A	-23.58007	22.83099
10	MCF102A	-23.60542	22.852695
11	MCF102A	-20.754972	21.409758
12	MCF102A	-20.746895	21.893997
13	MCF102A	-20.689575	21.85981
14	MCF102A	-20.669828	21.550652
15	MCF102A	-20.743889	21.935646
16	MCF102A	-20.714916	21.914145
17	MCF102A	-20.665174	21.78536
18	MCF102A	-20.918867	17.705984
19	MCF102A	-20.543148	16.999939
20	MCF102A	-20.406193	18.265285
21	MCF102A	-19.937983	16.808598
22	MCF102A	-19.838684	16.47151
23	MCF102A	-19.616076	15.915467
24	MCF102A	-19.87157	17.23844
25	MCF102A	-20.074629	17.196148
26	MCF102A	-19.869131	16.375742
27	MCF102A	-20.048107	20.983702
28	MCF102A	-20.050867	21.314827
29	MCF102A	-20.019573	21.12856
30	MCF102A	-19.889194	20.761143
31	MCF102A	-19.91258	20.789928
32	MCF102A	-19.974276	20.452839
33	MCF102A	-19.997658	20.565218
34	MCF102A	-19.98747	20.591684
35	MCF102A	-19.981236	20.838152
36	MCF102A	-20.383076	15.143171
37	MCF102A	-21.116312	15.089436
38	MCF102A	-19.673473	15.252492
39	MCF102A	-19.506588	15.018667
40	MCF102A	-19.446077	15.002773
41	MCF102A	-19.500349	15.288122
42	MCF102A	-19.818087	16.796314
43	MCF102A	-19.55752	16.15282
44	MCF102A	-19.45277	15.869352
45	MCF102A	-19.391876	15.547505
46	MCF102A	-19.369759	15.349653
47	MCF102A	-19.268896	15.072309
48	MCF102A	-19.355705	15.244989
49	MCF102A	-19.307201	15.315828
50	MCF102A	-19.371284	15.560612
51	MCF102A	-19.399471	15.411257
52	MCF102A	-19.213608	15.132841
53	MCF102A	-19.31452	15.46642
54	MCF102A	-19.345522	15.236379
55	MCF102A	-19.599361	16.120878
56	MCF102A	-19.904133	15.3172
57	MCF102A	-19.750296	15.067702
58	MCF102A	-19.668438	14.970232
59	MCF102A	-20.322615	14.927429
60	MCF102A	-20.819576	15.291613
61	MCF102A	-20.677	15.146782
62	MCF102A	-20.833525	14.820083
63	MCF102A	-20.813087	14.6782
64	MCF102A	-19.36999	13.487812
65	MCF102A	-19.109568	13.238657
66	MCF102A	-18.811003	12.909089
67	MCF102A	-18.494799	13.033719
68	MCF102A	-18.318579	13.16671
69	MCF102A	-17.507715	13.445302
70	MCF102A	-17.981964	13.161221
71	MCF102A	-18.469446	13.346047
72	MCF102A	-18.458982	13.176927
73	MCF102A	-18.2931	12.778346
74	MCF102A	-17.902817	12.7581415
75	MCF102A	-18.501707	12.6085005
76	MCF102A	-18.511204	12.451345
77	MCF102A	-18.574911	12.127636
78	MCF102A	-18.572107	11.940179
79	MCF102A	-18.595474	11.885706
80	MCF102A	-18.584146	11.9979105
81	MCF102A	-18.611444	12.035114
82	MCF102A	-18.640125	12.014886
83	MCF102A	-18.627113	12.047688
84	MCF102A	-18.600992	12.018884
85	MCF102A	-18.607105	11.931997
86	MCF102A	-18.589989	11.988534
87	MCF102A	-18.491419	12.076266
88	MCF102A	-18.446362	12.165007
89	MCF102A	-18.45687	12.328697
90	MCF102A	-18.433767	12.33775
91	MCF102A	-18.520311	12.411905
92	MCF102A	-18.548223	12.390712
93	MCF102A	-18.521626	12.449973
94	MCF102A	-18.507284	12.430116
95	MCF102A	-18.520918	12.427254
96	MCF102A	-18.588839	12.384683
97	MCF102A	-18.547342	12.315301
98	MCF102A	-18.544971	12.505033
99	MCF102A	-18.525211	12.4457035
100	MCF102A	-18.624155	12.255395
101	MCF102A	-18.624334	12.240478
102	MCF102A	-18.765444	12.160303
103	MCF102A	-18.707527	12.185705
104	MCF102A	-19.309872	13.564911
105	MCF102A	-18.490412	12.81416
106	MCF102A	-18.560589	12.894487
107	MCF102A	-18.442558	12.792916
108	MCF102A	-18.131723	12.685385
109	MCF102A	-17.29232	14.640758
110	MCF102A	-17.702492	13.5946045
111	MCF102A	-18.067766	15.322538
112	MCF102A	-18.449636	15.689542
113	MCF102A	-18.53781	15.68425
114	MCF102A	-19.172445	16.322767
115	MCF102A	-21.669846	17.478287
116	MCF102A	-22.209448	19.44267
117	MCF102A	-22.195086	19.508755
118	MCF102A	-22.117811	19.398144
119	MCF102A	-22.46896	19.92481
120	MCF102A	-22.489962	19.914642
121	MCF102A	-22.358221	19.788261
122	MCF102A	-22.299034	19.8188
123	MCF102A	-22.068968	16.800694
124	MCF102A	-22.02367	17.221306
125	MCF102A	-22.120483	17.318792
126	MCF102A	-22.00625	17.13297
127	MCF102A	-22.0632	17.040123
128	MCF102A	-22.087214	17.25746
129	MCF102A	-22.126768	19.991648
130	MCF102A	-22.133266	19.892706
131	MCF102A	-22.662567	20.108612
132	MCF102A	-22.650686	20.078264
133	MCF102A	-22.332611	20.014494
134	MCF102A	-22.327398	20.531729
135	MCF102A	-22.143917	20.28417
136	MCF102A	-20.900568	18.954493
137	MCF102A	-20.954506	19.338444
138	MCF102A	-21.21696	19.533346
139	MCF102A	-20.75504	18.983616
140	MCF102A	-21.128477	19.493286
141	MCF102A	-19.036808	16.496372
142	MCF102A	-20.59432	19.109613
143	MCF102A	-22.190672	20.479984
144	MCF102A	-22.432953	20.65355
145	MCF102A	-22.419353	20.82651
146	MCF102A	-22.346647	20.835394
147	MCF102A	-22.355373	20.852215
148	MCF102A	-22.335823	20.898443
149	MCF102A	-22.311401	20.873615
150	MCF102A	-23.652296	24.61106
151	MCF102A	-23.66303	24.612549
152	MCF102A	-23.86335	24.827435
153	MCF102A	-23.83795	24.957216
154	MCF102A	-23.87252	25.059666
155	MCF102A	-23.83671	24.969353
156	MCF102A	-23.87989	25.017494
157	MCF102A	-23.891335	24.93298
158	MCF102A	-23.841915	24.929659
159	MCF102A	-23.676983	24.813286
160	MCF102A	-23.746153	24.882383
161	MCF102A	-23.6656	24.740711
162	MCF102A	-23.64277	24.693169
163	MCF102A	-23.548641	24.715622
164	MCF102A	-23.580439	24.683235
165	MCF102A	-23.616121	24.704718
166	MCF102A	-23.423216	24.522047
167	MCF102A	-20.083744	26.378845
168	MCF102A	-19.823578	26.257202
169	MCF102A	-19.2128	19.825626
170	MCF102A	-19.481745	20.300493
171	MCF102A	-19.305368	20.559057
172	MCF102A	-19.376827	20.382923
173	MCF102A	-19.57405	20.285324
174	MCF102A	-19.524973	20.2029
175	MCF102A	-19.486032	20.12668
176	MCF102A	-19.529621	19.971264
177	MCF102A	-19.590612	19.976074
178	MCF102A	-19.716875	20.009302
179	MCF102A	-19.709278	20.408766
180	MCF102A	-19.602766	20.065178
181	MCF102A	-19.462421	20.113739
182	MCF102A	-19.428562	20.096973
183	MCF102A	-17.088533	18.88939
184	MCF102A	-17.16061	18.818466
185	MCF102A	-16.885103	18.559153
186	MCF102A	-19.337173	19.682205
187	MCF102A	-19.017122	19.712093
188	MCF102A	-18.965218	19.606161
189	MCF102A	-19.383286	19.730997
190	MCF102A	-19.294302	19.726238
191	MCF102A	-17.378723	18.578176
192	MCF102A	-17.475046	18.722082
193	MCF102A	-19.686964	19.721258
194	MCF102A	-19.61429	19.841259
195	MCF102A	-19.659014	19.78662
196	MCF102A	-19.34416	19.583828
197	MCF102A	-19.022587	19.559809
198	MCF102A	-17.348238	18.507254
199	MCF102A	-19.319086	19.633057
200	MCF102A	-19.722958	19.625946
201	MCF102A	-19.622726	19.583017
202	MCF102A	-19.77334	19.614191
203	MCF102A	-19.603113	19.780195
204	MCF102A	-17.507105	18.471437
205	MCF102A	-17.573706	18.531427
206	MCF102A	-17.400282	18.439219
207	MCF102A	-17.29322	18.286087
208	MCF102A	-17.1525	18.189861
209	MCF102A	-17.27416	18.280296
210	MCF102A	-17.282116	18.439737
211	MCF102A	-17.071331	18.273584
212	MCF102A	-20.883759	19.765139
213	MCF102A	-20.817461	19.673286
214	MCF102A	-20.394218	19.497595
215	MCF102A	-20.659618	19.55198
216	MCF102A	-20.399899	19.508904
217	MCF102A	-20.705355	19.380156
218	MCF102A	-20.325224	18.86116
219	MCF102A	-20.583017	19.302408
220	MCF102A	-20.76202	19.251862
221	MCF102A	-20.870317	19.288708
222	MCF102A	-20.651247	19.135149
223	MCF102A	-20.34599	18.534595
224	MCF102A	-20.411585	18.654406
225	MCF102A	-19.195955	17.145712
226	MCF102A	-19.01238	16.91834
227	MCF102A	-19.166882	17.188917
228	MCF102A	-19.136114	17.104403
229	MCF102A	-19.063192	17.037945
230	MCF102A	-19.230186	17.26098
231	MCF102A	-20.837233	19.386099
232	MCF102A	-21.35199	19.848385
233	MCF102A	-21.325783	20.08247
234	MCF102A	-21.187756	20.170582
235	MCF102A	-21.14335	20.232286
236	MCF102A	-21.148739	20.255447
237	MCF102A	-20.88419	20.029167
238	MCF102A	-21.149387	20.270418
239	MCF102A	-20.997448	20.118494
240	MCF102A	-21.194628	20.230621
241	MCF102A	-21.047623	19.859451
242	MCF102A	-20.972237	19.774021
243	MCF102A	-20.996323	19.773026
244	MCF102A	-21.038843	19.836327
245	MCF102A	-21.143137	19.93976
246	MCF102A	-20.908356	19.821316
247	MCF102A	-20.576546	19.485867
248	MCF102A	-21.0141	19.958012
249	MCF102A	-21.334736	20.300344
250	MCF102A	-21.340584	20.337294
251	MCF102A	-21.337585	20.271408
252	MCF102A	-21.440224	20.408989
253	MCF102A	-21.405249	20.329556
254	MCF102A	-21.40701	20.393541
255	MCF102A	-21.759735	20.796036
256	MCF102A	-21.70752	20.741938
257	MCF102A	-21.760036	20.89977
258	MCF102A	-21.669958	20.802765
259	MCF102A	-21.57385	20.796503
260	MCF102A	-21.543327	20.735313
261	MCF102A	-21.462029	20.768253
262	MCF102A	-21.404627	20.702484
263	MCF102A	-21.199934	20.705816
264	MCF102A	-21.305143	20.975315
265	MCF102A	-21.067297	20.373524
266	MCF102A	-21.1413	20.406197
267	MCF102A	-20.961666	20.18643
268	MCF102A	-20.791767	20.080303
269	MCF102A	-20.786406	20.200665
270	MCF102A	-20.93494	20.292147
271	MCF102A	-20.850561	20.320602
272	MCF102A	-20.886902	20.337599
273	MCF102A	-21.232403	20.616753
274	MCF102A	-20.11467	19.51678
275	MCF102A	-20.060432	19.27386
276	MCF102A	-19.506508	18.949732
277	MCF102A	-19.47552	19.051126
278	MCF102A	-19.479837	19.19903
279	MCF102A	-19.377644	19.104174
280	MCF102A	-19.294382	19.177864
281	MCF102A	-19.59473	19.290096
282	MCF102A	-19.494776	19.328787
283	MCF102A	-19.553509	19.352015
284	MCF102A	-19.70953	19.36534
285	MCF102A	-19.3779	19.17681
