	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	40.08054	-6.078287
1	MCF102A	40.08239	-6.0737157
2	MCF102A	40.08056	-6.0742903
3	MCF102A	40.078537	-6.0703135
4	MCF102A	40.078255	-6.066834
5	MCF102A	40.072853	-6.0655923
6	MCF102A	40.074814	-6.070201
7	MCF102A	40.05479	-6.0462065
8	MCF102A	40.039795	-6.042307
9	MCF102A	40.04074	-6.0458164
10	MCF102A	38.4211	-4.67611
11	MCF102A	30.794725	5.4458895
12	MCF102A	30.844099	5.560497
13	MCF102A	30.93384	5.935447
14	MCF102A	33.139767	11.279313
15	MCF102A	33.33427	11.163142
16	MCF102A	33.290474	11.20699
17	MCF102A	33.410915	11.132626
18	MCF102A	33.4172	11.122517
19	MCF102A	33.41122	11.150727
20	MCF102A	33.276855	11.375161
21	MCF102A	33.291073	11.372699
22	MCF102A	33.16303	11.492577
23	MCF102A	33.206455	11.429916
24	MCF102A	33.181114	11.4840145
25	MCF102A	33.020687	11.443924
26	MCF102A	33.135616	11.450424
27	MCF102A	33.200485	11.466791
28	MCF102A	33.177746	11.506097
29	MCF102A	33.09069	11.467928
30	MCF102A	33.016113	11.587919
31	MCF102A	33.07662	11.5889225
32	MCF102A	32.913837	11.577183
33	MCF102A	32.85667	11.722236
34	MCF102A	32.77282	11.7772255
35	MCF102A	32.70065	11.94483
36	MCF102A	32.71098	11.997816
37	MCF102A	32.53226	12.046929
38	MCF102A	23.303978	5.9622736
39	MCF102A	23.10747	6.208298
40	MCF102A	23.368113	5.989319
41	MCF102A	23.551857	5.898383
42	MCF102A	23.44778	5.8691416
43	MCF102A	23.41392	5.8735867
44	MCF102A	23.575922	5.875053
45	MCF102A	23.61228	5.875277
46	MCF102A	23.633537	5.9041867
47	MCF102A	23.74238	5.9941
48	MCF102A	23.636982	6.2033978
49	MCF102A	23.766829	5.93922
50	MCF102A	22.686821	14.216345
51	MCF102A	22.89138	14.177316
52	MCF102A	23.235619	13.9514265
53	MCF102A	41.8251	-11.178875
54	MCF102A	41.688587	-10.97326
55	MCF102A	37.45656	-0.19376299
56	MCF102A	26.811792	9.478748
57	MCF102A	26.842701	9.52993
58	MCF102A	26.885103	9.567295
59	MCF102A	26.909243	9.561933
60	MCF102A	26.890842	9.597755
61	MCF102A	37.208736	-0.22088112
62	MCF102A	41.42051	-11.19715
63	MCF102A	40.810966	-11.225667
64	MCF102A	40.75689	-11.640993
65	MCF102A	39.873295	-11.594752
66	MCF102A	40.36286	-11.47473
67	MCF102A	40.782887	-11.601802
68	MCF102A	41.249153	-11.666319
69	MCF102A	41.04047	-11.651473
70	MCF102A	41.19827	-11.769974
71	MCF102A	41.147964	-11.694258
72	MCF102A	41.372654	-11.660437
73	MCF102A	41.519592	-11.505505
74	MCF102A	31.205742	-2.828908
75	MCF102A	41.706135	-11.796334
76	MCF102A	41.72487	-11.828934
77	MCF102A	41.717487	-11.815221
78	MCF102A	41.650486	-11.881027
79	MCF102A	41.4944	-11.756429
80	MCF102A	41.74352	-11.722958
81	MCF102A	41.78982	-11.746054
82	MCF102A	41.91709	-11.704456
83	MCF102A	41.89602	-11.710193
84	MCF102A	42.11846	-11.610433
85	MCF102A	42.1459	-11.611228
86	MCF102A	42.28399	-11.558557
87	MCF102A	42.169453	-11.634691
88	MCF102A	23.514263	13.740813
89	MCF102A	42.20614	-11.616551
90	MCF102A	41.94983	-11.651671
91	MCF102A	41.808765	-11.808755
92	MCF102A	41.95604	-11.711125
93	MCF102A	41.760418	-11.909869
94	MCF102A	41.774475	-11.974477
95	MCF102A	41.696274	-12.214434
96	MCF102A	41.73805	-12.004321
97	MCF102A	41.29664	-11.939108
98	MCF102A	36.404816	-13.455238
99	MCF102A	36.424767	-13.531313
100	MCF102A	41.71027	-12.632377
101	MCF102A	41.65049	-12.726001
102	MCF102A	41.628963	-12.698074
103	MCF102A	41.578445	-12.699774
104	MCF102A	41.440136	-12.881276
105	MCF102A	41.327515	-12.926938
106	MCF102A	41.35667	-12.958738
107	MCF102A	41.355682	-12.912886
108	MCF102A	41.394558	-12.925359
109	MCF102A	41.3902	-12.83502
110	MCF102A	41.41139	-12.8350115
111	MCF102A	41.53051	-12.720762
112	MCF102A	41.613625	-12.587745
113	MCF102A	41.452797	-12.644209
114	MCF102A	41.594757	-12.324765
115	MCF102A	41.70603	-12.405336
116	MCF102A	41.49643	-12.221084
117	MCF102A	41.514366	-12.189052
118	MCF102A	41.477757	-12.249322
119	MCF102A	41.635303	-12.156075
120	MCF102A	41.68459	-12.185392
121	MCF102A	41.622295	-12.075728
122	MCF102A	41.685608	-11.997597
123	MCF102A	41.667175	-11.990246
124	MCF102A	41.679543	-12.001928
125	MCF102A	41.680943	-12.005297
126	MCF102A	41.68719	-11.996567
127	MCF102A	41.67354	-12.050879
128	MCF102A	41.64488	-12.118773
129	MCF102A	41.527122	-12.177473
130	MCF102A	41.35424	-12.118396
131	MCF102A	41.46208	-12.077976
132	MCF102A	41.427338	-12.073344
133	MCF102A	41.36352	-11.986746
134	MCF102A	41.339367	-12.003452
135	MCF102A	41.264484	-11.950993
136	MCF102A	41.19342	-11.805233
137	MCF102A	41.233593	-11.919458
138	MCF102A	41.184654	-12.025899
139	MCF102A	41.214832	-12.048598
140	MCF102A	41.097412	-12.078156
141	MCF102A	41.005116	-11.970469
142	MCF102A	41.149467	-11.95909
143	MCF102A	41.228447	-11.89124
144	MCF102A	41.415173	-11.909971
145	MCF102A	41.284977	-11.902534
146	MCF102A	41.116543	-11.996961
147	MCF102A	41.0912	-11.971885
148	MCF102A	41.214527	-12.003145
149	MCF102A	41.04939	-11.996256
150	MCF102A	41.06437	-12.012525
151	MCF102A	41.128906	-11.983858
152	MCF102A	40.934513	-12.101983
153	MCF102A	40.804268	-12.167396
154	MCF102A	40.85734	-11.977972
155	MCF102A	40.63546	-11.66964
156	MCF102A	40.622505	-11.5733385
157	MCF102A	40.63258	-11.509905
158	MCF102A	40.79075	-11.724055
159	MCF102A	40.671066	-11.731103
160	MCF102A	40.28948	-11.854425
161	MCF102A	40.116375	-11.715568
162	MCF102A	40.30682	-11.380255
163	MCF102A	40.489986	-11.5087185
164	MCF102A	40.14377	-10.638964
165	MCF102A	39.590336	-10.584148
166	MCF102A	39.46724	-10.657962
167	MCF102A	38.919415	-11.226882
168	MCF102A	38.177	-11.436817
169	MCF102A	38.098053	-11.900725
170	MCF102A	39.10173	-11.454457
171	MCF102A	38.693264	-11.728632
172	MCF102A	39.22583	-11.464764
173	MCF102A	39.497528	-11.27156
174	MCF102A	40.083084	-10.833907
175	MCF102A	31.070732	9.857413
176	MCF102A	30.950922	9.811219
177	MCF102A	32.10997	11.740436
178	MCF102A	32.23863	11.601502
179	MCF102A	32.250885	11.593996
180	MCF102A	32.207867	11.66916
181	MCF102A	32.150646	11.711984
182	MCF102A	32.016083	11.7068615
183	MCF102A	32.03627	11.587343
184	MCF102A	32.10063	11.492119
185	MCF102A	19.62906	12.51774
186	MCF102A	31.974834	11.634841
187	MCF102A	31.967722	11.464853
188	MCF102A	31.947618	11.018252
189	MCF102A	31.723732	10.459919
190	MCF102A	32.19176	10.547932
191	MCF102A	32.1359	10.244515
192	MCF102A	32.01098	10.687924
193	MCF102A	32.1233	10.6518755
194	MCF102A	32.208218	10.962976
195	MCF102A	32.46301	10.494657
196	MCF102A	32.700703	10.125634
197	MCF102A	32.68481	10.3142185
198	MCF102A	32.640987	10.153865
199	MCF102A	32.62912	10.286113
200	MCF102A	32.744564	10.029215
201	MCF102A	32.63497	10.182687
202	MCF102A	32.628223	10.131708
203	MCF102A	32.634052	9.9994335
204	MCF102A	32.825314	9.829327
205	MCF102A	32.950245	9.6062155
206	MCF102A	32.94215	9.419217
207	MCF102A	33.025303	9.21077
208	MCF102A	33.1036	8.971416
209	MCF102A	33.057674	9.068593
210	MCF102A	32.929283	8.500546
211	MCF102A	33.08096	8.582593
212	MCF102A	32.90881	8.598573
213	MCF102A	32.95554	8.806354
214	MCF102A	32.00749	7.7077336
215	MCF102A	32.853382	8.127341
216	MCF102A	33.317047	7.7791953
217	MCF102A	32.981457	7.42319
218	MCF102A	33.251637	7.385781
219	MCF102A	32.961494	7.7084055
220	MCF102A	32.598843	7.4302897
221	MCF102A	32.305927	7.2462034
222	MCF102A	32.73943	7.370594
223	MCF102A	32.84332	6.893588
224	MCF102A	32.830914	6.792251
225	MCF102A	33.32029	6.938032
226	MCF102A	32.96003	7.448799
227	MCF102A	33.261993	7.721453
228	MCF102A	33.690662	6.9950857
229	MCF102A	33.547447	6.724792
230	MCF102A	33.24667	6.849933
231	MCF102A	33.64747	6.6372604
232	MCF102A	32.90396	7.9178104
233	MCF102A	33.021427	8.271506
234	MCF102A	33.393166	8.2101345
235	MCF102A	33.48269	7.886841
236	MCF102A	33.089584	8.403529
237	MCF102A	33.707523	7.281221
238	MCF102A	33.3946	7.6811323
239	MCF102A	33.318214	6.9521422
240	MCF102A	33.430996	6.925796
241	MCF102A	33.55798	6.866736
242	MCF102A	33.489414	6.7007494
243	MCF102A	33.568638	6.829111
244	MCF102A	33.539703	6.7398286
245	MCF102A	33.727806	7.3234305
246	MCF102A	33.68547	7.685178
247	MCF102A	33.528168	7.516786
248	MCF102A	33.766098	7.1755157
249	MCF102A	33.601414	7.6665444
250	MCF102A	32.97364	8.048649
251	MCF102A	32.91866	8.335807
252	MCF102A	33.020752	8.247326
253	MCF102A	32.69895	8.426481
254	MCF102A	32.77331	8.473577
255	MCF102A	32.888226	8.663927
256	MCF102A	33.110348	8.115015
257	MCF102A	32.75542	8.669575
258	MCF102A	32.750908	8.566076
259	MCF102A	32.764538	8.541047
260	MCF102A	32.559948	8.75374
261	MCF102A	32.447308	8.907172
262	MCF102A	32.93076	8.186925
263	MCF102A	33.556126	7.38845
264	MCF102A	33.357216	7.6010942
265	MCF102A	33.505802	7.662504
266	MCF102A	33.59301	7.79734
267	MCF102A	33.69916	7.5666947
268	MCF102A	33.97472	7.449697
269	MCF102A	34.175117	7.2409697
270	MCF102A	34.11972	7.0861707
271	MCF102A	34.179947	7.105036
272	MCF102A	34.036385	7.175706
273	MCF102A	34.030407	7.1272893
274	MCF102A	34.094913	6.971977
275	MCF102A	34.122208	6.830888
276	MCF102A	34.11636	6.8848567
277	MCF102A	34.21877	6.7833047
278	MCF102A	34.178894	6.9363446
279	MCF102A	34.18327	7.014149
280	MCF102A	34.140717	7.1125894
281	MCF102A	34.05236	7.145643
282	MCF102A	33.97073	7.0892487
283	MCF102A	33.9202	7.091978
284	MCF102A	33.91595	7.082672
285	MCF102A	34.0017	6.365535
286	MCF102A	33.608	-0.7097731
287	MCF102A	33.53709	-0.43904838
288	MCF102A	33.681534	0.01302435
289	MCF102A	33.553696	7.2067494
290	MCF102A	33.423256	7.123494
291	MCF102A	33.43074	7.2270727
292	MCF102A	33.246136	7.4225435
293	MCF102A	32.98904	8.404787
294	MCF102A	33.954014	6.8709116
295	MCF102A	33.910408	6.805019
296	MCF102A	33.937344	7.2634344
297	MCF102A	33.957798	7.2646856
298	MCF102A	34.090473	7.0343504
299	MCF102A	34.057728	7.104702
300	MCF102A	34.02589	6.9852667
301	MCF102A	34.008854	6.952211
302	MCF102A	33.123337	7.998063
303	MCF102A	33.187325	7.997795
304	MCF102A	33.298958	7.7117634
305	MCF102A	33.37541	7.970746
306	MCF102A	33.232677	8.085909
307	MCF102A	33.192593	8.120829
308	MCF102A	33.056576	8.045076
309	MCF102A	33.035	8.233099
310	MCF102A	33.16619	8.07624
311	MCF102A	33.175182	8.132383
312	MCF102A	32.99609	8.115655
313	MCF102A	33.27104	8.178509
314	MCF102A	33.43488	8.142506
315	MCF102A	33.345108	8.013297
316	MCF102A	33.26846	7.2409143
317	MCF102A	32.749687	7.197794
