	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	-10.163519	6.7695456
1	MCF102A	-10.164467	6.76835
2	MCF102A	-10.163246	6.769268
3	MCF102A	-10.163011	6.769562
4	MCF102A	-10.162637	6.77055
5	MCF102A	-10.162607	6.7705064
6	MCF102A	-10.162753	6.7702985
7	MCF102A	-10.162797	6.769504
8	MCF102A	-10.162919	6.769448
9	MCF102A	-10.131485	6.794468
10	MCF102A	-10.131036	6.7925797
11	MCF102A	-10.124714	6.79652
12	MCF102A	-10.113729	6.808401
13	MCF102A	-10.105121	6.8056536
14	MCF102A	-9.960962	6.937656
15	MCF102A	-9.918916	6.9568877
16	MCF102A	-7.6711326	7.5272574
17	MCF102A	10.2839985	9.707629
18	MCF102A	10.549358	9.888597
19	MCF102A	10.641852	9.9072695
20	MCF102A	10.668173	9.936976
21	MCF102A	10.484166	9.996991
22	MCF102A	10.464195	10.009861
23	MCF102A	10.410792	10.045247
24	MCF102A	10.434917	10.043621
25	MCF102A	10.421956	10.051759
26	MCF102A	10.292462	10.100019
27	MCF102A	10.342817	10.056338
28	MCF102A	10.367196	10.052933
29	MCF102A	10.361377	10.04984
30	MCF102A	10.36582	10.054922
31	MCF102A	10.367064	10.053695
32	MCF102A	10.377689	10.050779
33	MCF102A	10.291477	10.070822
34	MCF102A	10.587061	9.928606
35	MCF102A	10.542405	9.950103
36	MCF102A	10.429621	9.975971
37	MCF102A	10.266312	10.03625
38	MCF102A	10.2186165	10.0494375
39	MCF102A	1.6309859	3.4707649
40	MCF102A	1.6516166	3.44604
41	MCF102A	1.6895354	3.474077
42	MCF102A	1.715057	3.5417955
43	MCF102A	1.7230036	3.6190908
44	MCF102A	1.6543747	3.6905956
45	MCF102A	1.4700893	3.8194225
46	MCF102A	1.3703448	3.885998
47	MCF102A	1.3093026	3.8702567
48	MCF102A	1.1507199	4.1660976
49	MCF102A	1.169756	4.226933
50	MCF102A	0.50451434	4.1087747
51	MCF102A	0.5791797	4.215812
52	MCF102A	0.6851232	4.145959
53	MCF102A	0.7997524	4.3050137
54	MCF102A	0.6574514	4.2991557
55	MCF102A	0.8735184	4.5730114
56	MCF102A	0.8565561	4.534112
57	MCF102A	0.921294	4.41357
58	MCF102A	1.5249492	4.738716
59	MCF102A	1.5413462	4.730496
60	MCF102A	1.3003898	4.538975
61	MCF102A	1.1607137	4.526384
62	MCF102A	1.2650473	4.5919995
63	MCF102A	1.2016692	4.6185336
64	MCF102A	1.4746572	4.8631196
65	MCF102A	1.7242167	4.9107757
66	MCF102A	2.4171245	5.224058
67	MCF102A	2.4192789	5.1492133
68	MCF102A	2.4197702	5.140602
69	MCF102A	2.2739003	5.0753284
70	MCF102A	2.5682094	5.095998
71	MCF102A	2.49189	5.082252
72	MCF102A	2.3533287	4.9931726
73	MCF102A	2.2498577	5.0385423
74	MCF102A	3.0626714	5.341583
75	MCF102A	2.353155	5.374838
76	MCF102A	2.4318993	5.4629273
77	MCF102A	2.6074877	5.773757
78	MCF102A	2.2619553	5.3856254
79	MCF102A	2.2726629	5.334324
80	MCF102A	2.381004	5.4670696
81	MCF102A	2.0271828	4.9885383
82	MCF102A	2.0422366	4.9796357
