	cellLine	tsne-2d-one	tsne-2d-two
0	MCF102A	21.718903	-12.5404825
1	MCF102A	21.720993	-12.547372
2	MCF102A	33.77354	25.889065
3	MCF102A	41.85257	29.69845
4	MCF102A	40.86479	-10.817846
5	MCF102A	42.089756	7.901367
6	MCF102A	38.92329	14.607538
7	MCF102A	38.818523	14.744253
8	MCF102A	38.891605	15.035086
9	MCF102A	21.588223	-8.793015
10	MCF102A	21.609104	-8.512544
11	MCF102A	21.462336	-5.2548785
12	MCF102A	28.897167	16.568975
13	MCF102A	42.547623	30.072456
14	MCF102A	49.673412	32.490646
15	MCF102A	60.108818	-6.6624947
16	MCF102A	60.06496	-6.4874907
17	MCF102A	52.953033	27.28805
18	MCF102A	53.066208	27.387041
19	MCF102A	59.90606	15.283036
20	MCF102A	72.35276	2.3051903
21	MCF102A	72.67439	2.8803375
22	MCF102A	72.49202	1.6989089
23	MCF102A	71.83231	2.1765451
24	MCF102A	55.055748	15.385716
25	MCF102A	63.800205	-5.8245754
26	MCF102A	38.476643	15.00018
27	MCF102A	54.673565	10.615353
28	MCF102A	43.431816	8.744694
29	MCF102A	41.571793	23.397419
30	MCF102A	43.714603	24.270445
31	MCF102A	44.93954	24.29728
32	MCF102A	44.603935	24.298828
33	MCF102A	44.494778	-8.203295
34	MCF102A	43.27268	8.7419815
35	MCF102A	43.907566	7.4761
36	MCF102A	34.361397	23.25266
37	MCF102A	34.3686	23.358435
38	MCF102A	31.828194	19.940624
39	MCF102A	28.573753	19.068274
40	MCF102A	33.284092	17.297558
41	MCF102A	29.188158	14.398147
42	MCF102A	29.186337	14.288225
43	MCF102A	34.919437	12.265569
44	MCF102A	29.900656	16.40928
45	MCF102A	31.110538	14.987562
46	MCF102A	30.07007	1.814777
47	MCF102A	25.333544	-11.326861
48	MCF102A	25.057655	-11.255499
49	MCF102A	23.51281	-10.945473
50	MCF102A	34.17962	25.865982
51	MCF102A	32.00263	22.113005
52	MCF102A	57.240025	22.569313
53	MCF102A	44.315784	23.131573
54	MCF102A	24.8151	-1.9298627
55	MCF102A	24.582205	-2.4172382
56	MCF102A	35.382374	-15.110984
57	MCF102A	33.283	-14.960361
58	MCF102A	26.8053	-23.301905
59	MCF102A	23.763079	-9.807197
