Line;Feature;time (h);1;2;3
MCF7;CELLS;0;193500;205300;180000
MCF7;CELLS;24;381500;374000;360500
MCF7;CELLS;48;680000;675000;660000
MCF7;CELLS;72;1549999;1402000;1476000
MCF7;CELLS;144;2904000;2760000;2616000
MCF7;PROTEIN (ug);0;51.42857143;45.49923195;48.35637481
MCF7;PROTEIN (ug);24;110.9677419;99.84639017;107.6804916
MCF7;PROTEIN (ug);48;153.9631336;154.9769585;135.8525346
MCF7;PROTEIN (ug);72;204.4854071;227.0967742;229.9231951
MCF7;PROTEIN (ug);144;260.030722;330.0768049;278.4639017
MDA-MB-361;CELLS;0;296200;299200;278500
MDA-MB-361;CELLS;24;322500;349000;319500
MDA-MB-361;CELLS;48;410500;369333;344166
MDA-MB-361;CELLS;72;428000;393000;394800
MDA-MB-361;CELLS;144;469700;436100;418600
MDA-MB-361;PROTEIN (ug);0;57.5422427;57.05069124;62.64208909
MDA-MB-361;PROTEIN (ug);24;59.07834101;68.6328725;68.11059908
MDA-MB-361;PROTEIN (ug);48;79.47772657;73.07219662;65.91397849
MDA-MB-361;PROTEIN (ug);72;83.74807988;78.92473118;76.08294931
MDA-MB-361;PROTEIN (ug);144;97.38863287;90.56835637;93.39477727
MDA-MB-231;CELLS;0;265700;272000;256625
MDA-MB-231;CELLS;24;886250;885000;875000
MDA-MB-231;CELLS;48;1520000;1532000;1480000
MDA-MB-231;CELLS;72;2695000;2823000;2700000
MDA-MB-231;CELLS;144;2754500;3113600;3339000
MDA-MB-231;PROTEIN (ug);0;77.97235023;89.83102919;77.78801843
MDA-MB-231;PROTEIN (ug);24;145.3763441;157.6036866;157.235023
MDA-MB-231;PROTEIN (ug);48;181.843318;220.8602151;196.4362519
MDA-MB-231;PROTEIN (ug);72;398.202765;348.1105991;349.8156682
MDA-MB-231;PROTEIN (ug);144;423.3486943;444.8540707;462.4270353
SKBR3;CELLS;0;200000;176833;167000
SKBR3;CELLS;24;440000;381000;375500
SKBR3;CELLS;48;1150000;1165000;1065000
SKBR3;CELLS;72;2659990;2766000;2862000
SKBR3;CELLS;144;480200;324100;246400
SKBR3;PROTEIN (ug);0;50.62980031;62.24270353;55.17665131
SKBR3;PROTEIN (ug);24;87.49615975;98.77112135;100.890937
SKBR3;PROTEIN (ug);48;154.4700461;164.6697389;148.5099846
SKBR3;PROTEIN (ug);72;384.6697389;343.3179724;379.0168971
SKBR3;PROTEIN (ug);144;125.5913978;64.70046083;74.77726575
MCF102A;CELLS;0;346800;266800;341200
MCF102A;CELLS;24;575000;515000;560000
MCF102A;CELLS;48;1275000;1280000;1190000
MCF102A;CELLS;72;1644000;1318000;1360000
MCF102A;CELLS;144;1743000;1603000;1281000
MCF102A;PROTEIN (ug);0;90.75268817;85.99078341;70.87557604
MCF102A;PROTEIN (ug);24;155.8525346;167.8033794;156.8663594
MCF102A;PROTEIN (ug);48;225.8678955;213.5791091;218.9247312
MCF102A;PROTEIN (ug);72;321.1059908;338.3717358;332.0122888
MCF102A;PROTEIN (ug);144;301.9354839;327.8341014;319.8924731
