HGNC	Cellule361_Rep1	Cellule361_Rep2	Cellule361_Rep3	MDA-MB-231_Rep1	MDA-MB-231_Rep2	MDA-MB-231_Rep3	MCF-7_Rep1	MCF-7_Rep2	MCF-7_Rep3	SK-BR-3_Rep1	SK-BR-3_Rep2	SK-BR-3_Rep3	MCF102A_Rep1	MCF102A_Rep2	MCF102A_Rep3
HGNC:10006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HGNC:10013	0.0	0.0	0.0	0.0	0.0	0.0	0.010628958	0.0	0.0	0.0	0.016909898	0.0	0.0	0.006302206	0.0
HGNC:10018	104.0554215	109.2680254	107.6630384	118.8613189	117.8327519	99.61316137	183.1146972	177.5049958	178.7151875	81.91004635	99.27159752	97.49518681	32.8883092	32.92985303	32.41561163
HGNC:10019	10.785954	10.09217447	10.37586567	11.39833532	11.95676337	13.27380903	8.18384035	5.556856552	7.400462893	2.43696667	3.108300568	2.72854406	2.157450749	2.719444862	2.361006194
HGNC:10020	5.088424516	4.273490126	5.677305522	8.795694232	9.468780983	9.602967764	13.29635181	13.54333493	13.26088473	17.37475402	14.35311315	11.71936671	16.41543766	15.20681522	16.30608763
HGNC:10021	0.0	0.09308916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.381861002	6.424731784	6.637836551	0.444049151	1.326159604	0.0
HGNC:10057	2.966966236	2.875973009	3.126048878	2.011893659	2.137893796	2.170274989	3.574496441	4.008229582	2.927770002	1.645304855	1.397729798	2.17104945	3.657554452	2.411136754	4.639932651
HGNC:10058	8.934609099	8.381271648	12.0426321	29.59305618	33.04872035	31.77938452	18.13075338	15.70126108	13.4850761	16.86172272	15.13491488	26.37721825	16.86425435	9.087250348	15.4077347
HGNC:10061	1.232301811	0.981790208	1.520873359	5.981563625	6.209364553	6.490446987	5.818672244	5.640760727	4.525342308	1.65064948	2.182225459	2.446937651	2.379109001	1.406440774	2.017367051
HGNC:10062	8.358365971	7.304645866	9.964427588	28.74511585	27.99428225	31.14339806	23.0702391	16.42941178	18.70642587	8.196003553	8.120267668	9.407952886	18.34928404	8.460764732	10.42105734
HGNC:10068	165.3840046	164.1545315	165.5467867	261.6020226	258.4192275	235.2419575	208.3041669	224.5425595	226.117756	133.2851016	87.06807856	123.7317217	56.69543122	44.66390504	43.83050662
HGNC:10071	5.395863345	5.578853215	5.810592543	11.0153593	11.74981481	12.72632917	7.36087974	5.363333575	5.434616327	3.060450428	2.927655902	2.658912132	3.682709492	1.964012218	2.502110374
HGNC:10073	0.513983562	0.40494904	0.507647713	1.471074282	1.557718261	1.73065687	1.21620034	0.815655033	0.776829966	0.291997902	0.33092294	0.414665246	0.852563062	0.353637871	0.492008198
HGNC:10075	6.664816251	5.051939563	7.602986703	21.56023611	20.32997856	21.97424949	14.61844686	10.16849851	10.17911001	2.989471387	3.065226915	3.293171898	3.829351274	1.525794464	2.323901307
HGNC:1014	7.303768302	7.399745055	7.865448643	6.700627298	5.925266427	5.299980582	5.612933531	3.570020659	4.673872356	2.904693881	3.013976609	3.733045304	7.648736509	4.447067061	4.317033371
HGNC:10251	2.356805697	1.715023837	2.558738887	7.064265636	6.920656297	7.835720314	6.917766681	4.544802088	4.50515769	1.740835537	1.681119244	2.473604805	4.078540273	1.364549084	2.045914633
HGNC:10252	2.148645592	1.593690068	2.480134512	11.26971886	11.00340359	11.81879574	3.713851537	1.928076409	2.380586233	2.095248976	1.560014742	2.074003981	2.570095476	1.411737427	1.56209229
HGNC:10256	0.000930762	0.004597608	0.001084579	1.260493021	1.246188037	1.239139865	0.013808187	0.013466479	0.007404734	0.003377096	0.008787128	0.00187336	0.221944479	0.094972219	0.124613388
HGNC:10257	0.189106847	0.211990967	0.17012138	0.000817586	0.002065957	0.0	0.045546456	0.046891109	0.025612419	0.0	0.001027817	0.000986058	0.010158459	0.004596727	0.00928726
HGNC:10258	0.048621237	0.042472221	0.050692534	0.005551739	0.007553908	0.002678348	0.029864909	0.021645025	0.017450042	0.003713959	0.003221213	0.008755965	0.009647563	0.006002624	0.007883034
HGNC:10261	0.0	0.0	0.0	0.0	0.0	0.002885737	0.0	0.0	0.003133538	0.0	0.005784396	0.0	7.335982114	7.631552531	7.180216004
