Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	759828225851.0	1.0	759828225851.0	0.0	5.03380838361007	5.18866	1.1247713809467832	4.125009051619845	4.29911	0.70423992556512
EX_glc__D_e_r	757661704544.0	1.0	757661704544.0	0.0	2.971470476939908	3.06305	0.6640775406480512	2.4405624157700063	2.54206	0.41724887319808257
EX_gluIN__L_e	999932500000.0	1.0	999932500000.0	0.0	0.019447598659996436	0.01841	0.011870378025750413	0.0	0.0	0.0
EX_gluOUT__L_e	41675474417.0	0.0	41675474417.0	1.0	0.03946422028999984	0.0408	0.009700931274766277	0.06801450235999401	0.07088	0.011588665910472376
EX_gln__L_e_r	47964491233.5	0.0	47964491233.5	1.0	0.6446640660700148	0.6639	0.14688733811766702	1.0703581309499925	1.11556	0.18285318333334644
EX_asp__L_e	999990000000.0	1.0	999990000000.0	0.0	0.03572197847999739	0.03877	0.01164481325808481	0.0	0.0	0.0
DM_asp__L_e	849904964477.0	1.0	849904964477.0	0.0	2.3203520605298924	1.68721	2.1607007939949816	0.4417854256300069	0.3257	0.40468817342536956
EX_co2_e	851243577881.5	1.0	851243577881.5	0.0	143.57486231007638	141.581305	20.06695770375084	116.39956149317774	117.745755	16.633492872386242
EX_h_e_f	445708260253.0	0.0	445708260253.0	1.0	244.51612355055926	247.79038500000001	133.289851441769	269.6799551461022	282.64232000000004	126.82900571065524
EX_h2o_e_f	443161736024.5	0.0	443161736024.5	1.0	268.32071083841504	259.72154	146.91068967272815	297.23971352109436	303.551635	131.29960278230408
EX_ump_e_r	73128905469.0	0.0	73128905469.0	1.0	0.001370616340000861	0.00116	0.0010349669683051366	0.010803147459994118	0.01014	0.007016677669870984
EX_pi_e_r	1046604.0	0.0	1046604.0	1.0	0.034466579409994404	0.0349	0.0058949722555713705	0.20948252278000362	0.21658	0.03298141881064324
EX_nh4_e	999994392404.0	1.0	999994392404.0	0.0	99.47196960835963	95.642575	22.45207258894163	24.298148120989918	23.970795000000003	7.238899801838914
EX_o2_e_r	981189525439.0	1.0	981189525439.0	0.0	107.74274570437728	107.34026	12.030699749902185	77.66506824137039	78.741585	9.82104654378461
EX_arg__L_e_r	10150719.5	0.0	10150719.5	1.0	0.1016444664700029	0.10624	0.01772371550364376	0.28852697411000644	0.29608	0.047541035086210714
EX_pro__L_e	999846500000.0	1.0	999846500000.0	0.0	0.0062854332899975945	0.00596	0.0037982176305904427	0.0	0.0	0.0
EX_leu__L_e_r	135556.5	0.0	135556.5	1.0	0.023292355280009072	0.0237	0.003815981927285669	0.14300011968000198	0.14701	0.02290196964906755
EX_ile__L_e_r	246894.0	0.0	246894.0	1.0	0.010966688789998368	0.01113	0.0018326947456020189	0.06729741815999865	0.06974	0.010220082248984469
EX_met__L_e_r	56438.5	0.0	56438.5	1.0	0.008457049209997108	0.00853	0.0017330925144223074	0.05255023292999805	0.05226	0.011129311828060711
EX_gly_e_r	438676189050.0	0.0	438676189050.0	1.0	0.12140389962999865	0.11874	0.07029800403359646	0.1358394775000007	0.14601	0.06470995292525349
EX_phe__L_e_r	20546402.5	0.0	20546402.5	1.0	0.01648825499000071	0.01672	0.0027069276328892202	0.08018702636999886	0.07965	0.016730979581407405
EX_ser__L_e_r	523568538393.5	1.0	523568538393.5	0.0	0.12392322609000311	0.12235	0.0728758880598396	0.11812360167999439	0.11628	0.07017716601546325
EX_ala__L_e_f	878569898487.5	1.0	878569898487.5	0.0	2.5263720516499726	1.91473	2.2098220957738968	0.408813095330011	0.29364	0.3870235067862232
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	999957000000.0	1.0	999957000000.0	0.0	0.026257476139997887	0.02762	0.014157623562037463	0.0	0.0	0.0
EX_fol_e_r	549660667254.0	1.0	549660667254.0	0.0	0.00017664419000036684	0.00019	5.049095947378611e-05	0.0001714492800007591	0.00018	4.396126158417996e-05
