Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_MDAMB231	median_MDAMB231	std_MDAMB231
EX_lac__L_e	3317585978.5	0.0	3317585978.5	1.0	5.03380838361007	5.18866	1.1247713809467832	7.33200739569999	7.37402	0.3230024996783662
EX_glc__D_e_r	8687840319.0	0.0	8687840319.0	1.0	2.971470476939908	3.06305	0.6640775406480512	4.190947027360117	4.21496	0.18461946303558188
EX_gluIN__L_e	999932500000.0	1.0	999932500000.0	0.0	0.019447598659996436	0.01841	0.011870378025750413	0.0	0.0	0.0
EX_gluOUT__L_e	0.0	0.0	0.0	1.0	0.03946422028999984	0.0408	0.009700931274766277	0.1905021004599965	0.19207	0.007311130638203036
EX_gln__L_e_r	539813149.5	0.0	539813149.5	1.0	0.6446640660700148	0.6639	0.14688733811766702	1.006930444609986	1.01362	0.04145371004308222
EX_asp__L_e	999990000000.0	1.0	999990000000.0	0.0	0.03572197847999739	0.03877	0.01164481325808481	0.0	0.0	0.0
DM_asp__L_e	956828671429.5	1.0	956828671429.5	0.0	2.3203520605298924	1.68721	2.1607007939949816	0.11585564334999389	0.0808	0.11308038491098533
EX_co2_e	1000000000000.0	1.0	1000000000000.0	0.0	143.57486231007638	141.581305	20.06695770375084	28.566499353299	27.601765	12.424005802555314
EX_h_e_f	506253745196.5	1.0	506253745196.5	2.8773393935525143e-53	244.51612355055926	247.79038500000001	133.289851441769	241.0246249221411	233.32856	137.3115380708077
EX_h2o_e_f	510009910021.0	1.0	510009910021.0	4.613660975696257e-133	268.32071083841504	259.72154	146.91068967272815	263.11025385457674	257.07347500000003	158.98250180169427
EX_ump_e_r	455167736254.0	0.0	455167736254.0	1.0	0.001370616340000861	0.00116	0.0010349669683051366	0.0015180310800015466	0.00133	0.0010452303156053184
EX_pi_e_r	616756515626.0	1.0	616756515626.0	0.0	0.034466579409994404	0.0349	0.0058949722555713705	0.0317838588099961	0.03298	0.006004950233806747
EX_nh4_e	997754807163.0	1.0	997754807163.0	0.0	99.47196960835963	95.642575	22.45207258894163	33.439980530909985	32.019239999999996	16.31993903964321
EX_o2_e_r	1000000000000.0	1.0	1000000000000.0	0.0	107.74274570437728	107.34026	12.030699749902185	2.862463197150045	2.73964	0.708120267261801
EX_arg__L_e_r	18060198517.0	0.0	18060198517.0	1.0	0.1016444664700029	0.10624	0.01772371550364376	0.1931401416199922	0.20158	0.03237107991139326
EX_pro__L_e	999846500000.0	1.0	999846500000.0	0.0	0.0062854332899975945	0.00596	0.0037982176305904427	0.0	0.0	0.0
EX_leu__L_e_r	558314896231.0	1.0	558314896231.0	0.0	0.023292355280009072	0.0237	0.003815981927285669	0.022285285720008697	0.02307	0.004285261961658171
EX_ile__L_e_r	607130869106.5	1.0	607130869106.5	0.0	0.010966688789998368	0.01113	0.0018326947456020189	0.010188760649997946	0.01058	0.0019076425174584131
EX_met__L_e_r	928477466959.5	1.0	928477466959.5	0.0	0.008457049209997108	0.00853	0.0017330925144223074	0.005449785240001074	0.00566	0.0010203678620116416
EX_gly_e_r	474777893272.0	0.0	474777893272.0	1.0	0.12140389962999865	0.11874	0.07029800403359646	0.12888137567000546	0.12461	0.07753301889524684
EX_phe__L_e_r	837866881249.5	1.0	837866881249.5	0.0	0.01648825499000071	0.01672	0.0027069276328892202	0.01254474526999961	0.01269	0.002895314239552607
EX_ser__L_e_r	418440703655.5	0.0	418440703655.5	1.0	0.12392322609000311	0.12235	0.0728758880598396	0.15703987489999566	0.14282	0.10151008263455231
EX_ala__L_e_f	930945325474.5	1.0	930945325474.5	0.0	2.5263720516499726	1.91473	2.2098220957738968	0.22792298830000685	0.16546	0.21321794971130653
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	999957000000.0	1.0	999957000000.0	0.0	0.026257476139997887	0.02762	0.014157623562037463	0.0	0.0	0.0
EX_fol_e_r	129153468897.0	0.0	129153468897.0	1.0	0.00017664419000036684	0.00019	5.049095947378611e-05	0.0002843271200003373	0.0003	7.601229644191087e-05
EX_urea_e	24000000.0	0.0	24000000.0	1.0	0.0	0.0	0.0	0.0664102073499986	0.05818	0.04745907306896898
EX_pyr_e	999990000000.0	1.0	999990000000.0	0.0	0.22061434041999348	0.20426	0.14462339463382823	0.0	0.0	0.0
PYRt2	999990000000.0	1.0	999990000000.0	0.0	0.22061434041999348	0.20426	0.14462339463382823	0.0	0.0	0.0
EX_gudac_e	336608073233.5	0.0	336608073233.5	1.0	0.047205488669997936	0.0467	0.026007150103422572	0.07703960120999781	0.07062	0.05080317134032114
EX_hdca_e_f	964750513663.5	1.0	964750513663.5	0.0	2.1594030124900976	2.07593	1.034243532502731	0.459849882530004	0.43906	0.1317231385344055
EX_ptrcIN_e	996891000000.0	1.0	996891000000.0	0.0	0.00027567956000052005	0.00028	0.0001408092320321834	0.0	0.0	0.0
EX_ptrcOUT_e	188712813807.5	0.0	188712813807.5	1.0	0.03629347598999821	0.03304	0.024161675874418923	0.08856726165999806	0.08221	0.05096267093662739
EX_biomassx	607131268451.0	1.0	607131268451.0	0.0	0.038334609559993044	0.0389	0.006406276628537286	0.03561532513999557	0.037	0.006668253620394628
EX_h2o2_e	979284836828.5	1.0	979284836828.5	0.0	0.5322589724499831	0.43089	0.42567549870418614	0.014842449029995288	0.01153	0.012633956663627465
EX_gthox_e	985981729857.0	1.0	985981729857.0	0.0	0.48008631872999147	0.39318	0.36509494867290065	0.02247822108999963	0.0202	0.013524826833810155
EX_2obut_e	1916542978.5	0.0	1916542978.5	1.0	0.002497611060002415	0.0021	0.001910784275071528	0.46646142053999634	0.49515	0.2197165879309951
EX_crn_e	1000000000000.0	1.0	1000000000000.0	0.0	19.14771640542024	19.42561	2.475789828638415	0.0	0.0	0.0
EX_val__L_e_r	936256805.0	0.0	936256805.0	1.0	0.03555348764999575	0.03649	0.005905154835111537	0.33790679202999396	0.34695	0.11560716680901445
EX_spmd_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_sprm_e	970153086990.0	1.0	970153086990.0	0.0	0.002467469020003107	0.00263	0.0008608235773711582	0.0006341116700008327	0.00068	0.00022331385388921614
EX_5mthf_e	129153468897.0	0.0	129153468897.0	1.0	0.00017664419000036684	0.00019	5.049095947378611e-05	0.0002843271200003373	0.0003	7.601229644191087e-05
EX_tmlys_e_r	1000000000000.0	1.0	1000000000000.0	0.0	19.14771640542024	19.42561	2.475789828638415	0.0	0.0	0.0
EX_thbpt_e_r	945695479559.0	1.0	945695479559.0	0.0	0.006541715139999317	0.00663	0.0010607328528192427	0.003303784660003995	0.00334	0.0017143254733161604
EX_CE2705_e	945695479559.0	1.0	945695479559.0	0.0	0.006541715139999317	0.00663	0.0010607328528192427	0.003303784660003995	0.00334	0.0017143254733161604
EX_crtn_e	579123050636.0	1.0	579123050636.0	0.0	0.04066689101000008	0.03713	0.02620176162820298	0.03689516799999762	0.02632	0.03456126130291891
EX_his__L_e_r	330590761272.0	0.0	330590761272.0	1.0	0.06722492515999762	0.06412	0.04186454604377733	0.10083125482000106	0.10204	0.05745657280585249
EX_lys__L_e_r	37077520771.5	0.0	37077520771.5	1.0	0.03274340863999951	0.03262	0.007370343479223222	0.15979466964000014	0.16191	0.07482356093354223
EX_carn_e_r	999952547020.5	1.0	999952547020.5	0.0	24.63768657499003	24.364134999999997	3.002081828589362	6.4267112579297585	6.06601	3.9639032884309406
EX_csn_e_r	613361234141.5	1.0	613361234141.5	0.0	13.854191649239814	11.70978	10.454313794990316	9.025795825749931	8.679175	4.705447499137983
EX_cys__L_e	999922500000.0	1.0	999922500000.0	0.0	0.025537802089996144	0.02548	0.016583093418940723	0.0	0.0	0.0
EX_cyan_e_r	293876964428.5	0.0	293876964428.5	1.0	0.08926773256999639	0.08692	0.040827535190419	0.13458539783999954	0.12612	0.06609206901861253
EX_tcyntc	347493661483.5	0.0	347493661483.5	1.0	0.04047333844999714	0.03443	0.02997389135323379	0.06740039273000277	0.05765	0.05094277115967865
