Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MCF102A	median_MCF102A	std_MCF102A	mean_SKBR3	median_SKBR3	std_SKBR3
EX_lac__L_e	862802222957.5	1.0	862802222957.5	0.0	5.03380838361007	5.18866	1.1247713809467832	3.3977873526800133	3.43646	0.9308277177739893
EX_glc__D_e_r	839610500059.5	1.0	839610500059.5	0.0	2.971470476939908	3.06305	0.6640775406480512	2.087899746050084	2.11178	0.5714214748972337
EX_gluIN__L_e	999932500000.0	1.0	999932500000.0	0.0	0.019447598659996436	0.01841	0.011870378025750413	0.0	0.0	0.0
EX_gluOUT__L_e	13326236332.5	0.0	13326236332.5	1.0	0.03946422028999984	0.0408	0.009700931274766277	0.1327861720599964	0.13604	0.038343271605454476
EX_gln__L_e_r	965679845554.0	1.0	965679845554.0	0.0	0.6446640660700148	0.6639	0.14688733811766702	0.30934404882999256	0.31249	0.08481765041327935
EX_asp__L_e	999990000000.0	1.0	999990000000.0	0.0	0.03572197847999739	0.03877	0.01164481325808481	0.0	0.0	0.0
DM_asp__L_e	783391045068.0	1.0	783391045068.0	0.0	2.3203520605298924	1.68721	2.1607007939949816	0.6807396720999906	0.49881	0.6304218350190148
EX_co2_e	994632387170.0	1.0	994632387170.0	0.0	143.57486231007638	141.581305	20.06695770375084	82.03327922958512	79.713735	13.004051419244783
EX_h_e_f	451834128122.0	0.0	451834128122.0	1.0	244.51612355055926	247.79038500000001	133.289851441769	267.7310241240551	282.9047	122.62466428006064
EX_h2o_e_f	535738608882.0	1.0	535738608882.0	0.0	268.32071083841504	259.72154	146.91068967272815	250.12114490507795	242.69376	154.28113663703397
EX_ump_e_r	245092877313.0	0.0	245092877313.0	1.0	0.001370616340000861	0.00116	0.0010349669683051366	0.002958820970003302	0.00278	0.0018892256681938982
EX_pi_e_r	53924493846.0	0.0	53924493846.0	1.0	0.034466579409994404	0.0349	0.0058949722555713705	0.05621485360999968	0.05703	0.01144393496431332
EX_nh4_e	978659165209.0	1.0	978659165209.0	0.0	99.47196960835963	95.642575	22.45207258894163	41.662299769409955	37.20308	16.79435286179119
EX_o2_e_r	999856039721.5	1.0	999856039721.5	0.0	107.74274570437728	107.34026	12.030699749902185	63.279890278136776	63.585665	6.370126201928446
EX_arg__L_e_r	897748890879.5	1.0	897748890879.5	0.0	0.1016444664700029	0.10624	0.01772371550364376	0.07503247945000088	0.07698	0.006920769475908218
EX_pro__L_e	999846500000.0	1.0	999846500000.0	0.0	0.0062854332899975945	0.00596	0.0037982176305904427	0.0	0.0	0.0
EX_leu__L_e_r	46810651072.5	0.0	46810651072.5	1.0	0.023292355280009072	0.0237	0.003815981927285669	0.038565659119996966	0.0392	0.0076804050125103855
EX_ile__L_e_r	48934001755.5	0.0	48934001755.5	1.0	0.010966688789998368	0.01113	0.0018326947456020189	0.018089601020002562	0.01836	0.0036449618501921584
EX_met__L_e_r	172139224520.0	0.0	172139224520.0	1.0	0.008457049209997108	0.00853	0.0017330925144223074	0.011140329249997997	0.01127	0.002186361619236914
EX_gly_e_r	825209978537.0	1.0	825209978537.0	0.0	0.12140389962999865	0.11874	0.07029800403359646	0.04351758983999689	0.04122	0.026763047051215946
EX_phe__L_e_r	196784474185.5	0.0	196784474185.5	1.0	0.01648825499000071	0.01672	0.0027069276328892202	0.021642107000005763	0.02149	0.0052834904567743
EX_ser__L_e_r	824970467505.0	1.0	824970467505.0	0.0	0.12392322609000311	0.12235	0.0728758880598396	0.04233128334999822	0.03619	0.03096921729067146
EX_ala__L_e_f	795496449885.5	1.0	795496449885.5	0.0	2.5263720516499726	1.91473	2.2098220957738968	0.7315242472899971	0.53696	0.6775319294754878
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	999957000000.0	1.0	999957000000.0	0.0	0.026257476139997887	0.02762	0.014157623562037463	0.0	0.0	0.0
EX_fol_e_r	1976769040.5	0.0	1976769040.5	1.0	0.00017664419000036684	0.00019	5.049095947378611e-05	0.000983972390001566	0.00104	0.00022998443797471905
EX_urea_e	108000000.0	0.0	108000000.0	1.0	0.0	0.0	0.0	0.01793482646999756	0.01547	0.013065145485321264
EX_pyr_e	999990000000.0	1.0	999990000000.0	0.0	0.22061434041999348	0.20426	0.14462339463382823	0.0	0.0	0.0
PYRt2	999990000000.0	1.0	999990000000.0	0.0	0.22061434041999348	0.20426	0.14462339463382823	0.0	0.0	0.0
EX_gudac_e	832006988991.5	1.0	832006988991.5	0.0	0.047205488669997936	0.0467	0.026007150103422572	0.017659378709996298	0.01535	0.012750484012801332
EX_hdca_e_f	938415341442.5	1.0	938415341442.5	0.0	2.1594030124900976	2.07593	1.034243532502731	0.5149686934700123	0.39651499999999995	0.4428896616714404
EX_ptrcIN_e	996891000000.0	1.0	996891000000.0	0.0	0.00027567956000052005	0.00028	0.0001408092320321834	0.0	0.0	0.0
EX_ptrcOUT_e	838709642028.5	1.0	838709642028.5	0.0	0.03629347598999821	0.03304	0.024161675874418923	0.01050560507999548	0.00829	0.00875087802353366
EX_biomassx	48934000247.0	0.0	48934000247.0	1.0	0.038334609559993044	0.0389	0.006406276628537286	0.06323310698000006	0.06419	0.012741161549790632
EX_h2o2_e	548308549891.5	1.0	548308549891.5	0.0	0.5322589724499831	0.43089	0.42567549870418614	0.4473712865199892	0.36861	0.3504505269076851
EX_gthox_e	489836089733.0	4.0707562772206916e-137	489836089733.0	1.0	0.48008631872999147	0.39318	0.36509494867290065	0.49156653330998146	0.4087	0.366488634998382
EX_2obut_e	285532654138.0	0.0	285532654138.0	1.0	0.002497611060002415	0.0021	0.001910784275071528	0.005271315580000613	0.00442	0.004025115056194362
EX_crn_e	999993314057.0	1.0	999993314057.0	0.0	19.14771640542024	19.42561	2.475789828638415	2.2450199159800377	1.96926	1.5620938707500804
EX_val__L_e_r	53592978.0	0.0	53592978.0	1.0	0.03555348764999575	0.03649	0.005905154835111537	0.1479415838999936	0.15341	0.02365048532904825
EX_spmd_e	160500000.0	0.0	160500000.0	1.0	0.0	0.0	0.0	0.012666830739994849	0.0104	0.009939440887891995
EX_sprm_e	70889480202.0	0.0	70889480202.0	1.0	0.002467469020003107	0.00263	0.0008608235773711582	0.01679520382999773	0.01514	0.011083568184575407
EX_5mthf_e	1976769040.5	0.0	1976769040.5	1.0	0.00017664419000036684	0.00019	5.049095947378611e-05	0.000983972390001566	0.00104	0.00022998443797471905
EX_tmlys_e_r	999993314057.0	1.0	999993314057.0	0.0	19.14771640542024	19.42561	2.475789828638415	2.2450199159800377	1.96926	1.5620938707500804
EX_thbpt_e_r	657749022519.0	1.0	657749022519.0	0.0	0.006541715139999317	0.00663	0.0010607328528192427	0.005235263890001706	0.00486	0.003286687270835626
EX_CE2705_e	657749022519.0	1.0	657749022519.0	0.0	0.006541715139999317	0.00663	0.0010607328528192427	0.005235263890001706	0.00486	0.003286687270835626
EX_crtn_e	780471086953.0	1.0	780471086953.0	0.0	0.04066689101000008	0.03713	0.02620176162820298	0.016721147529995723	0.01423	0.01207700601520604
EX_his__L_e_r	340237195597.0	0.0	340237195597.0	1.0	0.06722492515999762	0.06412	0.04186454604377733	0.09966386168000263	0.09941	0.05852205556010385
EX_lys__L_e_r	168956313859.0	0.0	168956313859.0	1.0	0.03274340863999951	0.03262	0.007370343479223222	0.043688115279997705	0.04424	0.008467864825099926
EX_carn_e_r	999986794996.5	1.0	999986794996.5	0.0	24.63768657499003	24.364134999999997	3.002081828589362	8.361850730199675	8.3512	0.9254572766326112
EX_csn_e_r	633673430104.0	1.0	633673430104.0	0.0	13.854191649239814	11.70978	10.454313794990316	9.296511913760247	6.971865	8.291973893182172
EX_cys__L_e	999922500000.0	1.0	999922500000.0	0.0	0.025537802089996144	0.02548	0.016583093418940723	0.0	0.0	0.0
EX_cyan_e_r	304034528477.0	0.0	304034528477.0	1.0	0.08926773256999639	0.08692	0.040827535190419	0.13407810086999372	0.12793	0.06830651997986968
EX_tcyntc	367955351769.0	0.0	367955351769.0	1.0	0.04047333844999714	0.03443	0.02997389135323379	0.06921703897000232	0.05313	0.05899605839872757
EX_tcynt_e	433573787481.5	0.0	433573787481.5	1.0	0.048794389469997	0.04099	0.036882729568712976	0.06486105294000054	0.04979	0.05454206679341242
EX_so3_e	55618982839.5	0.0	55618982839.5	1.0	0.032026379069999604	0.03325	0.011971651065388994	0.13169354689000098	0.12602	0.06756156288111531
EX_thr__L_e_r	6438389994.5	0.0	6438389994.5	1.0	0.01428501800999962	0.01472	0.0016072202701035289	0.027674163740006235	0.02854	0.004080242993382486
