Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB231	median_MDAMB231	std_MDAMB231	mean_MDAMB361	median_MDAMB361	std_MDAMB361
EX_lac__L_e	1000000000000.0	1.0	1000000000000.0	0.0	7.33200739569999	7.37402	0.3230024996783662	0.071200648019993	0.07344	0.008783480628157281
EX_glc__D_e_r	1000000000000.0	1.0	1000000000000.0	0.0	4.190947027360117	4.21496	0.18461946303558188	0.10077604701000292	0.10296	0.014835836377737189
EX_gluIN__L_e	511000000.0	0.0	511000000.0	1.0	0.0	0.0	0.0	0.0034367779100034006	0.00293	0.0025274140709541527
EX_gluOUT__L_e	1000000000000.0	1.0	1000000000000.0	0.0	0.1905021004599965	0.19207	0.007311130638203036	0.00912290842999655	0.00923	0.0021712380077761966
EX_gln__L_e_r	1000000000000.0	1.0	1000000000000.0	0.0	1.006930444609986	1.01362	0.04145371004308222	0.19990254498999255	0.20585	0.0253831228429967
EX_asp__L_e	17500000.0	0.0	17500000.0	1.0	0.0	0.0	0.0	0.03032443377999897	0.03139	0.013233448291928494
DM_asp__L_e	71513332939.0	0.0	71513332939.0	1.0	0.11585564334999389	0.0808	0.11308038491098533	1.255883119700007	0.96001	1.056974961780414
EX_co2_e	6700605.5	0.0	6700605.5	1.0	28.566499353299	27.601765	12.424005802555314	142.4752331729453	138.48820999999998	45.324424330686206
EX_h_e_f	464312256754.0	0.0	464312256754.0	1.0	241.0246249221411	233.32856	137.3115380708077	257.800076688956	257.318415	111.11181294664848
EX_h2o_e_f	518104292418.5	1.0	518104292418.5	0.0	263.11025385457674	257.07347500000003	158.98250180169427	253.27234843219003	258.79229	151.90135218270336
EX_ump_e_r	472627570088.5	0.0	472627570088.5	1.0	0.0015180310800015466	0.00133	0.0010452303156053184	0.0014952454600016347	0.00154	0.0007300381181175067
EX_pi_e_r	836128068552.0	1.0	836128068552.0	0.0	0.0317838588099961	0.03298	0.006004950233806747	0.025276214040012235	0.02584	0.002493573752511561
EX_nh4_e	51107160870.0	0.0	51107160870.0	1.0	33.439980530909985	32.019239999999996	16.31993903964321	123.0440227604311	117.609265	59.69427581180974
EX_o2_e_r	0.0	0.0	0.0	1.0	2.862463197150045	2.73964	0.708120267261801	64.34412954868917	64.4091	6.482967395750544
EX_arg__L_e_r	993715564434.5	1.0	993715564434.5	0.0	0.1931401416199922	0.20158	0.03237107991139326	0.08879581096999549	0.0917	0.011830597347199844
EX_pro__L_e	279000000.0	0.0	279000000.0	1.0	0.0	0.0	0.0	0.004579413600001255	0.00422	0.0029554377576165125
EX_leu__L_e_r	880251212103.0	1.0	880251212103.0	0.0	0.022285285720008697	0.02307	0.004285261961658171	0.016456297049999978	0.01678	0.0016599315939616118
EX_ile__L_e_r	830767907409.5	1.0	830767907409.5	0.0	0.010188760649997946	0.01058	0.0019076425174584131	0.008166632669998002	0.00838	0.0007701006551388931
EX_met__L_e_r	236032327845.5	0.0	236032327845.5	1.0	0.005449785240001074	0.00566	0.0010203678620116416	0.0072244576499978725	0.00712	0.0018663964803576603
EX_gly_e_r	857224786119.0	1.0	857224786119.0	0.0	0.12888137567000546	0.12461	0.07753301889524684	0.03557497027000083	0.03768	0.01703077419255508
EX_phe__L_e_r	756437794021.5	1.0	756437794021.5	0.0	0.01254474526999961	0.01269	0.002895314239552607	0.01011351958999733	0.00997	0.0019170838952960558
EX_ser__L_e_r	971290995422.5	1.0	971290995422.5	0.0	0.15703987489999566	0.14282	0.10151008263455231	0.009045683349993606	0.00688	0.007905217980451055
EX_ala__L_e_f	142315779297.5	0.0	142315779297.5	1.0	0.22792298830000685	0.16546	0.21321794971130653	1.162090567210021	0.86309	1.045774218228737
EX_ala__L_e_b	26500000.0	0.0	26500000.0	1.0	0.0	0.0	0.0	0.028343010979996267	0.030664999999999998	0.013996511224062428
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
