Rxn	statistic_less	pvalue_less	statistic_greater	pvalue_greater	mean_MDAMB361	median_MDAMB361	std_MDAMB361	mean_MCF7	median_MCF7	std_MCF7
EX_lac__L_e	0.0	0.0	0.0	1.0	0.071200648019993	0.07344	0.008783480628157281	4.125009051619845	4.29911	0.70423992556512
EX_glc__D_e_r	0.0	0.0	0.0	1.0	0.10077604701000292	0.10296	0.014835836377737189	2.4405624157700063	2.54206	0.41724887319808257
EX_gluIN__L_e	999489000000.0	1.0	999489000000.0	0.0	0.0034367779100034006	0.00293	0.0025274140709541527	0.0	0.0	0.0
EX_gluOUT__L_e	2747.5	0.0	2747.5	1.0	0.00912290842999655	0.00923	0.0021712380077761966	0.06801450235999401	0.07088	0.011588665910472376
EX_gln__L_e_r	2728722.5	0.0	2728722.5	1.0	0.19990254498999255	0.20585	0.0253831228429967	1.0703581309499925	1.11556	0.18285318333334644
EX_asp__L_e	999982500000.0	1.0	999982500000.0	0.0	0.03032443377999897	0.03139	0.013233448291928494	0.0	0.0	0.0
DM_asp__L_e	761871005186.5	1.0	761871005186.5	0.0	1.255883119700007	0.96001	1.056974961780414	0.4417854256300069	0.3257	0.40468817342536956
EX_co2_e	664337364748.5	1.0	664337364748.5	0.0	142.4752331729453	138.48820999999998	45.324424330686206	116.39956149317774	117.745755	16.633492872386242
EX_h_e_f	462648063421.5	0.0	462648063421.5	1.0	257.800076688956	257.318415	111.11181294664848	269.6799551461022	282.64232000000004	126.82900571065524
EX_h2o_e_f	415594396911.5	0.0	415594396911.5	1.0	253.27234843219003	258.79229	151.90135218270336	297.23971352109436	303.551635	131.29960278230408
EX_ump_e_r	79854756333.5	0.0	79854756333.5	1.0	0.0014952454600016347	0.00154	0.0007300381181175067	0.010803147459994118	0.01014	0.007016677669870984
EX_pi_e_r	0.0	0.0	0.0	1.0	0.025276214040012235	0.02584	0.002493573752511561	0.20948252278000362	0.21658	0.03298141881064324
EX_nh4_e	992265102409.0	1.0	992265102409.0	0.0	123.0440227604311	117.609265	59.69427581180974	24.298148120989918	23.970795000000003	7.238899801838914
EX_o2_e_r	134233133926.0	0.0	134233133926.0	1.0	64.34412954868917	64.4091	6.482967395750544	77.66506824137039	78.741585	9.82104654378461
EX_arg__L_e_r	0.0	0.0	0.0	1.0	0.08879581096999549	0.0917	0.011830597347199844	0.28852697411000644	0.29608	0.047541035086210714
EX_pro__L_e	999721000000.0	1.0	999721000000.0	0.0	0.004579413600001255	0.00422	0.0029554377576165125	0.0	0.0	0.0
EX_leu__L_e_r	0.0	0.0	0.0	1.0	0.016456297049999978	0.01678	0.0016599315939616118	0.14300011968000198	0.14701	0.02290196964906755
EX_ile__L_e_r	0.0	0.0	0.0	1.0	0.008166632669998002	0.00838	0.0007701006551388931	0.06729741815999865	0.06974	0.010220082248984469
EX_met__L_e_r	0.0	0.0	0.0	1.0	0.0072244576499978725	0.00712	0.0018663964803576603	0.05255023292999805	0.05226	0.011129311828060711
EX_gly_e_r	96455659535.0	0.0	96455659535.0	1.0	0.03557497027000083	0.03768	0.01703077419255508	0.1358394775000007	0.14601	0.06470995292525349
EX_phe__L_e_r	30600.5	0.0	30600.5	1.0	0.01011351958999733	0.00997	0.0019170838952960558	0.08018702636999886	0.07965	0.016730979581407405
EX_ser__L_e_r	38211472279.0	0.0	38211472279.0	1.0	0.009045683349993606	0.00688	0.007905217980451055	0.11812360167999439	0.11628	0.07017716601546325
EX_ala__L_e_f	760731858760.5	1.0	760731858760.5	0.0	1.162090567210021	0.86309	1.045774218228737	0.408813095330011	0.29364	0.3870235067862232
EX_ribflv_e	nan	nan	nan	nan	0.0	0.0	0.0	0.0	0.0	0.0
EX_asn__L_e	999893500000.0	1.0	999893500000.0	0.0	0.006771673389995639	0.00688	0.003495948923242468	0.0	0.0	0.0
EX_fol_e_r	997308428181.0	1.0	997308428181.0	0.0	0.0012618705800014928	0.00126	0.0004541839431483661	0.0001714492800007591	0.00018	4.396126158417996e-05
EX_urea_e	226766988802.5	0.0	226766988802.5	1.0	0.025023122939997228	0.02174	0.01821330106650882	0.06807535737999902	0.05829	0.04954328938539321
EX_pyr_e	999791000000.0	1.0	999791000000.0	0.0	0.006030835969998696	0.00604	0.003548926451722904	0.0	0.0	0.0
PYRt2	999791000000.0	1.0	999791000000.0	0.0	0.006030835969998696	0.00604	0.003548926451722904	0.0	0.0	0.0
EX_gudac_e	272996646048.0	0.0	272996646048.0	1.0	0.026075980169996488	0.02314	0.01857906789352974	0.06188056385999931	0.05002	0.049191629480301105
EX_hdca_e_f	271277.5	0.0	271277.5	1.0	0.6010548341000086	0.44904	0.5358010502936629	6.949538924259874	7.03926	0.8797183228267974
EX_ptrcIN_e	997045500000.0	1.0	997045500000.0	0.0	0.00026972676000048656	0.00028	0.00013522323995991594	0.0	0.0	0.0
EX_ptrcOUT_e	1814975848.0	0.0	1814975848.0	1.0	0.01745869072999598	0.01414	0.013837641504669597	0.1704473510599993	0.17693	0.0512399199621091
EX_biomassx	0.0	0.0	0.0	1.0	0.028546872400016323	0.0293	0.002691912837315934	0.23524151385000938	0.2438	0.03572480083601329
EX_h2o2_e	264351751886.5	0.0	264351751886.5	1.0	0.43257293225001375	0.34475	0.3510776797391881	0.90895534561998	0.815395	0.6152355833612164
EX_gthox_e	389714642031.0	0.0	389714642031.0	1.0	0.43865835329001457	0.348385	0.3492501878488826	0.6344268691399924	0.51148	0.49377582275242926
EX_2obut_e	50253792280.0	0.0	50253792280.0	1.0	0.037611918410000535	0.03859	0.012629073443014916	0.22823949227001078	0.22878	0.11650708731992626
EX_crn_e	1000000000000.0	1.0	1000000000000.0	0.0	0.8041332015299965	0.8774	0.3519223500286165	0.0	0.0	0.0
EX_val__L_e_r	226502392.5	0.0	226502392.5	1.0	0.08460959655000033	0.08889	0.020355403750735846	0.31574090031000157	0.32731	0.06238528420817989
EX_spmd_e	877196452492.0	1.0	877196452492.0	0.0	0.01795735246999758	0.01441	0.014249395881299238	0.003237396540003312	0.00278	0.002352928365817923
EX_sprm_e	896925565915.0	1.0	896925565915.0	0.0	0.011576081399995093	0.00976	0.008684907839397299	0.0019468585600020381	0.00183	0.0012369556066464619
EX_5mthf_e	997308428181.0	1.0	997308428181.0	0.0	0.0012618705800014928	0.00126	0.0004541839431483661	0.0001714492800007591	0.00018	4.396126158417996e-05
EX_tmlys_e_r	1000000000000.0	1.0	1000000000000.0	0.0	0.8041332015299965	0.8774	0.3519223500286165	0.0	0.0	0.0
EX_thbpt_e_r	76112600431.5	0.0	76112600431.5	1.0	0.0027065831300031023	0.00261	0.0016925977869494883	0.019149853499997285	0.01845	0.01174045905103223
EX_CE2705_e	76112600431.5	0.0	76112600431.5	1.0	0.0027065831300031023	0.00261	0.0016925977869494883	0.019149853499997285	0.01845	0.01174045905103223
EX_crtn_e	157924790861.0	0.0	157924790861.0	1.0	0.027440958309999288	0.02406	0.01855040810972467	0.07405818655999984	0.06465	0.045368022230526064
EX_his__L_e_r	353144509667.5	0.0	353144509667.5	1.0	0.07368838073999764	0.07251	0.04330775982714324	0.10268373613999723	0.10452	0.05775307444862289
EX_lys__L_e_r	185886071.5	0.0	185886071.5	1.0	0.03852489572000138	0.0379	0.0129120137683102	0.14323836874000148	0.14832	0.02130599610306939
EX_carn_e_r	999398622869.5	1.0	999398622869.5	0.0	12.000766981479412	12.150845	1.5667011526039016	5.212680086249967	5.14187	0.9587688092511899
EX_csn_e_r	930626536654.0	1.0	930626536654.0	0.0	46.81346098868267	44.11522	29.821437636019493	6.2422121512602065	6.029955	3.6494683440422238
EX_cys__L_e	999997500000.0	1.0	999997500000.0	0.0	0.06927097684000093	0.07463	0.023553028850568394	0.0	0.0	0.0
EX_cyan_e_r	83124354329.5	0.0	83124354329.5	1.0	0.07089844702999809	0.06688	0.03745794724156903	0.18493825563999536	0.18833	0.06955519945989752
EX_tcyntc	189956290892.5	0.0	189956290892.5	1.0	0.034251361719997354	0.02722	0.027924979024685475	0.10231155476000132	0.09388	0.06835360270513753
EX_tcynt_e	263451208300.0	0.0	263451208300.0	1.0	0.036647090889996375	0.02853	0.030830924177608212	0.08262670141999749	0.0701	0.062037695957488
EX_so3_e	539523037463.5	1.0	539523037463.5	0.0	0.0794590808500005	0.07685	0.03955094617795108	0.07192594989999881	0.07661	0.026396151292709943
EX_thr__L_e_r	153064438.0	0.0	153064438.0	1.0	0.04533695545999992	0.04618	0.012231522383741618	0.2999086249400026	0.30136	0.1145756848106968
EX_trp__L_e_r	1395391251.0	0.0	1395391251.0	1.0	0.00191985867000224	0.00194	0.0006959513528071681	0.01696863889999765	0.01553	0.009372161155187865
EX_anth_e	51643708704.5	0.0	51643708704.5	1.0	0.0011926794200012689	0.00122	0.0006733952647363987	0.013838518489996175	0.01236	0.009362483944218283
EX_tyr__L_e_r	90028712515.0	0.0	90028712515.0	1.0	0.002821518280003104	0.00272	0.001775100608249699	0.01853261792999726	0.01797	0.011659937688826937
EX_cystinex_r	101590524.5	0.0	101590524.5	1.0	0.06746312181999592	0.06949	0.013609019222098933	0.17561273926999788	0.18045	0.020831129747641813
EX_3hydroxybutanoatex_r	49767306.5	0.0	49767306.5	1.0	13.619769329839833	13.224885	5.105758262838757	50.547230063510554	51.23193	6.834060446177377
EX_gthrd_e_r	397311643456.0	0.0	397311643456.0	1.0	0.8436952776299743	0.6621	0.6993485506295336	1.2162040593199361	0.96923	0.9860654337289774
EX_cmp_e_r	34396169618.0	0.0	34396169618.0	1.0	0.0005969029900005551	0.00055	0.0003905195802192538	0.005244362749999966	0.00494	0.0030103510929336275
HEX1	545246688905.5	1.0	545246688905.5	0.0	12.073710913279243	8.792265	11.053139307252486	8.904998777659975	7.11801	6.180235852212309
G6PP	657010849858.0	1.0	657010849858.0	0.0	11.972934861790694	8.69184	11.052671448789004	6.464436362259985	4.653905	6.152687239546
PGI	57343251577.0	0.0	57343251577.0	1.0	0.04945800484999912	0.04872	0.02775826103859727	0.6804438342600109	0.53068	0.5549465926419563
PFK	579665114087.5	1.0	579665114087.5	0.0	10.56295754283981	7.8491	9.5004080494605	7.433412962719912	5.652365	6.119509419225339
FBP	628674339879.5	1.0	628674339879.5	0.0	10.536076134710097	7.82108	9.501475987697548	6.4879989798500075	4.678965	6.101735316210946
FBA	13783065946.5	0.0	13783065946.5	1.0	0.026881407849997492	0.02413	0.018382454540660533	0.9454139877100243	0.92969	0.5635640238396874
TPI	0.0	0.0	0.0	1.0	0.048211386689997235	0.04757	0.016861509904256815	1.780910675630024	1.81215	0.34242056185661757
GAPD	0.0	0.0	0.0	1.0	0.09579945506999833	0.09499	0.036388434608826105	4.112054771660153	4.26754	0.7279540608188273
PGK	6497221811.5	0.0	6497221811.5	1.0	0.04674817115999743	0.04052	0.03413018541613049	2.363192815140018	2.37726	1.2386875840250338
