sample;(4S)-4-Hydroxy-2-oxoglutarate;(S)-1-Pyrroline-5-carboxylate;10-Formyltetrahydrofolate;2-Keto-6-aminocaproate;3-Hydroxyanthranilic acid;3-oxo-5S-amino-hexanoic acid;3-Phosphoglyceric acid;3-Sulfinato-L-alaninate;3-Sulfinylpyruvic acid;4-amino-butanoic acid;4-Hydroxy-L-glutamic acid;4-Hydroxyphenylpyruvic acid;4-Hydroxyproline;5,10-Methylene-THF;5-Methyltetrahydrofolate;5'-Methylthioadenosine;5-oxo-pentanoic acid;6-Phosphogluconic acid;6-Phosphonoglucono-D-lactone;Acetic acid;Acetoacetic acid;Acetyl-CoA;Acetylphosphate;Adenine;Adenosine;AMP;Adenylsuccinic acid;ADP;AICAR;Allocystathionine;Allysine;Argininosuccinic acid;Beta-D-Glucose 6-phosphate;beta-nicotinamide D-ribonucleotide;Butyric acid;Butyryl-CoA;cis-Aconitic acid;Citric acid;Citrulline;Coenzyme A;Creatine;Crotonoyl-CoA;Cyclic AMP;Cys-Gly;D-2-Hydroxyglutaric acid;D-4-Hydroxy-2-oxoglutarate;D-Erythrose 4-phosphate;D-Glucose;D-Glyceraldehyde 3-phosphate;Dimethylglycine;D-Ribose;D-Ribulose 5-phosphate;FADH;Farnesyl diphosphate;Folate;Fructose 1,6-bisphosphate;Fructose 6-phosphate;Fumaric acid;Gamma-Glutamylcysteine;GDP-glucose;Glucosamine 6-phosphate;Glutaric acid;Glutaryl-CoA;Glutathione;Glyceric acid 1,3-biphosphate;Glycerol 3-phosphate;Glycine;Glyoxylic acid;Guanine;Guanosine diphosphate;Guanosine monophosphate;Guanosine triphosphate;Hydrogen sulfite;Hydroxykynurenine;Hypotaurine;Hypoxanthine;Inosinic acid;Isopentenyl pyrophosphate;L-1-Pyrroline-3-hydroxy-5-carboxylate;L-2-Aminoadipate;L-4-Hydroxyglutamate semialdehyde;L-Acetylcarnitine;L-Alanine;L-Arginine;L-Asparagine;L-Aspartic acid;L-Cysteine;L-Glutamate;L-Glutamic acid 5-phosphate;L-Glutamic gamma-semialdehyde;L-Glutamine;L-Homocysteine;L-Lactic acid;L-Leucine;L-Lysine;L-Malic acid;L-Methionine;L-Phenylalanine;L-Proline;L-Serine;L-Threonine;L-Tryptophan;L-Tyrosine;L-Valine;Mevalonate-P;Mevalonate-PP;Mevalonic acid;N6-Acetyl-L-lysine;N-Acetylglucosamine 6-phosphate;NAD;NADH;NADP;NADPH;nicotinate beta-D-ribonucleotide;Ornithine;Oxidized glutathione;Oxoglutaric acid;Phosphoenolpyruvic acid;Phosphoserine;Propionyl-CoA;Pyroglutamic acid;Pyrophosphate;Pyruvic acid;Quinolinic acid;Reduced riboflavin;Riboflavin;R-Methylmalonyl-CoA;Saccharopine;S-Adenosylhomocysteine;S-Adenosyl-L-methionine;SAICAR;Sedoheptulose 7-phosphate;S-Methylmalonyl-CoA;Succinic acid;Succinic acid semialdehyde;Succinyl-CoA;Sulfate;Taurine;UDP-glucose;Uric acid;Uridine diphosphate-N-acetylglucosamine;Uridine triphosphate;Xylulose 5-phosphate
102A 1_1_1;0;692;1064;3010;0;3010;1095;499;0;69004;0;543;5512;797;0;5214;3769;1257;0;4704;3742;0;1120;1223;3175;90937;0;53871;2204;505;3010;462;33821;2042;0;0;5107;96598;0;0;1617;0;3441;946;3766;0;657;35304;6245;69004;34592;2569;0;4606;3625;13193;33821;25475;0;6754;6898;491;0;2230168;2059;3831;8685;904;624;0;22320;1839;1273;551;1494;7077;0;0;80943;3402;1097838;4244;27443;2959;3660;251670;868;1097838;7011;5512;340801;1095;494411;177288;1298;273028;40372;68189;3896;9289;100485;29187;41523;6911;995;6129;1071;0;8226;14018;0;1017;0;0;550;278656;96598;0;0;0;80943;28731;273832;0;697;792;0;480;6325;23;0;3435;0;12307;3742;0;46517;92312;4442;18925;11981;0;2569
102A 1_1_2;0;744;1746;846;0;846;1271;541;0;68028;0;605;5376;1327;0;5359;3694;1795;0;4457;3988;0;949;1136;3126;8556;0;60353;619;563;846;483;34055;1955;0;480;2384;100634;0;0;1563;0;3471;1033;4039;0;619;36355;6496;68028;35850;3196;0;4497;3587;13138;34055;24580;0;6696;7088;546;0;2212132;1950;4458;8363;906;477;0;22823;1775;1207;573;1526;7747;0;0;82022;3506;1091766;4266;27237;2943;3333;257797;421;1091766;7436;5376;339872;1107;489379;176034;1316;273376;41044;67072;3848;9271;102468;29994;41123;7182;1007;6326;1086;0;8509;14042;0;1142;0;0;564;281932;99824;0;0;0;82022;28518;274018;0;664;951;0;490;6343;27;0;3428;0;11975;3988;0;45965;91525;2406;18578;14219;0;3196
102A 1_1_3;0;696;1225;768;0;768;703;490;0;68539;0;655;5486;565;0;5202;3735;1769;0;4567;3585;0;1201;1164;3154;8735;0;62926;706;615;768;511;35025;2091;0;484;5493;99661;0;0;1677;0;3518;986;4191;0;705;35816;6148;68539;36339;3117;0;4663;3623;9609;35025;25470;0;7269;7045;1127;0;2264970;2006;4575;8266;916;0;429;23305;1745;1226;510;1462;8308;492;0;81236;3532;1099680;4238;27324;2921;3450;254857;940;1099680;7638;5486;341844;1059;496697;180295;1196;32290;41670;66481;4055;9139;101902;29862;41765;7177;620;6410;1264;457;94149;13526;0;1029;0;0;583;286570;99661;0;0;0;81236;28496;32634;446;728;823;0;0;6402;24;0;3767;0;12268;3585;0;47265;91349;6756;18828;692;0;3117
102A 1_2_1;0;0;570;0;0;0;0;0;0;40506;0;512;3215;0;0;2277;4101;889;0;1603;4994;0;0;835;5673;85931;0;25656;424;487;0;0;30685;1062;0;466;2116;51764;0;0;734;0;2544;630;2950;0;0;36975;2859;40506;29406;3567;0;2157;2948;36184;30685;18068;3574;5623;4265;1302;0;1807145;1464;2770;5945;649;1329;479;8968;940;847;0;1445;7572;411;0;51088;2141;648824;1615;11825;2692;2535;124603;1801;648824;2792;3215;284597;939;310444;105255;1762;179507;31598;60125;3294;9130;78191;13139;36331;10658;587;1665;500;0;6626;7461;0;892;427;0;545;306386;51386;0;0;0;51088;12349;180015;0;587;725;0;0;2347;28;0;2934;0;12465;4994;0;50871;55913;2658;28314;5091;0;3567
102A 1_2_2;0;0;509;0;0;0;443;0;0;40312;0;510;3394;0;0;2252;4458;671;0;1644;4916;0;443;1575;6164;85272;0;24419;730;525;0;0;30961;1150;0;489;2011;48946;0;0;2186;0;2421;739;1331;0;0;37049;870;40312;13284;3479;0;1974;2693;36554;30961;18209;3536;5644;4311;1303;0;1823766;1491;2768;6090;614;987;534;9602;943;827;0;1453;7784;0;0;50611;2235;646904;1629;12295;2650;2633;123771;1804;646904;3535;3394;285065;1003;310309;107327;1718;177934;31301;59636;3389;9217;78300;12881;36044;10851;531;1568;812;0;85262;8719;0;1024;497;0;544;321751;48946;0;0;0;50611;2308;178518;0;461;0;0;0;2449;26;0;3015;0;12115;4916;0;49335;55731;4359;28505;6038;0;3479
102A 1_2_3;0;0;456;0;0;0;0;0;0;38912;0;468;3083;0;0;2170;4148;410;0;1609;4791;0;0;1444;5542;84611;0;23322;2159;480;0;0;29444;918;0;441;1993;49737;0;0;2287;0;2386;761;582;0;0;35491;813;38912;28751;3534;0;2050;2645;35819;29444;18467;0;5487;4250;461;0;1804096;1384;451;5907;590;1262;491;9351;1018;805;0;1410;7549;419;0;49286;2027;608660;1608;11903;2653;2656;116727;1695;608660;2661;3083;277939;1041;302954;103433;1633;176966;30966;58641;3110;9186;49787;12578;35946;10323;580;1616;728;0;84563;6918;0;841;423;0;592;301314;50045;0;0;0;49286;12547;177541;0;575;430;0;0;2446;28;0;2896;0;11593;4791;0;49988;54047;1288;28300;1490;0;3534
102A 2_1_1;0;827;692;1428;0;1428;1136;442;0;44534;0;538;5697;1219;0;4818;2748;794;0;21112;4169;423;1136;2369;10043;218065;0;1488;8856;367;1428;349;43666;1294;0;489;2235;53530;474;0;2462;0;2762;800;4169;0;923;33381;7566;44534;30664;6665;0;2752;2583;2371;43666;17976;0;2031;8493;429;0;1901798;1550;7700;6321;628;330;550;57490;1228;861;0;1187;26024;0;0;53713;3386;780160;3892;17112;1880;2358;195654;1215;780160;10495;5697;285070;758;554708;91503;609;194860;20774;42687;3386;5881;90842;19260;29818;5206;1038;9022;1325;587;218212;40259;1764;767;0;500;346;210775;53378;0;0;0;53713;60919;195233;0;1506;1639;0;0;6471;0;0;4695;0;17344;4169;0;0;62780;0;15547;1429;483;6665
102A 2_1_2;0;923;842;1511;0;1511;1559;486;0;46918;0;694;5488;1914;0;4844;2136;367;0;23458;4557;606;1559;2323;10448;232700;0;2356;8019;0;1511;357;47693;1420;0;367;3982;82968;606;0;2496;0;3010;733;4609;0;895;20999;8059;46918;34624;6587;0;2822;2622;2878;47693;20918;0;3488;8601;349;0;1921883;1641;7799;6581;761;361;498;59316;1354;873;379;1310;29479;0;0;54912;3467;804993;5123;17941;2100;2685;197556;368;804993;10781;5488;290657;716;549612;99077;746;215507;21656;41628;3467;6062;93709;19339;29905;5448;1160;7593;1414;571;232472;29318;0;817;0;347;379;231573;82127;503;0;0;54912;64365;216072;0;364;1719;0;377;6860;0;0;4905;0;16690;4557;0;17922;66711;2586;15424;2851;422;6587
102A 2_1_3;0;1014;447;911;0;911;1436;488;0;46792;0;700;4833;1733;0;4672;2953;1062;0;22686;4528;461;898;2404;10563;4986;0;2691;6835;386;911;350;50483;1508;0;362;5886;89391;517;0;2301;0;3016;815;4528;0;341;33570;7512;46792;38526;6539;0;2758;2562;3083;50483;21427;0;4140;9103;605;0;1840562;1330;7377;7040;731;0;500;62496;1406;812;392;1239;32013;0;0;51771;2998;794797;5506;19337;2255;2412;190878;375;794797;11239;4833;284424;828;530846;104642;779;30832;21371;39534;3901;6259;88970;19422;31819;5417;1094;7743;1409;663;4983;32126;0;825;0;450;378;243715;89506;545;0;0;51771;60062;31360;0;5354;1600;0;0;6955;0;0;4746;0;13680;4528;0;19483;67118;4848;16084;5209;699;6539
102A 2_2_1;697;409;374;1803;0;1803;355;433;0;35397;0;434;4504;1215;0;4410;3443;355;0;7282;4370;477;355;1980;8445;5729;342;160814;4405;347;1803;0;42393;1358;0;361;8727;105071;0;0;3093;0;2826;796;4419;697;390;36423;353;35397;32184;3639;0;2420;3185;109316;42393;22214;0;8118;8926;734;0;1758820;1087;3536;7081;767;0;436;73503;1159;753;0;1586;35170;351;0;41703;3207;592295;4150;15902;2435;2393;141542;2538;592295;11600;4504;260290;1232;501384;119752;876;30675;29389;38289;3207;5765;96309;16047;29628;6480;1063;450;1964;603;173383;19292;0;718;0;0;484;273429;104536;0;0;361;41703;51111;31106;397;0;1746;0;0;9545;0;0;3359;0;11972;4370;0;47488;60000;353;20055;5787;0;3639
