id	rule
EX_lac__L_e	
EX_glc__D_e	
EX_gluIN__L_e	
EX_gluOUT__L_e	
EX_gln__L_e	
EX_asp__L_e	
DM_asp__L_e	
EX_co2_e	
EX_h_e	
EX_h2o_e	
EX_ump_e	
EX_pi_e	
EX_nh4_e	
EX_o2_e	
EX_arg__L_e	
EX_pro__L_e	
EX_leu__L_e	
EX_ile__L_e	
EX_met__L_e	
EX_gly_e	
EX_phe__L_e	
EX_ser__L_e	
EX_ala__L_e	
EX_ribflv_e	
EX_asn__L_e	
EX_fol_e	
EX_urea_e	
EX_pyr_e	
PYRt2	ENSG00000118596 or ENSG00000141526 or ENSG00000155380
EX_gudac_e	
EX_hdca_e	
EX_ptrcIN_e	
EX_ptrcOUT_e	
EX_biomassx	
EX_h2o2_e	
EX_gthox_e	
EX_2obut_e	
EX_crn_e	
EX_val__L_e	
EX_spmd_e	
EX_sprm_e	
EX_5mthf_e	
EX_tmlys_e	
EX_thbpt_e	
EX_CE2705_e	
EX_crtn_e	
EX_his__L_e	
EX_lys__L_e	
EX_carn_e	
EX_csn_e	
EX_cys__L_e	
EX_cyan_e	
EX_tcyntc	
EX_tcynt_e	
EX_so3_e	
EX_thr__L_e	
EX_trp__L_e	
EX_anth_e	
EX_tyr__L_e	
EX_cystinex	
EX_3hydroxybutanoatex	
EX_gthrd_e	
EX_cmp_e	
HEX1	ENSG00000106633 or ENSG00000156510 or ENSG00000156515 or ENSG00000159399 or ENSG00000160883
G6PP	ENSG00000131482 or ENSG00000141349 or ENSG00000152254
PGI	ENSG00000105220
PFK	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
FBP	ENSG00000130957 or ENSG00000165140
FBA	ENSG00000109107 or ENSG00000136872 or ENSG00000149925
TPI	ENSG00000111669
GAPD	ENSG00000105679 or ENSG00000111640
PGK	ENSG00000102144 or ENSG00000170950
DPGM	ENSG00000164708 or ENSG00000171314 or ENSG00000172331
DPGase	ENSG00000164708 or ENSG00000171314 or ENSG00000172331
PGM	ENSG00000164708 or ENSG00000171314 or ENSG00000172331
ENO	ENSG00000074800 or ENSG00000108515 or ENSG00000111674
PYK	ENSG00000067225 or ENSG00000143627
LDH_L	ENSG00000111716 or ENSG00000134333 or ENSG00000151116 or ENSG00000166796 or ENSG00000166800 or ENSG00000171989
r0407	ENSG00000109107 or ENSG00000136872 or ENSG00000149925
PRPPS	ENSG00000101911 or ENSG00000147224 or ENSG00000229937
G6PDH2r	ENSG00000160211
PGL	ENSG00000049239 or ENSG00000130313
GND	ENSG00000142657
RPI	ENSG00000153574
TKT2	ENSG00000007350 or ENSG00000151005 or ENSG00000163931
RPE	ENSG00000197713 or ENSG00000235376
TKT1	ENSG00000007350 or ENSG00000151005 or ENSG00000163931
TALA	ENSG00000177156
r0408	ENSG00000067057 or ENSG00000141959 or ENSG00000152556
PDHm	ENSG00000091140 and ENSG00000110435 and ENSG00000150768 and ENSG00000168291 and ( ENSG00000131828 or ENSG00000163114 )
PCm	ENSG00000173599
PEPCK_re	ENSG00000124253
CSm	ENSG00000062485
ACONTm	ENSG00000100412 or ENSG00000122729
ICDHxm	ENSG00000067829 and ENSG00000101365 and ENSG00000166411
ICDHym	ENSG00000182054
AKGDm	ENSG00000091140 and ENSG00000105953 and ENSG00000119689
SUCOAS1m	ENSG00000163541 and ENSG00000172340
SUCD1m	ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370
FUMm	ENSG00000091483
MDHm	ENSG00000146701
ME1m	ENSG00000082212
ME2m	ENSG00000151376
ME2	ENSG00000065833
ACITL	ENSG00000131473
FUM	ENSG00000091483
MDH	ENSG00000014641 or ENSG00000138400
AKGMALtm	ENSG00000108528 or ENSG00000183048
ACONT	ENSG00000122729
ICDHyr	ENSG00000138413
PPA	ENSG00000107902 or ENSG00000180817
